model_id,metabolite_id,base_metabolite,is_metanetx,appears_standardized
iAA1300,MNXM444[e],MNXM444,TRUE,TRUE
iAA1300,feenter[e],feenter,FALSE,FALSE
iAA1300,MNXM96506[e],MNXM96506,TRUE,TRUE
iAA1300,MNXM2999[e],MNXM2999,TRUE,TRUE
iAA1300,MNXM739337[e],MNXM739337,TRUE,TRUE
iAA1300,MNXM733981[e],MNXM733981,TRUE,TRUE
iAA1300,cysi__L[e],cysi__L,FALSE,FALSE
iAA1300,MNXM13[e],MNXM13,TRUE,TRUE
iAA1300,MNXM1369648[e],MNXM1369648,TRUE,TRUE
iAA1300,MNXM401[e],MNXM401,TRUE,TRUE
iAA1300,btn[e],btn,FALSE,FALSE
iAA1300,MNXM306[e],MNXM306,TRUE,TRUE
iAA1300,MNXM732757[e],MNXM732757,TRUE,TRUE
iAA1300,MNXM90703[e],MNXM90703,TRUE,TRUE
iAA1300,MNXM107[e],MNXM107,TRUE,TRUE
iAA1300,MNXM160[e],MNXM160,TRUE,TRUE
iAA1300,MNXM1485[e],MNXM1485,TRUE,TRUE
iAA1300,MNXM1492[e],MNXM1492,TRUE,TRUE
iAA1300,LalaLglu[e],LalaLglu,FALSE,FALSE
iAA1300,MNXM168[e],MNXM168,TRUE,TRUE
iAA1300,MNXM733618[e],MNXM733618,TRUE,TRUE
iAA1300,MNXM440[e],MNXM440,TRUE,TRUE
iAA1300,MNXM289[e],MNXM289,TRUE,TRUE
iAA1300,MNXM744[e],MNXM744,TRUE,TRUE
iAA1300,MNXM632[e],MNXM632,TRUE,TRUE
iAA1300,MNXM1401[e],MNXM1401,TRUE,TRUE
iAA1300,MNXM3060[e],MNXM3060,TRUE,TRUE
iAA1300,MNXM636[e],MNXM636,TRUE,TRUE
iAA1300,novbcn[e],novbcn,FALSE,FALSE
iAA1300,MNXM37[e],MNXM37,TRUE,TRUE
iAA1300,MNXM732202[e],MNXM732202,TRUE,TRUE
iAA1300,MNXM1565[e],MNXM1565,TRUE,TRUE
iAA1300,MNXM1369759[e],MNXM1369759,TRUE,TRUE
iAA1300,MNXM732104[e],MNXM732104,TRUE,TRUE
iAA1300,MNXM128[e],MNXM128,TRUE,TRUE
iAA1300,MNXM89588[e],MNXM89588,TRUE,TRUE
iAA1300,MNXM5928[e],MNXM5928,TRUE,TRUE
iAA1300,o16a4colipa[e],o16a4colipa,FALSE,FALSE
iAA1300,MNXM734941[e],MNXM734941,TRUE,TRUE
iAA1300,f[e],f,FALSE,FALSE
iAA1300,MNXM738834[e],MNXM738834,TRUE,TRUE
iAA1300,MNXM89621[e],MNXM89621,TRUE,TRUE
iAA1300,MNXM236[e],MNXM236,TRUE,TRUE
iAA1300,MNXM458[e],MNXM458,TRUE,TRUE
iAA1300,MNXM90960[e],MNXM90960,TRUE,TRUE
iAA1300,MNXM2245[e],MNXM2245,TRUE,TRUE
iAA1300,mepn[e],mepn,FALSE,FALSE
iAA1300,zn2[e],zn2,FALSE,FALSE
iAA1300,MNXM1369194[e],MNXM1369194,TRUE,TRUE
iAA1300,MNXM1104802[e],MNXM1104802,TRUE,TRUE
iAA1300,MNXM59271[e],MNXM59271,TRUE,TRUE
iAA1300,cellb[e],cellb,FALSE,FALSE
iAA1300,MNXM736685[e],MNXM736685,TRUE,TRUE
iAA1300,MNXM647[e],MNXM647,TRUE,TRUE
iAA1300,MNXM124[e],MNXM124,TRUE,TRUE
iAA1300,MNXM2112[e],MNXM2112,TRUE,TRUE
iAA1300,MNXM1275[e],MNXM1275,TRUE,TRUE
iAA1300,MNXM745[e],MNXM745,TRUE,TRUE
iAA1300,MNXM420[e],MNXM420,TRUE,TRUE
iAA1300,MNXM113[e],MNXM113,TRUE,TRUE
iAA1300,MNXM1634[e],MNXM1634,TRUE,TRUE
iAA1300,MNXM4505[e],MNXM4505,TRUE,TRUE
iAA1300,MNXM733717[e],MNXM733717,TRUE,TRUE
iAA1300,MNXM370[e],MNXM370,TRUE,TRUE
iAA1300,MNXM274[e],MNXM274,TRUE,TRUE
iAA1300,MNXM112[e],MNXM112,TRUE,TRUE
iAA1300,MNXM963[e],MNXM963,TRUE,TRUE
iAA1300,4abzglu[e],4abzglu,FALSE,FALSE
iAA1300,MNXM165[e],MNXM165,TRUE,TRUE
iAA1300,MNXM2255[e],MNXM2255,TRUE,TRUE
iAA1300,MNXM1094294[e],MNXM1094294,TRUE,TRUE
iAA1300,MNXM4641[e],MNXM4641,TRUE,TRUE
iAA1300,MNXM51[e],MNXM51,TRUE,TRUE
iAA1300,MNXM175[e],MNXM175,TRUE,TRUE
iAA1300,MNXM23[e],MNXM23,TRUE,TRUE
iAA1300,MNXM736635[e],MNXM736635,TRUE,TRUE
iAA1300,MNXM731417[e],MNXM731417,TRUE,TRUE
iAA1300,dcmp[e],dcmp,FALSE,FALSE
iAA1300,MNXM546[e],MNXM546,TRUE,TRUE
iAA1300,MNXM3148[e],MNXM3148,TRUE,TRUE
iAA1300,MNXM739642[e],MNXM739642,TRUE,TRUE
iAA1300,ac[e],ac,FALSE,TRUE
iAA1300,MNXM95[e],MNXM95,TRUE,TRUE
