base_metabolite,models_present,total_occurrences,metanetx_conversions,standardized_instances,conversion_rate,standardization_rate,example_ids,models_list
MNXM1,,17,17,17,100,100,,"iAA1300, iBB1018, iYY1101, iHN637, iGD1348, z, iBM3063, iMG746, iCY1106, iFC579, iGC535, iNmo686, iJN1462, iRi1574, iMM904, iSB619, iKS1317"
MNXM729302,,17,17,17,100,100,,"iAA1300, iBB1018, iYY1101, iHN637, iGD1348, z, iBM3063, iMG746, iCY1106, iFC579, iGC535, iNmo686, iJN1462, iRi1574, iMM904, iSB619, iKS1317"
MNXM9,,17,17,17,100,100,,"iAA1300, iBB1018, iYY1101, iHN637, iGD1348, z, iBM3063, iMG746, iCY1106, iFC579, iGC535, iNmo686, iJN1462, iRi1574, iMM904, iSB619, iKS1317"
MNXM13,,16,16,16,100,100,,"iAA1300, iBB1018, iYY1101, iHN637, iGD1348, z, iMG746, iCY1106, iFC579, iGC535, iNmo686, iJN1462, iRi1574, iMM904, iSB619, iKS1317"
MNXM58,,16,16,16,100,100,,"iAA1300, iBB1018, iYY1101, iHN637, iGD1348, z, iBM3063, iMG746, iFC579, iGC535, iNmo686, iJN1462, iRi1574, iMM904, iSB619, iKS1317"
MNXM95,,16,16,16,100,100,,"iAA1300, iBB1018, iHN637, iGD1348, z, iBM3063, iMG746, iCY1106, iFC579, iGC535, iNmo686, iJN1462, iRi1574, iMM904, iSB619, iKS1317"
MNXM27,,15,15,15,100,100,,"iAA1300, iBB1018, iHN637, iGD1348, z, iBM3063, iMG746, iFC579, iGC535, iNmo686, iJN1462, iRi1574, iMM904, iSB619, iKS1317"
MNXM117,,14,14,14,100,100,,"iAA1300, iBB1018, iGD1348, z, iBM3063, iMG746, iCY1106, iFC579, iGC535, iNmo686, iJN1462, iMM904, iSB619, iKS1317"
MNXM653,,14,14,14,100,100,,"iAA1300, iBB1018, iHN637, iGD1348, iBM3063, iMG746, iCY1106, iFC579, iGC535, iNmo686, iJN1462, iRi1574, iSB619, iKS1317"
MNXM29,,13,13,13,100,100,,"iBB1018, iHN637, iGD1348, z, iBM3063, iMG746, iCY1106, iGC535, iJN1462, iRi1574, iMM904, iSB619, iKS1317"
MNXM730135,,13,13,13,100,100,,"iAA1300, iBB1018, iHN637, iGD1348, z, iBM3063, iMG746, iCY1106, iFC579, iGC535, iRi1574, iMM904, iSB619"
MNXM89612,,13,13,13,100,100,,"iBB1018, iHN637, iGD1348, z, iBM3063, iMG746, iGC535, iNmo686, iJN1462, iRi1574, iMM904, iSB619, iKS1317"
MNXM90960,,13,13,13,100,100,,"iAA1300, iBB1018, iYY1101, iHN637, iGD1348, iMG746, iFC579, iGC535, iNmo686, iJN1462, iRi1574, iSB619, iKS1317"
MNXM114,,12,12,12,100,100,,"iBB1018, iHN637, iGD1348, z, iBM3063, iMG746, iGC535, iJN1462, iRi1574, iMM904, iSB619, iKS1317"
MNXM124,,12,12,12,100,100,,"iAA1300, iHN637, iGD1348, z, iBM3063, iFC579, iGC535, iJN1462, iRi1574, iMM904, iSB619, iKS1317"
MNXM2,,7,7,7,100,100,,"iAA1300, iBB1018, iHN637, iGD1348, iJN1462, iRi1574, iSB619"
MNXM75,,5,5,5,100,100,,"iYY1101, iJN1462, iRi1574, iMM904, iKS1317"
MNXM5,,2,2,2,100,100,,"iRi1574, iMM904"
