base_metabolite,frequency,models_present,always_metanetx,sometimes_metanetx,standardization_rate
MNXM1,17,,TRUE,TRUE,1
MNXM729302,17,,TRUE,TRUE,1
MNXM9,17,,TRUE,TRUE,1
MNXM13,16,,TRUE,TRUE,1
MNXM58,16,,TRUE,TRUE,1
MNXM95,16,,TRUE,TRUE,1
MNXM27,15,,TRUE,TRUE,1
MNXM117,14,,TRUE,TRUE,1
MNXM653,14,,TRUE,TRUE,1
MNXM29,13,,TRUE,TRUE,1
MNXM730135,13,,TRUE,TRUE,1
MNXM89612,13,,TRUE,TRUE,1
MNXM90960,13,,TRUE,TRUE,1
MNXM114,12,,TRUE,TRUE,1
MNXM124,12,,TRUE,TRUE,1
MNXM128,12,,TRUE,TRUE,1
MNXM1369194,12,,TRUE,TRUE,1
MNXM199,12,,TRUE,TRUE,1
MNXM2255,12,,TRUE,TRUE,1
MNXM23,12,,TRUE,TRUE,1
MNXM26,12,,TRUE,TRUE,1
MNXM39,12,,TRUE,TRUE,1
MNXM732398,12,,TRUE,TRUE,1
MNXM304,11,,TRUE,TRUE,1
MNXM37,11,,TRUE,TRUE,1
MNXM761,11,,TRUE,TRUE,1
MNXM90,11,,TRUE,TRUE,1
MNXM107,10,,TRUE,TRUE,1
MNXM118,10,,TRUE,TRUE,1
MNXM142,10,,TRUE,TRUE,1
MNXM174,10,,TRUE,TRUE,1
MNXM25,10,,TRUE,TRUE,1
MNXM274,10,,TRUE,TRUE,1
MNXM726090,10,,TRUE,TRUE,1
MNXM733114,10,,TRUE,TRUE,1
MNXM735978,10,,TRUE,TRUE,1
MNXM738834,10,,TRUE,TRUE,1
MNXM1104802,9,,TRUE,TRUE,1
MNXM134,9,,TRUE,TRUE,1
MNXM1369648,9,,TRUE,TRUE,1
MNXM179,9,,TRUE,TRUE,1
MNXM182,9,,TRUE,TRUE,1
MNXM192,9,,TRUE,TRUE,1
MNXM282,9,,TRUE,TRUE,1
MNXM289,9,,TRUE,TRUE,1
MNXM341,9,,TRUE,TRUE,1
MNXM732914,9,,TRUE,TRUE,1
MNXM735623,9,,TRUE,TRUE,1
MNXM735837,9,,TRUE,TRUE,1
MNXM737786,9,,TRUE,TRUE,1
MNXM741174,9,,TRUE,TRUE,1
