model_id,species_name,total_metabolites,exchange_metabolites,metanetx_exchange,conversion_rate,has_error
iAA1300,azotobacter_vinelandii_iAA1300,1958,335,242,72.8,FALSE
iBB1018,bacillus_subtilis_iBB1018,1291,231,225,97.4,FALSE
iYY1101,bradyrhizobium_diazoefficiens_iYY1101,537,38,36,94.7,FALSE
iHN637,clostridium_ljungdahlii_iHN637,698,95,95,100,FALSE
iGD1348,ensifer_meliloti_iGD1348,1160,171,167,97.7,FALSE
z,hansenula_polymorpha_hanpo_z,1320,82,81,98.8,FALSE
iBM3063,lachancea_thermotolerans_iBM3063,2732,191,184,96.9,FALSE
iMG746,methanosarcina_barkeri_iMG746,718,76,67,88.2,FALSE
iCY1106,mortierella_alpina_iCY1106,1732,219,59,26.9,FALSE
iFC579,nitrobacter_winogradskyi_iFC579,1007,45,41,91.1,FALSE
iGC535,nitrosomonas_europaea_iGC535,1114,123,116,94.3,FALSE
iNmo686,nitrospira_moscoviensis_iNmo686,637,46,44,95.7,FALSE
iJN1462,pseudomonas_putida_iJN1462,2144,347,239,68.9,FALSE
iRi1574,rhizophagus_irregularis_iRi1574,1285,132,112,84.8,FALSE
iMM904,saccharomyces_cerevisiae_iMM904,1226,164,163,100,FALSE
iSB619,staphylococcus_aureus_iSB619,655,84,84,100,FALSE
iKS1317,streptomyces_coelicolor_iKS1317,2064,253,232,92.5,FALSE
