base_metabolite,frequency,models_present,always_metanetx,sometimes_metanetx,standardization_rate
12dca,1,,FALSE,FALSE,0
1ag160,1,,FALSE,FALSE,0
1ag180,1,,FALSE,FALSE,0
1ag181d9,1,,FALSE,FALSE,0
1ag182d9d12,1,,FALSE,FALSE,0
1dgali,1,,FALSE,FALSE,0
1g2hdne,1,,FALSE,FALSE,0
1nphtol,1,,FALSE,FALSE,0
23d2gbne,1,,FALSE,FALSE,0
2bhyde,1,,FALSE,FALSE,0
2dan,1,,FALSE,FALSE,0
2dglc,1,,FALSE,FALSE,0
2hb,1,,FALSE,FALSE,0
2m35mdntha,1,,FALSE,FALSE,0
2nphtol,1,,FALSE,FALSE,0
2obut,1,,FALSE,FALSE,0
2oxate,1,,FALSE,FALSE,0
34d3h4sne,1,,FALSE,FALSE,0
35dnta,1,,FALSE,FALSE,0
3h4atb,1,,FALSE,FALSE,0
3hpp,1,,FALSE,FALSE,0
4228,1,,FALSE,FALSE,0
45dgbne,1,,FALSE,FALSE,0
4abzglu,1,,FALSE,FALSE,0
4gcymd,1,,FALSE,FALSE,0
4hphac,1,,FALSE,FALSE,0
4hpro_DC,1,,FALSE,FALSE,0
4hptn,1,,FALSE,FALSE,0
4nol,1,,FALSE,FALSE,0
4npha,1,,FALSE,FALSE,0
4oxptn,1,,FALSE,FALSE,0
5a2opa,1,,FALSE,FALSE,0
5aptn,1,,FALSE,FALSE,0
5g2ot,1,,FALSE,FALSE,0
5mtr,1,,FALSE,FALSE,0
6atha,1,,FALSE,FALSE,0
6thate,1,,FALSE,FALSE,0
78dgbne,1,,FALSE,FALSE,0
BIOMASS,1,,FALSE,FALSE,0
LalaDglu,1,,FALSE,FALSE,0
LalaLglu,1,,FALSE,FALSE,0
MNXM1021,1,,TRUE,TRUE,1
MNXM1031,1,,TRUE,TRUE,1
MNXM1037,1,,TRUE,TRUE,1
MNXM104029,1,,TRUE,TRUE,1
MNXM10816,1,,TRUE,TRUE,1
MNXM1091608,1,,TRUE,TRUE,1
MNXM1092518,1,,TRUE,TRUE,1
MNXM1093018,1,,TRUE,TRUE,1
MNXM1093314,1,,TRUE,TRUE,1
MNXM1093344,1,,TRUE,TRUE,1
MNXM1094052,1,,TRUE,TRUE,1
MNXM1101285,1,,TRUE,TRUE,1
MNXM1101868,1,,TRUE,TRUE,1
MNXM1102731,1,,TRUE,TRUE,1
MNXM1102734,1,,TRUE,TRUE,1
MNXM1103302,1,,TRUE,TRUE,1
MNXM1103335,1,,TRUE,TRUE,1
MNXM1103400,1,,TRUE,TRUE,1
MNXM1103551,1,,TRUE,TRUE,1
MNXM1103769,1,,TRUE,TRUE,1
MNXM1103786,1,,TRUE,TRUE,1
MNXM1103965,1,,TRUE,TRUE,1
MNXM1104065,1,,TRUE,TRUE,1
MNXM1104180,1,,TRUE,TRUE,1
MNXM1104385,1,,TRUE,TRUE,1
MNXM1104432,1,,TRUE,TRUE,1
MNXM1104491,1,,TRUE,TRUE,1
MNXM1104527,1,,TRUE,TRUE,1
MNXM1104551,1,,TRUE,TRUE,1
MNXM1104590,1,,TRUE,TRUE,1
MNXM1104754,1,,TRUE,TRUE,1
MNXM1104823,1,,TRUE,TRUE,1
MNXM1105027,1,,TRUE,TRUE,1
MNXM1105684,1,,TRUE,TRUE,1
MNXM1105736,1,,TRUE,TRUE,1
MNXM1105737,1,,TRUE,TRUE,1
MNXM1105760,1,,TRUE,TRUE,1
MNXM1105765,1,,TRUE,TRUE,1
MNXM1105804,1,,TRUE,TRUE,1
MNXM1105856,1,,TRUE,TRUE,1
MNXM1107418,1,,TRUE,TRUE,1
MNXM1107894,1,,TRUE,TRUE,1
MNXM1107900,1,,TRUE,TRUE,1
MNXM1108069,1,,TRUE,TRUE,1
MNXM1108176,1,,TRUE,TRUE,1
MNXM1108339,1,,TRUE,TRUE,1
MNXM1109,1,,TRUE,TRUE,1
MNXM1133,1,,TRUE,TRUE,1
MNXM1140,1,,TRUE,TRUE,1
MNXM1165,1,,TRUE,TRUE,1
MNXM11708,1,,TRUE,TRUE,1
MNXM11799,1,,TRUE,TRUE,1
MNXM11903,1,,TRUE,TRUE,1
MNXM123,1,,TRUE,TRUE,1
MNXM1231,1,,TRUE,TRUE,1
MNXM1243,1,,TRUE,TRUE,1
MNXM12480,1,,TRUE,TRUE,1
MNXM1255,1,,TRUE,TRUE,1
MNXM126241,1,,TRUE,TRUE,1
MNXM12629,1,,TRUE,TRUE,1
MNXM12651,1,,TRUE,TRUE,1
MNXM1363965,1,,TRUE,TRUE,1
MNXM1364149,1,,TRUE,TRUE,1
MNXM1364158,1,,TRUE,TRUE,1
MNXM1364163,1,,TRUE,TRUE,1
MNXM1364164,1,,TRUE,TRUE,1
MNXM1364248,1,,TRUE,TRUE,1
MNXM1364455,1,,TRUE,TRUE,1
MNXM1364559,1,,TRUE,TRUE,1
MNXM1364766,1,,TRUE,TRUE,1
MNXM1365109,1,,TRUE,TRUE,1
MNXM1369181,1,,TRUE,TRUE,1
MNXM1369184,1,,TRUE,TRUE,1
MNXM1370307,1,,TRUE,TRUE,1
MNXM1370308,1,,TRUE,TRUE,1
MNXM1370309,1,,TRUE,TRUE,1
MNXM1370998,1,,TRUE,TRUE,1
MNXM1371097,1,,TRUE,TRUE,1
MNXM1371099,1,,TRUE,TRUE,1
MNXM1371614,1,,TRUE,TRUE,1
MNXM1372180,1,,TRUE,TRUE,1
MNXM1372264,1,,TRUE,TRUE,1
MNXM1372277,1,,TRUE,TRUE,1
MNXM1372394,1,,TRUE,TRUE,1
MNXM1373318,1,,TRUE,TRUE,1
MNXM1373405,1,,TRUE,TRUE,1
MNXM1374221,1,,TRUE,TRUE,1
MNXM138,1,,TRUE,TRUE,1
MNXM1401,1,,TRUE,TRUE,1
MNXM1403,1,,TRUE,TRUE,1
MNXM145540,1,,TRUE,TRUE,1
MNXM145797,1,,TRUE,TRUE,1
MNXM145806,1,,TRUE,TRUE,1
MNXM146314,1,,TRUE,TRUE,1
MNXM146388,1,,TRUE,TRUE,1
MNXM147063,1,,TRUE,TRUE,1
MNXM147102,1,,TRUE,TRUE,1
MNXM147104,1,,TRUE,TRUE,1
MNXM147106,1,,TRUE,TRUE,1
MNXM147133,1,,TRUE,TRUE,1
MNXM147334,1,,TRUE,TRUE,1
MNXM147471,1,,TRUE,TRUE,1
MNXM148045,1,,TRUE,TRUE,1
MNXM148417,1,,TRUE,TRUE,1
MNXM148511,1,,TRUE,TRUE,1
MNXM148512,1,,TRUE,TRUE,1
MNXM1492,1,,TRUE,TRUE,1
MNXM150,1,,TRUE,TRUE,1
MNXM152,1,,TRUE,TRUE,1
MNXM152361,1,,TRUE,TRUE,1
MNXM153067,1,,TRUE,TRUE,1
MNXM1542255,1,,TRUE,TRUE,1
MNXM1543234,1,,TRUE,TRUE,1
MNXM1543236,1,,TRUE,TRUE,1
MNXM1543641,1,,TRUE,TRUE,1
MNXM1543665,1,,TRUE,TRUE,1
MNXM1543666,1,,TRUE,TRUE,1
MNXM1543667,1,,TRUE,TRUE,1
MNXM1543670,1,,TRUE,TRUE,1
MNXM1543671,1,,TRUE,TRUE,1
MNXM1543672,1,,TRUE,TRUE,1
MNXM1543673,1,,TRUE,TRUE,1
MNXM1543674,1,,TRUE,TRUE,1
MNXM1543675,1,,TRUE,TRUE,1
MNXM1543676,1,,TRUE,TRUE,1
MNXM157161,1,,TRUE,TRUE,1
MNXM15883,1,,TRUE,TRUE,1
MNXM159,1,,TRUE,TRUE,1
MNXM15900,1,,TRUE,TRUE,1
MNXM1634,1,,TRUE,TRUE,1
MNXM163729,1,,TRUE,TRUE,1
MNXM163758,1,,TRUE,TRUE,1
MNXM163766,1,,TRUE,TRUE,1
MNXM163786,1,,TRUE,TRUE,1
MNXM164,1,,TRUE,TRUE,1
MNXM16413,1,,TRUE,TRUE,1
MNXM164563,1,,TRUE,TRUE,1
MNXM164616,1,,TRUE,TRUE,1
MNXM164771,1,,TRUE,TRUE,1
MNXM167899,1,,TRUE,TRUE,1
MNXM1742,1,,TRUE,TRUE,1
MNXM1799,1,,TRUE,TRUE,1
MNXM18038,1,,TRUE,TRUE,1
MNXM1833,1,,TRUE,TRUE,1
MNXM187,1,,TRUE,TRUE,1
