orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed
xyluL[c],xyluL,xyluL,xyluL[c],c,FALSE,Unchanged,FALSE
ahcys[c],ahcys,MNXM1102167,MNXM1102167[c],c,TRUE,MetanetX conversion,FALSE
acac[m],acac,MNXM729595,MNXM729595[m],m,TRUE,MetanetX conversion,FALSE
zym_int2[r],zym_int2,MNXM733491,MNXM733491[r],r,TRUE,MetanetX conversion,FALSE
ACP[m],ACP,MNXM1373297,MNXM1373297[m],m,TRUE,MetanetX conversion,FALSE
4mzym_int1[r],4mzym_int1,MNXM732410,MNXM732410[r],r,TRUE,MetanetX conversion,FALSE
fru[c],fru,MNXM1364246,MNXM1364246[c],c,TRUE,MetanetX conversion,FALSE
oaa[c],oaa,MNXM46,MNXM46[c],c,TRUE,MetanetX conversion,FALSE
td2eACP[c],td2eACP,td2eACP,td2eACP[c],c,FALSE,Unchanged,FALSE
ash_1g[c],ash_1g,ash_1g,ash_1g[c],c,FALSE,Unchanged,FALSE
lycop[c],lycop,MNXM736242,MNXM736242[c],c,TRUE,MetanetX conversion,FALSE
frdp[c],frdp,MNXM1363934,MNXM1363934[c],c,TRUE,MetanetX conversion,FALSE
ump[c],ump,MNXM1104823,MNXM1104823[c],c,TRUE,MetanetX conversion,FALSE
ncam[c],ncam,MNXM216,MNXM216[c],c,TRUE,MetanetX conversion,FALSE
ps[m],ps,ps,ps[m],m,FALSE,Unchanged,FALSE
trnathr[c],trnathr,MNXM1543945,MNXM1543945[c],c,TRUE,MetanetX conversion,FALSE
adn[c],adn,MNXM1105760,MNXM1105760[c],c,TRUE,MetanetX conversion,FALSE
tdcoa[c],tdcoa,MNXM1104283,MNXM1104283[c],c,TRUE,MetanetX conversion,FALSE
44mzym[r],44mzym,MNXM37116,MNXM37116[r],r,TRUE,MetanetX conversion,FALSE
gam6p[c],gam6p,MNXM1104065,MNXM1104065[c],c,TRUE,MetanetX conversion,FALSE
3c2hmp[c],3c2hmp,MNXM741109,MNXM741109[c],c,TRUE,MetanetX conversion,FALSE
5aprbu[c],5aprbu,MNXM1365818,MNXM1365818[c],c,TRUE,MetanetX conversion,FALSE
iamoh[c],iamoh,MNXM1670,MNXM1670[c],c,TRUE,MetanetX conversion,FALSE
3c3hmp[c],3c3hmp,MNXM730929,MNXM730929[c],c,TRUE,MetanetX conversion,FALSE
ps[c],ps,ps,ps[c],c,FALSE,Unchanged,FALSE
25aics[c],25aics,MNXM1104647,MNXM1104647[c],c,TRUE,MetanetX conversion,FALSE
2obut[c],2obut,MNXM159,MNXM159[c],c,TRUE,MetanetX conversion,FALSE
acrn[x],acrn,MNXM726103,MNXM726103[x],x,TRUE,MetanetX conversion,FALSE
fol[e],fol,MNXM617,MNXM617[e],e,TRUE,MetanetX conversion,FALSE
dad5[c],dad5,dad5,dad5[c],c,FALSE,Unchanged,FALSE
4mzym_int2[r],4mzym_int2,MNXM1372351,MNXM1372351[r],r,TRUE,MetanetX conversion,FALSE
icit[m],icit,MNXM89661,MNXM89661[m],m,TRUE,MetanetX conversion,FALSE
hxdACP[c],hxdACP,hxdACP,hxdACP[c],c,FALSE,Unchanged,FALSE
3oocACP[m],3oocACP,3oocACP,3oocACP[m],m,FALSE,Unchanged,FALSE
hco3[n],hco3,MNXM1094693,MNXM1094693[n],n,TRUE,MetanetX conversion,FALSE
glyc[c],glyc,MNXM89612,MNXM89612[c],c,TRUE,MetanetX conversion,FALSE
actACP[m],actACP,MNXM1375056,MNXM1375056[m],m,TRUE,MetanetX conversion,FALSE
ac[c],ac,MNXM26,MNXM26[c],c,TRUE,MetanetX conversion,FALSE
dad5[m],dad5,dad5,dad5[m],m,FALSE,Unchanged,FALSE
malACP[c],malACP,MNXM731937,MNXM731937[c],c,TRUE,MetanetX conversion,FALSE
phytoe[c],phytoe,MNXM1371262,MNXM1371262[c],c,TRUE,MetanetX conversion,FALSE
occoa[c],occoa,MNXM1093479,MNXM1093479[c],c,TRUE,MetanetX conversion,FALSE
crn[m],crn,MNXM1105736,MNXM1105736[m],m,TRUE,MetanetX conversion,FALSE
pan4p[c],pan4p,MNXM373,MNXM373[c],c,TRUE,MetanetX conversion,FALSE
fol[c],fol,MNXM617,MNXM617[c],c,TRUE,MetanetX conversion,FALSE
pppg9[c],pppg9,MNXM351,MNXM351[c],c,TRUE,MetanetX conversion,FALSE
etoh[e],etoh,MNXM1108092,MNXM1108092[e],e,TRUE,MetanetX conversion,FALSE
glcn[c],glcn,MNXM341,MNXM341[c],c,TRUE,MetanetX conversion,FALSE
ppi[m],ppi,MNXM11,MNXM11[m],m,TRUE,MetanetX conversion,FALSE
34dhbz[c],34dhbz,MNXM1137687,MNXM1137687[c],c,TRUE,MetanetX conversion,FALSE
2EglutmeACP[c],2EglutmeACP,2EglutmeACP,2EglutmeACP[c],c,FALSE,Unchanged,FALSE
7dhdmos[c],7dhdmos,7dhdmos,7dhdmos[c],c,FALSE,Unchanged,FALSE
cystrna[c],cystrna,MNXM1543098,MNXM1543098[c],c,TRUE,MetanetX conversion,FALSE
aacoa[m],aacoa,MNXM1103802,MNXM1103802[m],m,TRUE,MetanetX conversion,FALSE
dtbt[m],dtbt,MNXM1020,MNXM1020[m],m,TRUE,MetanetX conversion,FALSE
oca[c],oca,MNXM114347,MNXM114347[c],c,TRUE,MetanetX conversion,FALSE
phytof[c],phytof,MNXM147288,MNXM147288[c],c,TRUE,MetanetX conversion,FALSE
1ag3p[c],1ag3p,MNXM1091645,MNXM1091645[c],c,TRUE,MetanetX conversion,FALSE
betald[c],betald,MNXM457,MNXM457[c],c,TRUE,MetanetX conversion,FALSE
dcACP[m],dcACP,dcACP,dcACP[m],m,FALSE,Unchanged,FALSE
cit[m],cit,MNXM1107752,MNXM1107752[m],m,TRUE,MetanetX conversion,FALSE
guaiacol[e],guaiacol,guaiacol,guaiacol[e],e,FALSE,Unchanged,FALSE
glycogen[c],glycogen,MNXM738130,MNXM738130[c],c,TRUE,MetanetX conversion,FALSE
etoh[c],etoh,MNXM1108092,MNXM1108092[c],c,TRUE,MetanetX conversion,FALSE
pg[m],pg,pg,pg[m],m,FALSE,Unchanged,FALSE
5ac724d3b[c],5ac724d3b,5ac724d3b,5ac724d3b[c],c,FALSE,Unchanged,FALSE
trnaarg[c],trnaarg,MNXM1543930,MNXM1543930[c],c,TRUE,MetanetX conversion,FALSE
fe2[c],fe2,MNXM1372038,MNXM1372038[c],c,TRUE,MetanetX conversion,FALSE
nicrns[c],nicrns,MNXM1102169,MNXM1102169[c],c,TRUE,MetanetX conversion,FALSE
oaa[m],oaa,MNXM46,MNXM46[m],m,TRUE,MetanetX conversion,FALSE
acoa[m],acoa,MNXM1526020,MNXM1526020[m],m,TRUE,MetanetX conversion,FALSE
trehalose_1g[c],trehalose_1g,trehalose_1g,trehalose_1g[c],c,FALSE,Unchanged,FALSE
zymol[c],zymol,zymol,zymol[c],c,FALSE,Unchanged,FALSE
ppcoa[c],ppcoa,MNXM1364414,MNXM1364414[c],c,TRUE,MetanetX conversion,FALSE
cit[x],cit,MNXM1107752,MNXM1107752[x],x,TRUE,MetanetX conversion,FALSE
amp[c],amp,MNXM728294,MNXM728294[c],c,TRUE,MetanetX conversion,FALSE
3mob[c],3mob,MNXM732866,MNXM732866[c],c,TRUE,MetanetX conversion,FALSE
zym_int1[r],zym_int1,MNXM91328,MNXM91328[r],r,TRUE,MetanetX conversion,FALSE
h2s[c],h2s,MNXM1366923,MNXM1366923[c],c,TRUE,MetanetX conversion,FALSE
lacL[x],lacL,lacL,lacL[x],x,FALSE,Unchanged,FALSE
h2o[x],h2o,WATER,WATER[x],x,TRUE,Other conversion,FALSE
argtrna[c],argtrna,MNXM1542933,MNXM1542933[c],c,TRUE,MetanetX conversion,FALSE
ddccoa[m],ddccoa,ddccoa,ddccoa[m],m,FALSE,Unchanged,FALSE
hco3[m],hco3,MNXM1094693,MNXM1094693[m],m,TRUE,MetanetX conversion,FALSE
zymst[r],zymst,MNXM738369,MNXM738369[r],r,TRUE,MetanetX conversion,FALSE
accoa[m],accoa,MNXM1104266,MNXM1104266[m],m,TRUE,MetanetX conversion,FALSE
3mop[m],3mop,MNXM1363947,MNXM1363947[m],m,TRUE,MetanetX conversion,FALSE
dmgly[c],dmgly,MNXM464,MNXM464[c],c,TRUE,MetanetX conversion,FALSE
betald[e],betald,MNXM457,MNXM457[e],e,TRUE,MetanetX conversion,FALSE
4r5au[c],4r5au,MNXM1372980,MNXM1372980[c],c,TRUE,MetanetX conversion,FALSE
g6p[c],g6p,MNXM1364259,MNXM1364259[c],c,TRUE,MetanetX conversion,FALSE
3dhq[c],3dhq,MNXM736874,MNXM736874[c],c,TRUE,MetanetX conversion,FALSE
frdp[m],frdp,MNXM1363934,MNXM1363934[m],m,TRUE,MetanetX conversion,FALSE
udp[m],udp,MNXM1102128,MNXM1102128[m],m,TRUE,MetanetX conversion,FALSE
e4p[c],e4p,MNXM258,MNXM258[c],c,TRUE,MetanetX conversion,FALSE
fum[m],fum,MNXM737340,MNXM737340[m],m,TRUE,MetanetX conversion,FALSE
trnaphe[c],trnaphe,MNXM1543941,MNXM1543941[c],c,TRUE,MetanetX conversion,FALSE
coa[x],coa,MNXM727276,MNXM727276[x],x,TRUE,MetanetX conversion,FALSE
ipdp[m],ipdp,MNXM83,MNXM83[m],m,TRUE,MetanetX conversion,FALSE
prpp[c],prpp,MNXM1104453,MNXM1104453[c],c,TRUE,MetanetX conversion,FALSE
for[c],for,MNXM39,MNXM39[c],c,TRUE,MetanetX conversion,FALSE
3kglutmeACP[c],3kglutmeACP,3kglutmeACP,3kglutmeACP[c],c,FALSE,Unchanged,FALSE
8aonn[c],8aonn,MNXM726864,MNXM726864[c],c,TRUE,MetanetX conversion,FALSE
4fzym[r],4fzym,4fzym,4fzym[r],r,FALSE,Unchanged,FALSE
trpL[c],trpL,trpL,trpL[c],c,FALSE,Unchanged,FALSE
so4[c],so4,MNXM58,MNXM58[c],c,TRUE,MetanetX conversion,FALSE
glutmeACP[c],glutmeACP,glutmeACP,glutmeACP[c],c,FALSE,Unchanged,FALSE
3c4mop[c],3c4mop,MNXM1602,MNXM1602[c],c,TRUE,MetanetX conversion,FALSE
pgp[m],pgp,pgp,pgp[m],m,FALSE,Unchanged,FALSE
clpn[m],clpn,clpn,clpn[m],m,FALSE,Unchanged,FALSE
nadh[x],nadh,MNXM10,MNXM10[x],x,TRUE,MetanetX conversion,FALSE
xu5pD[c],xu5pD,xu5pD,xu5pD[c],c,FALSE,Unchanged,FALSE
co2[e],co2,MNXM13,MNXM13[e],e,TRUE,MetanetX conversion,FALSE
pyr[c],pyr,MNXM23,MNXM23[c],c,TRUE,MetanetX conversion,FALSE
guaiacol[c],guaiacol,guaiacol,guaiacol[c],c,FALSE,Unchanged,FALSE
glutrna[c],glutrna,MNXM731032,MNXM731032[c],c,TRUE,MetanetX conversion,FALSE
pendp[m],pendp,MNXM732668,MNXM732668[m],m,TRUE,MetanetX conversion,FALSE
uacgam[c],uacgam,MNXM1104529,MNXM1104529[c],c,TRUE,MetanetX conversion,FALSE
tda[c],tda,tda,tda[c],c,FALSE,Unchanged,FALSE
ddca[m],ddca,MNXM402,MNXM402[m],m,TRUE,MetanetX conversion,FALSE
pe[m],pe,pe,pe[m],m,FALSE,Unchanged,FALSE
12dgr[m],12dgr,12dgr,12dgr[m],m,FALSE,Unchanged,FALSE
pc_monounsat_1g[c],pc_monounsat_1g,pc_monounsat_1g,pc_monounsat_1g[c],c,FALSE,Unchanged,FALSE
3c3hmp[m],3c3hmp,MNXM730929,MNXM730929[m],m,TRUE,MetanetX conversion,FALSE
co2[m],co2,MNXM13,MNXM13[m],m,TRUE,MetanetX conversion,FALSE
fpram[c],fpram,MNXM1363732,MNXM1363732[c],c,TRUE,MetanetX conversion,FALSE
3oocdACP[c],3oocdACP,3oocdACP,3oocdACP[c],c,FALSE,Unchanged,FALSE
