orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed
N6aclysL[c],N6aclysL,N6aclysL,N6aclysL[c],c,FALSE,Unchanged,FALSE
ahcys[c],ahcys,MNXM1102167,MNXM1102167[c],c,TRUE,MetanetX conversion,FALSE
acac[m],acac,MNXM729595,MNXM729595[m],m,TRUE,MetanetX conversion,FALSE
glu5sa[c],glu5sa,MNXM1093051,MNXM1093051[c],c,TRUE,MetanetX conversion,FALSE
oc2eACP[c],oc2eACP,oc2eACP,oc2eACP[c],c,FALSE,Unchanged,FALSE
2E5Zddccoa[m],2E5Zddccoa,2E5Zddccoa,2E5Zddccoa[m],m,FALSE,Unchanged,FALSE
zym_int2[r],zym_int2,MNXM733491,MNXM733491[r],r,TRUE,MetanetX conversion,FALSE
3o5Zddccoa[m],3o5Zddccoa,3o5Zddccoa,3o5Zddccoa[m],m,FALSE,Unchanged,FALSE
4mzym_int1[r],4mzym_int1,MNXM732410,MNXM732410[r],r,TRUE,MetanetX conversion,FALSE
3hddcACP[c],3hddcACP,3hddcACP,3hddcACP[c],c,FALSE,Unchanged,FALSE
3h7Z10Z13Zhxdcoa[m],3h7Z10Z13Zhxdcoa,3h7Z10Z13Zhxdcoa,3h7Z10Z13Zhxdcoa[m],m,FALSE,Unchanged,FALSE
fru[c],fru,MNXM1364246,MNXM1364246[c],c,TRUE,MetanetX conversion,FALSE
oaa[c],oaa,MNXM46,MNXM46[c],c,TRUE,MetanetX conversion,FALSE
td2eACP[c],td2eACP,td2eACP,td2eACP[c],c,FALSE,Unchanged,FALSE
ash_1g[c],ash_1g,ash_1g,ash_1g[c],c,FALSE,Unchanged,FALSE
ergst_1g[r],ergst_1g,ergst_1g,ergst_1g[r],r,FALSE,Unchanged,FALSE
lycop[c],lycop,MNXM736242,MNXM736242[c],c,TRUE,MetanetX conversion,FALSE
frdp[c],frdp,MNXM1363934,MNXM1363934[c],c,TRUE,MetanetX conversion,FALSE
ump[c],ump,MNXM1104823,MNXM1104823[c],c,TRUE,MetanetX conversion,FALSE
ncam[c],ncam,MNXM216,MNXM216[c],c,TRUE,MetanetX conversion,FALSE
ps[m],ps,ps,ps[m],m,FALSE,Unchanged,FALSE
trnathr[c],trnathr,MNXM1543945,MNXM1543945[c],c,TRUE,MetanetX conversion,FALSE
adn[c],adn,MNXM1105760,MNXM1105760[c],c,TRUE,MetanetX conversion,FALSE
2Eocdcoa[x],2Eocdcoa,2Eocdcoa,2Eocdcoa[x],x,FALSE,Unchanged,FALSE
tdcoa[c],tdcoa,MNXM1104283,MNXM1104283[c],c,TRUE,MetanetX conversion,FALSE
7Z10Z13Zhxdcoa[x],7Z10Z13Zhxdcoa,7Z10Z13Zhxdcoa,7Z10Z13Zhxdcoa[x],x,FALSE,Unchanged,FALSE
5aop[c],5aop,MNXM405,MNXM405[c],c,TRUE,MetanetX conversion,FALSE
44mzym[r],44mzym,MNXM37116,MNXM37116[r],r,TRUE,MetanetX conversion,FALSE
gam6p[c],gam6p,MNXM1104065,MNXM1104065[c],c,TRUE,MetanetX conversion,FALSE
dgmp[c],dgmp,MNXM736654,MNXM736654[c],c,TRUE,MetanetX conversion,FALSE
hxa[m],hxa,MNXM1653,MNXM1653[m],m,TRUE,MetanetX conversion,FALSE
3c2hmp[c],3c2hmp,MNXM741109,MNXM741109[c],c,TRUE,MetanetX conversion,FALSE
2Earachcoa[r],2Earachcoa,2Earachcoa,2Earachcoa[r],r,FALSE,Unchanged,FALSE
5aprbu[c],5aprbu,MNXM1365818,MNXM1365818[c],c,TRUE,MetanetX conversion,FALSE
3o7Z10Zhxdcoa[x],3o7Z10Zhxdcoa,3o7Z10Zhxdcoa,3o7Z10Zhxdcoa[x],x,FALSE,Unchanged,FALSE
f1p[c],f1p,MNXM1104787,MNXM1104787[c],c,TRUE,MetanetX conversion,FALSE
3ooccoa[m],3ooccoa,3ooccoa,3ooccoa[m],m,FALSE,Unchanged,FALSE
2Ehxdcoa[m],2Ehxdcoa,2Ehxdcoa,2Ehxdcoa[m],m,FALSE,Unchanged,FALSE
23dhmb[m],23dhmb,MNXM734,MNXM734[m],m,TRUE,MetanetX conversion,FALSE
3c3hmp[c],3c3hmp,MNXM730929,MNXM730929[c],c,TRUE,MetanetX conversion,FALSE
ps[c],ps,ps,ps[c],c,FALSE,Unchanged,FALSE
25aics[c],25aics,MNXM1104647,MNXM1104647[c],c,TRUE,MetanetX conversion,FALSE
epiester[r],epiester,epiester,epiester[r],r,FALSE,Unchanged,FALSE
2obut[c],2obut,MNXM159,MNXM159[c],c,TRUE,MetanetX conversion,FALSE
acrn[x],acrn,MNXM726103,MNXM726103[x],x,TRUE,MetanetX conversion,FALSE
3hoccoa[x],3hoccoa,3hoccoa,3hoccoa[x],x,FALSE,Unchanged,FALSE
