orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed
2mppal[e],2mppal,MNXM5189,MNXM5189[e],e,TRUE,MetanetX conversion,FALSE
xyluL[c],xyluL,xyluL,xyluL[c],c,FALSE,Unchanged,FALSE
4abut[e],4abut,MNXM192,MNXM192[e],e,TRUE,MetanetX conversion,FALSE
dad_2[e],dad_2,MNXM625,MNXM625[e],e,TRUE,MetanetX conversion,FALSE
ahcys[c],ahcys,MNXM1102167,MNXM1102167[c],c,TRUE,MetanetX conversion,FALSE
docosadp[e],docosadp,docosadp,docosadp[e],e,FALSE,Unchanged,FALSE
acac[m],acac,MNXM729595,MNXM729595[m],m,TRUE,MetanetX conversion,FALSE
glu5sa[c],glu5sa,MNXM1093051,MNXM1093051[c],c,TRUE,MetanetX conversion,FALSE
hqn[c],hqn,MNXM376,MNXM376[c],c,TRUE,MetanetX conversion,FALSE
ACP[m],ACP,MNXM1373297,MNXM1373297[m],m,TRUE,MetanetX conversion,FALSE
pacald[e],pacald,MNXM473,MNXM473[e],e,TRUE,MetanetX conversion,FALSE
fru[c],fru,MNXM1364246,MNXM1364246[c],c,TRUE,MetanetX conversion,FALSE
oaa[c],oaa,MNXM46,MNXM46[c],c,TRUE,MetanetX conversion,FALSE
ash_1g[c],ash_1g,ash_1g,ash_1g[c],c,FALSE,Unchanged,FALSE
salltn[c],salltn,salltn,salltn[c],c,FALSE,Unchanged,FALSE
argL[e],argL,argL,argL[e],e,FALSE,Unchanged,FALSE
ergst_1g[r],ergst_1g,ergst_1g,ergst_1g[r],r,FALSE,Unchanged,FALSE
lycop[c],lycop,MNXM736242,MNXM736242[c],c,TRUE,MetanetX conversion,FALSE
frdp[c],frdp,MNXM1363934,MNXM1363934[c],c,TRUE,MetanetX conversion,FALSE
ump[c],ump,MNXM1104823,MNXM1104823[c],c,TRUE,MetanetX conversion,FALSE
ps[m],ps,ps,ps[m],m,FALSE,Unchanged,FALSE
trnathr[c],trnathr,MNXM1543945,MNXM1543945[c],c,TRUE,MetanetX conversion,FALSE
