"file_name","processing_success","processing_time","pattern_detected","metabolites_total","metabolites_converted","conversion_rate","problems_detected","error_message"
"Elaphomyces_granulatus_gca_002240705.PX439.sbml",TRUE,33.5448260307312,"simple_bigg",1392,NA,61.5,0,NA
"Exophiala_aquamarina_CBS_119918_GCF_000709125.1.sbml",TRUE,36.4370651245117,"simple_bigg",1772,NA,55.8,0,NA
"Exophiala_dermatitidis_NIH-UT8656_GCF_000230625.1.sbml",TRUE,35.5674993991852,"simple_bigg",1687,NA,57.3,0,NA
"Exophiala_mesophila_CBS_40295_GCF_000836275.1.sbml",TRUE,35.4529852867126,"simple_bigg",1699,NA,56,0,NA
"Exophiala_mesophila_CCFEE_6314_GCA_004011775.1-O--117.44078788644684.sbml.sbml",TRUE,26.7148156166077,"simple_bigg",945,NA,75.4,0,NA
"Exophiala_mesophila_CCFEE_6314_GCA_004011775.1.sbml",TRUE,38.6005249023438,"simple_bigg",1998,NA,58.1,0,NA
"Exophiala_mesophila_gca_000836275.Exop_meso_CBS40295_V1.sbml",TRUE,35.907075881958,"simple_bigg",1695,NA,56,0,NA
"Exophiala_oligosperma_gca_000835515.Exop_olig_CBS72588_V1.sbml",TRUE,35.9502556324005,"simple_bigg",1755,NA,56.2,0,NA
"Exophiala_sideris_gca_000835395.Exop_side_CBS121828_V1.sbml",TRUE,36.7937910556793,"simple_bigg",1730,NA,56.1,0,NA
"Exophiala_spinifera_CBS_89968_GCF_000836115.1.sbml",TRUE,36.6699850559235,"simple_bigg",1805,NA,56.2,0,NA
"Exophiala_spinifera_gca_000836115.Exop_spin_CBS89968_V1.sbml",TRUE,36.5798177719116,"simple_bigg",1739,NA,56,0,NA
"Exophiala_xenobiotica_CBS_118157_GCF_000835505.1.sbml",TRUE,37.1329905986786,"simple_bigg",1770,NA,57.5,0,NA
"Exophiala_xenobiotica_gca_000835505.Exop_xeno_CBS118157_V1.sbml",TRUE,37.9153711795807,"simple_bigg",1781,NA,57,0,NA
"Fusarium_ambrosium_NRRL_20438_GCA_003947045.1.sbml",TRUE,36.9200422763824,"simple_bigg",1741,NA,57.3,0,NA
"Fusarium_avenaceum_Fa05001_GCA_000769215.1.sbml",TRUE,35.8813745975494,"simple_bigg",1761,NA,57.5,0,NA
"Fusarium_coffeatum_FIESC_28_GCF_003316985.1.sbml",TRUE,36.7389168739319,"simple_bigg",1735,NA,57.9,0,NA
"Fusarium_culmorum_PV_GCA_003033665.1.sbml",TRUE,33.8747260570526,"simple_bigg",1590,NA,59.3,0,NA
"Fusarium_culmorum.EF1.sbml",TRUE,36.0714747905731,"simple_bigg",1736,NA,57.1,0,NA
"Fusarium_euwallaceae_UCR1854_GCA_003957675.1.sbml",TRUE,34.1300103664398,"simple_bigg",1597,NA,60.6,0,NA
"Fusarium_flagelliforme_NRRL_13405_GCA_003012295.1.sbml",TRUE,36.4324748516083,"simple_bigg",1721,NA,57.8,0,NA
"Fusarium_floridanum_NRRL62606_GCA_003947005.1.sbml",TRUE,37.0919945240021,"simple_bigg",1734,NA,56.9,0,NA
"Fusarium_fujikuroi_Augusto2_GCA_009663095.1.sbml",TRUE,36.3712532520294,"simple_bigg",1749,NA,56.4,0,NA
"Fusarium_fujikuroi_C1995_GCA_900096645.1.sbml",TRUE,38.0725820064545,"simple_bigg",1820,NA,56.3,0,NA
"Fusarium_fujikuroi_CSV1_GCA_009663055.1.sbml",TRUE,35.7002327442169,"simple_bigg",1701,NA,56.4,0,NA
"Fusarium_fujikuroi_gca_001023035.ASM102303v1.sbml",TRUE,37.0404598712921,"simple_bigg",1744,NA,56.1,0,NA
"Fusarium_fujikuroi_gca_001023045.ASM102304v1.sbml",TRUE,35.4686574935913,"simple_bigg",1763,NA,56.4,0,NA
"Fusarium_fujikuroi_gca_001023065.ASM102306v1.sbml",TRUE,37.6478669643402,"simple_bigg",1713,NA,56.5,0,NA
"Fusarium_fujikuroi_gca_900096505.version_1-O--86.3471133838301.sbml.sbml",TRUE,25.6487555503845,"simple_bigg",933,NA,73.5,0,NA
"Fusarium_fujikuroi_gca_900096505.version_1.sbml",TRUE,38.9848790168762,"simple_bigg",1972,NA,58.4,0,NA
"Fusarium_fujikuroi_GCA_900096605.1.sbml",TRUE,36.1756229400635,"simple_bigg",1730,NA,55.9,0,NA
"Fusarium_fujikuroi_gca_900096685.version_1.sbml",TRUE,37.0489740371704,"simple_bigg",1788,NA,56.6,0,NA
"Fusarium_fujikuroi_gca_900096705.version_1.sbml",TRUE,35.8223383426666,"simple_bigg",1730,NA,56.7,0,NA
"Fusarium_fujikuroi_I1.3_GCA_009663115.1.sbml",TRUE,36.2499587535858,"simple_bigg",1741,NA,56.9,0,NA
"Fusarium_fujikuroi_IMI_58289_GCF_900079805.1.sbml",TRUE,36.9456825256348,"simple_bigg",1759,NA,56.9,0,NA
"Fusarium_fujikuroi_m567_GCA_900096615.1.sbml",TRUE,35.5923230648041,"simple_bigg",1760,NA,56.7,0,NA
"Fusarium_fujikuroi_MRC2276_GCA_900096635.1.sbml",TRUE,36.9866411685944,"simple_bigg",1724,NA,56.4,0,NA
"Fusarium_fujikuroi_NCIM1100_GCA_900096625.1.sbml",TRUE,36.2280375957489,"simple_bigg",1743,NA,56.6,0,NA
"Fusarium_fujikuroi.EF1.sbml",TRUE,37.250506401062,"simple_bigg",1783,NA,57,0,NA
"Fusarium_graminearum_gca_000240135.ASM24013v3.sbml",TRUE,35.2238824367523,"simple_bigg",1685,NA,57.2,0,NA
"Fusarium_graminearum_gca_000599445.CS3005v1.sbml",TRUE,36.6648502349854,"simple_bigg",1756,NA,57.3,0,NA
"Fusarium_graminearum_ITEM_124_GCA_002352725.1.sbml",TRUE,37.4848363399506,"simple_bigg",1745,NA,57.5,0,NA
"Fusarium_graminearum.RR1.sbml",TRUE,34.9501030445099,"simple_bigg",1687,NA,58,0,NA
"Fusarium_kuroshium_GCA_003698175.1.sbml",TRUE,36.8065960407257,"simple_bigg",1799,NA,55.4,0,NA
"Fusarium_langsethiae_gca_001292635.ASM129263v1.sbml",TRUE,35.4640095233917,"simple_bigg",1744,NA,57.5,0,NA
"Fusarium_longipes_NRRL_20695_GCA_003012285.1.sbml",TRUE,35.5980582237244,"simple_bigg",1672,NA,58.1,0,NA
"Fusarium_mangiferae_gca_900044065.Genome_assembly_version_1.sbml",TRUE,35.4645161628723,"simple_bigg",1701,NA,57.2,0,NA
"Fusarium_nygamai_gca_002894225.CS10214v1.sbml",TRUE,35.7491240501404,"simple_bigg",1715,NA,57.2,0,NA
"Fusarium_odoratissimum_NRRL_54006_GCF_000260195.1.sbml",TRUE,37.2676718235016,"simple_bigg",1782,NA,57.7,0,NA
"Fusarium_oxysporum_f_sp_cubense_race_1_gca_000350345.Foc1_1.0.sbml",TRUE,35.293773651123,"simple_bigg",1725,NA,56.5,0,NA
"Fusarium_oxysporum_f_sp_cubense_race_4_gca_000350365.Foc4_1.0.sbml",TRUE,35.9434492588043,"simple_bigg",1684,NA,54.9,0,NA
"Fusarium_oxysporum_f_sp_cubense_tropical_race_4_54006_gca_000260195.FO_II5_V1.sbml",TRUE,36.6953547000885,"simple_bigg",1790,NA,57.5,0,NA
"Fusarium_oxysporum_f_sp_lycopersici_4287_gca_000149955.ASM14995v2.sbml",TRUE,36.3484618663788,"simple_bigg",1752,NA,58.2,0,NA
"Fusarium_oxysporum_f_sp_lycopersici_mn25_gca_000259975.FO_MN25_V1.sbml",TRUE,37.278046131134,"simple_bigg",1798,NA,57.5,0,NA
"Fusarium_oxysporum_f_sp_radicis_cucumerinum_gca_001702695.ASM170269v2.sbml",TRUE,36.2735254764557,"simple_bigg",1679,NA,60.8,0,NA
"Fusarium_oxysporum_f_sp_radicis_lycopersici_26381_gca_000260155.FO_CL57_V1.sbml",TRUE,37.3691251277924,"simple_bigg",1794,NA,58,0,NA
"Fusarium_oxysporum_f_sp_raphani_54005_gca_000260235.FO_PHW815_V1.sbml",TRUE,35.7621386051178,"simple_bigg",1772,NA,57.4,0,NA
"Fusarium_oxysporum_f_sp_vasinfectum_25433_gca_000260175.FO_Cotton_V1.sbml",TRUE,37.4112603664398,"simple_bigg",1795,NA,58,0,NA
"Fusarium_oxysporum_f._sp._cepae_FoC_125_GCA_003615095.1.sbml",TRUE,36.031201839447,"simple_bigg",1757,NA,57.9,0,NA
"Fusarium_oxysporum_f._sp._cepae_FoC_A23_GCA_003615075.1.sbml",TRUE,36.7432725429535,"simple_bigg",1766,NA,57.4,0,NA
"Fusarium_oxysporum_f._sp._cepae_FoC_Fus2_GCA_003615085.1.sbml",TRUE,37.2167203426361,"simple_bigg",1789,NA,57.3,0,NA
"Fusarium_oxysporum_f._sp._cubense_TR4_GCA_007994515.1.sbml",TRUE,35.2676303386688,"simple_bigg",1724,NA,56.6,0,NA
"Fusarium_oxysporum_f._sp._narcissi_N139_GCA_004141715.1.sbml",TRUE,37.0151927471161,"simple_bigg",1764,NA,57.7,0,NA
"Fusarium_oxysporum_Fo_A13_GCA_003615115.1.sbml",TRUE,36.650618314743,"simple_bigg",1800,NA,57.6,0,NA
"Fusarium_oxysporum_Fo_A28_GCA_003615155.1.sbml",TRUE,35.5870759487152,"simple_bigg",1672,NA,56.9,0,NA
"Fusarium_oxysporum_Fo_CB3_GCA_003615165.1.sbml",TRUE,37.3966693878174,"simple_bigg",1815,NA,57.2,0,NA
"Fusarium_oxysporum_Fo_PG_GCA_003615185.1.sbml",TRUE,36.2787947654724,"simple_bigg",1771,NA,56.5,0,NA
"Fusarium_oxysporum_fosc_3_a_gca_000271745.FO_FOSC_3_a_V1.sbml",TRUE,38.3187246322632,"simple_bigg",1786,NA,57.4,0,NA
"Fusarium_oxysporum_gca_900096695.version_1.sbml",TRUE,35.6980166435242,"simple_bigg",1762,NA,56.9,0,NA
"Fusarium_oxysporum.FO2.sbml",TRUE,36.662544965744,"simple_bigg",1769,NA,57.7,0,NA
"Fusarium_poae_gca_001675295.FPOA1.0.sbml",TRUE,35.7404432296753,"simple_bigg",1726,NA,56.8,0,NA
"Fusarium_proliferatum_ET1_GCF_900067095.1.sbml",TRUE,34.9100272655487,"simple_bigg",1758,NA,57.1,0,NA
"Fusarium_proliferatum_Fp_A8_GCA_003615215.1.sbml",TRUE,36.2963433265686,"simple_bigg",1736,NA,56.9,0,NA
"Fusarium_proliferatum_gca_900029915.F._proliferatum_NRRL62905_version_1.sbml",TRUE,34.6360218524933,"simple_bigg",1713,NA,55.9,0,NA
"Fusarium_proliferatum_ITEM_2341_GCA_003290285.1.sbml",TRUE,36.1261990070343,"simple_bigg",1759,NA,56.3,0,NA
"Fusarium_pseudograminearum_CS3096_GCF_000303195.2.sbml",TRUE,34.9727740287781,"simple_bigg",1718,NA,57.6,0,NA
"Fusarium_pseudograminearum.GCA_000303195.1.sbml",TRUE,35.9231886863708,"simple_bigg",1731,NA,57.8,0,NA
"Fusarium_solani.v2.0.sbml",TRUE,35.7164947986603,"simple_bigg",1756,NA,56.1,0,NA
"Fusarium_sp._AF-4_NRRL62579_GCA_003946995.1.sbml",TRUE,35.8943686485291,"simple_bigg",1824,NA,56.7,0,NA
"Fusarium_sp._AF-6_NRRL62590_GCA_003947015.1.sbml",TRUE,35.8412539958954,"simple_bigg",1729,NA,57.1,0,NA
"Fusarium_sp._AF-8_NRRL62584_GCA_003946985.1.sbml",TRUE,35.8835661411285,"simple_bigg",1677,NA,57.8,0,NA
"Fusarium_sporotrichioides_NRRL_3299_GCA_003012315.1.sbml",TRUE,35.0855400562286,"simple_bigg",1724,NA,57.5,0,NA
"Fusarium_vanettenii_77-13-4_GCF_000151355.1-O--120.1550486941573.sbml.sbml",TRUE,25.4530036449432,"simple_bigg",952,NA,75.6,0,NA
"Fusarium_vanettenii_77-13-4_GCF_000151355.1.sbml",TRUE,38.309552192688,"simple_bigg",1998,NA,58.5,0,NA
"Fusarium_venenatum_A3-5_GCF_900007375.1.sbml",TRUE,35.4867784976959,"simple_bigg",1786,NA,58,0,NA
"Fusarium_venenatum_gca_900007375.ASM90000737v1.sbml",TRUE,35.0373041629791,"simple_bigg",1736,NA,57.8,0,NA
"Fusarium_verticillioides_7600_GCF_000149555.1.sbml",TRUE,35.0646440982819,"simple_bigg",1726,NA,57.6,0,NA
"Fusarium_verticillioides_BRIP14953_GCA_003316975.2.sbml",TRUE,35.11940574646,"simple_bigg",1742,NA,57.6,0,NA
"Fusarium_verticillioides.ASM14955v1.sbml",TRUE,35.5137052536011,"simple_bigg",1775,NA,57.5,0,NA
"Gigaspora_rosea_DAOM_194757_GCA_003550325.1.sbml",TRUE,31.8119814395905,"simple_bigg",1473,NA,60.5,0,NA
"Glomus_cerebriforme_DAOM_227022_GCA_003550305.1.sbml",TRUE,34.1454803943634,"simple_bigg",1607,NA,55.6,0,NA
"Gymnopilus_dilepis_SRW20_GCA_002938385.1.sbml",TRUE,32.9527447223663,"simple_bigg",1540,NA,62.1,0,NA
