GEM_ID,Kingdom,Phylum,Phylum_prev,Subclass,Genus,Species/strain,Citation,Source/link,Description,NCBI/RefSeq ID,GEM reaction count,SCC Filepath,Download command,Curation notes?,Imported by,Growth rate,Status,Status2,
iAF692,Archaea,Euryarchaeota,Euryarchaeota,Euryarchaeota,Methanosarcina,barkeri str. Fusaro,,BiGG iAF692,anaerobic methanogen,,688,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iAF692.xml,Downloaded from metanetx repository,,,,,Downloaded from MetanetX repository,
,Archaea,Thaumarchaeota),Thaumarchaeota),Thaumarchaeota),Thaumarchaeota,archaeon TA-21,Rubinstein et al. 2022,KBase narrative,ammonia-oxidizer,,894,/projectnb/talbot-lab-data/metabolic_models/curated_models/TA21/,"Notes on KBase interface: Having a hard time finding the model to download it. After going to the linked KBase site, scroll down to the section called Ammonia Oxidation. Click on ""Nitrososphaeraceae.genome"" that is listed as the KBase Object Name. From there, go to ""Related Data"" tab, and then click ""NitrososphaeraceaeEdit.model"", which provides the reactions, compounds, genes, etc that will go into the final model. However, from there (or anywhere else) I cannot find the actual model. When I try to download the genome that is listed on the overview tab (using wget https://narrative.kbase.us/#dataview/71260/26/6), it only downloads some kind of html. Also, I didn't find anywhere in the manuscript that descibes a complete metabolic model (though they do describe models that were manipulated/used in some other way). 

EDIT: Found the models!! On the side pannel (you may need to click on the blue expansion arrow in order to see it), expand ""DATA"", and scroll until you find ""NitrososphaeraceaeEdit.model"". When you expand it using the three small buttons on the side, there are several little gray icons. Click on the download icon, and choose ""SBML"" to download. Manually upload into the created SCC folder and renamed as nitrososphaeraceae_original (I called this folder ""TA21"")","The model did not pass validation at first. There were 9 errors [all the same: (SBML Validation Rule #fbc-20303) The value of attribute 'fbc:chemicalFormula' on the SBML <species> object must be set to a string consisting only of atomic names or user defined compounds and their occurrence. Reference: L3V1 Fbc V3 Section 3.4 Encountered 'n' when expecting a capital letter.The chemicalFormula 'null' has incorrect syntax.] It seems like if null changes to Null, it might pass. 

The lines that were causing an error were: id=M_cpd17042_c0; M_cpd17041_c0; M_cpd22290_c0; M_cpd28297_c0; M_cpd19168_c0; M_cpd30750_c0; M_cpd12713_c0; M_cpd17043_c0; M_cpd11416_c0. After these lines were adjusted as described, they no longer show as errors. However, the following error did show up next in the validator: ""Error Line 25604 Column 93: (SBML Validation Rule #21101) A <reaction> definition must contain at least one <speciesReference>, either in its <listOfReactants> or its <listOfProducts>. A reaction without any reactant or product species is not permitted, regardless of whether the reaction has any modifier species. Reference: L3V1 Section 4.11.3 The <reaction> with id 'R_rxn14003_c0' does not contain any reactants or products. <reaction metaid=""meta_R_rxn14003_c0"" sboTerm=""SBO:0000176"" id=""R_rxn14003_c0"" name=""ATP:ADP phosphatransferase_c0"" reversible=""true"" fast=""false"" fbc:lowerFluxBound=""cobra_default_lb"" fbc:upperFluxBound=""cobra_default_ub"">, so I deleted this reaction. This seemed to work for the validator!!!! See ""nitrososphaeraceae_deleted lines"" text file in the folder for the text that I deleted. The ""nitrososphaeraceae_edited.xml"" should pass validation, though there are still >1000 warnings

Metanet error: ""2022/07/07 21:07:10 SBML> Declared parameter/flux [-Inf] not used2022/07/07 21:07:10 Reactions.pm 63> Declared parameter/flux [Inf] not used Cannot parse equation rxn13782_c0: = 1 M_cpd17041@c0 Such reaction has no reactant and/or product and is not detected as exchange reaction"". So I deleted that reaction (also included in the deleted lines file), but when I re-ran in metanet, the same error popped up for the sequentially next reaction (rxn13783_c0). I've ran into a similar trend before where the same errors will keep showing for each sequential reaction, so I stopped deleting lines. The edited file was put into Memote",Sam,"63.94 (this was created using the ""nitrososphaeraceae_edited.xml"" file, which was altered as described in ""curation notes"" from the nitrososphaeraceae_original.xml. This file did NOT pass metanet, though I did delete 2 reactions from the file before using it to create a memote report. ","This genoms is called ""Nitrososphaeraceae"" on KBase (I'm pretty sure that's right, but it should be double checked!)",Zoey note: try changing bounds to real values (rather than inf) for the problematic exchange reactions such as protein biosynthesis,
iMG746,Archaea,Euryarchaeota,Euryarchaeota,Euryarchaeota,Methanosarcina,barkeri str. Fusaro,Gonnerman et al. 2013,paper supplement,,,815,,,,,0.02,,,
salb,Bacteria,Actinomycetota,Actinobacteria,Actinomycetota,Streptomyces,albidoflavus (albus J1074),Sulheim et al. 2020,SysBio Chalmers Github,filamentous bacteria,,2231,/projectnb/talbot-lab-data/metabolic_models/curated_models/salb/,wget https://github.com/SysBioChalmers/Salb-GEM/raw/master/ModelFiles/xml/Salb-GEM.xml,"First attempt: validator was down so I entered it into MetaNet. Error 20303 with several lines (""The value of attribute 'fbc:chemicalFormula' on the SBML <species> object must be set to a string consisting only of atomic names or user defined compounds and their occurrence""). Second attempt: 16 errors and 1 warning popped up, most for Error 20303, as well as ""Line 3 Column 27: (LibSBML Check #99404) LibSBML expected to read the annotation into a ModelHistory object."" The only file in the folder is the original that I downloaded from github",Sam,,"Failed validation, see ""Curation notes"" column",,
sco,Bacteria,Actinomycetota,Actinobacteria,Actinomycetota,Streptomyces,coelicolor A3(2),,SysBio Chalmers Github,filamentous bacteria,GCA_000203835.1,2599,/projectnb/talbot-lab-data/metabolic_models/curated_models/sco/,wget https://github.com/SysBioChalmers/Sco-GEM/raw/master/model/Sco-GEM.xml,"Validator was down so I skipped this, but MetaNet worked!! Going forward I guess, can go back to validator if needed (but I think if passed MetaNet would also pass validator). In an attempt to save the metanet tables, I downloaded the 'Input Summary' from metanet, which I think has all the reactions that were incompatible (unknown) with metanet. Update: I went back to validator, and the sbml was approved/passed, though showed 8 errors under this code (these errors might be related to weird Memote results?): ""The value of the 'sboTerm' attribute on a <species> is expected to be an SBO identifier (http://www.biomodels.net/SBO/). In SBML Level 2 prior to Version 4 it is expected to refer to a participant physical type (i.e., terms derived from SBO:0000236, ""participant physical type""); in Versions 4 and above it is expected to refer to a material entity (i.e., terms derived from SBO:0000240, ""material entity""). Reference: L3V1 Section 5 SBO term 'SBO:0000649' on the <species> is not in the appropriate branch.""",Sam,"(with Metanet SBML, growth rate= 0); Github authors say it should be 0.07; with original SBML, growth rate is 0.07 on my created memote report! (see ""memote_sco_original.html"")","This seems wrong. When creating memote report with the MetaNet sbml, there are 10 reactions that have been identified in the memote report and all have ""0.00"" for biomass production in default medium. I also tried the original SBML (which had not been passed through MetaNet), but it got stuck in ""test_consistency"" and would not finish the code. Sam posted an issue to github and got a response. UPDATE: In order to get the original SBML to create a Memote report, I used the following code ""memote report snapshot --filename memote_sco_original.html sco_original.xml --skip test_inconsistent_min_stoichiometry"" and IT WORKED! (before loading Memote packages, run ""qrsh -l h_rt=2:00:00"" at very beginning) The growth rate that I found with this memote report is 0.07, which is what the github response said it should be. It seems important to use the 'original' sbml here, as the metanet version produced unexpected and wrong (according to github authors) results",Github issue + response,
iYO844,Bacteria,Bacillota,Firmicutes,Bacillota,Bacillus,subtilis subsp. subtilis str. 168,,BiGG iYO844,denitrifier,,1251,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iYO844.xml,Downloaded from metanetx repository,,,,,Downloaded from MetanetX repository,
iHN637,Bacteria,Bacillota,Firmicutes,Bacillota,Clostridium,ljungdahlii DSM 13528,,BiGG iHN637,"acetogen, nitrate-reducer",,785,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iHN637.xml,,,,,,,
iJN746,Bacteria,Gammaproteobacteria,Proteobacteria,Gammaproteobacteria,Pseudomonas,putida KT2440,,BiGG iJN746,denitrifier,,1045,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iJN746.xml,Downloaded from metanetx repository,,,,,Downloaded from MetanetX repository,
iSB619,Bacteria,Bacillota,Firmicutes,Bacillota,Staphylococcus,aureus subsp. aureus N315,,BiGG iSB619,,,744,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iSB619.xml,Downloaded from metanetx repository,,,0.158,,Downloaded from MetanetX repository,Newer models may be better: https://www-nature-com.ezproxy.bu.edu/articles/s41540-021-00188-4#ref-CR105
riPB890,Bacteria,Gammaproteobacteria,Proteobacteria,Gammaproteobacteria,Pseudomonas,stutzeri A1501,Borer et al. 2019,IndiMeSH,,,173,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/sbml/iPB890_rGEM_v3.xml,,Reduced-scale from BiGG,,,,,
riJN746,Bacteria,Gammaproteobacteria,Proteobacteria,Gammaproteobacteria,Pseudomonas,putida KT2440,Borer et al. 2019,IndiMeSH,denitrifier,,259,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/sbml/iJN746_rGEM_v3.xml,,Reduced-scale from BiGG,,,,,
riJO1366,Bacteria,Pseudomonadota,Proteobacteria,Pseudomonadota,Escherichia,coli K-12 (iJO1366),Borer et al. 2019,IndiMeSH,,,432,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/sbml/iJO1366_rGEM_v3.xml,,Reduced-scale from BiGG,,,,,
riRR1083,Bacteria,Pseudomonadota,Proteobacteria,Pseudomonadota,Salmonella,enterica LT2 (iRR1083),Borer et al. 2019,IndiMeSH,,,346,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/sbml/iRR1083_rGEM_v3.xml,,Reduced-scale from BiGG,,,,,
iAF987,Bacteria,Pseudomonadota,Proteobacteria,Pseudomonadota,Geobacter,metallireducens GS-15,,BiGG iAF987,metal-reducing proteobacterium,,1285,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iAF987.xml,,,,,,,
