taxonomy_id,lineage,db_name,taxon,cultivatedCrops,deciduousForest,dwarfScrub,emergentHerbaceousWetlands,evergreenForest,grasslandHerbaceous,mixedForest,pastureHay,sedgeHerbaceous,shrubScrub,woodyWetlands
376,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp.,soil_microbe_db,Bradyrhizobium sp.,1,1,1,1,1,1,1,1,1,1,1
1380355,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. URHD0069,soil_microbe_db,Bradyrhizobium sp. URHD0069,1,1,1,1,1,1,1,1,1,1,1
2807671,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. AUGA SZCCT0283,soil_microbe_db,Bradyrhizobium sp. AUGA SZCCT0283,1,1,1,1,1,1,1,1,1,1,1
2836178,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. SRL28,soil_microbe_db,Bradyrhizobium sp. SRL28,1,1,1,1,1,1,1,1,1,1,1
1641856,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. S69,soil_microbe_db,Bradyrhizobium sp. S69,1,1,1,1,1,1,1,1,1,1,1
2720082,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. dw_411,soil_microbe_db,Bradyrhizobium sp. dw_411,1,1,1,1,1,1,1,1,1,1,1
1040989,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. ARR65,soil_microbe_db,Bradyrhizobium sp. ARR65,1,1,1,1,1,1,1,1,1,1,1
113395,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. Tv2a-2,soil_microbe_db,Bradyrhizobium sp. Tv2a-2,1,1,1,1,1,1,1,1,1,1,1
2719793,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. dw_78,soil_microbe_db,Bradyrhizobium sp. dw_78,1,1,1,1,1,1,1,1,1,1,1
189753,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. Ec3.3,soil_microbe_db,Bradyrhizobium sp. Ec3.3,1,1,1,1,1,1,1,1,1,1,1
2807674,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. AUGA SZCCT0431,soil_microbe_db,Bradyrhizobium sp. AUGA SZCCT0431,1,1,1,1,1,1,1,1,1,1,1
2831780,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. sBnM-33,soil_microbe_db,Bradyrhizobium sp. sBnM-33,1,1,1,1,1,1,1,1,1,1,1
196490,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. Ai1a-2,soil_microbe_db,Bradyrhizobium sp. Ai1a-2,1,1,1,1,1,1,1,1,1,1,1
858422,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. CCBAU 051011,soil_microbe_db,Bradyrhizobium sp. CCBAU 051011,1,1,1,1,1,1,1,1,1,1,1
2807673,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. JYMT SZCCT0428,soil_microbe_db,Bradyrhizobium sp. JYMT SZCCT0428,1,1,1,1,1,1,1,1,1,1,1
1615890,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. LTSP849,soil_microbe_db,Bradyrhizobium sp. LTSP849,1,1,1,1,1,1,1,1,1,1,1
1619232,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. LTSP885,soil_microbe_db,Bradyrhizobium sp. LTSP885,1,1,1,1,1,1,1,1,1,1,1
1680159,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. NAS80.1,soil_microbe_db,Bradyrhizobium sp. NAS80.1,1,1,1,1,1,1,1,1,1,1,1
2807666,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. JYMT SZCCT0180,soil_microbe_db,Bradyrhizobium sp. JYMT SZCCT0180,1,1,1,1,1,1,1,1,1,1,1
551947,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. STM 3843,soil_microbe_db,Bradyrhizobium sp. STM 3843,1,1,1,1,1,1,1,1,1,1,1
2831781,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. sGM-13,soil_microbe_db,Bradyrhizobium sp. sGM-13,1,1,1,1,1,1,1,1,1,1,1
1680155,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. AS23.2,soil_microbe_db,Bradyrhizobium sp. AS23.2,1,1,1,1,1,1,1,1,1,1,1
83637,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium genosp. L,soil_microbe_db,Bradyrhizobium genosp. L,1,1,1,1,1,1,1,1,1,1,1
189873,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. LMTR 3,soil_microbe_db,Bradyrhizobium sp. LMTR 3,1,1,1,1,1,1,1,1,1,1,1
2807668,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. AUGA SZCCT0222,soil_microbe_db,Bradyrhizobium sp. AUGA SZCCT0222,1,1,1,1,1,1,1,1,1,1,1
2057741,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. SK17,soil_microbe_db,Bradyrhizobium sp. SK17,1,1,1,1,1,1,1,1,1,1,1
1038867,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. WSM3983,soil_microbe_db,Bradyrhizobium sp. WSM3983,1,1,1,1,1,1,1,1,1,1,1
1325120,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. CCBAU 53421,soil_microbe_db,Bradyrhizobium sp. CCBAU 53421,1,1,1,1,1,1,1,1,1,1,1
115808,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. ORS 285,soil_microbe_db,Bradyrhizobium sp. ORS 285,1,1,1,1,1,1,1,1,1,1,1
318996,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. WSM1743,soil_microbe_db,Bradyrhizobium sp. WSM1743,1,1,1,1,1,1,1,1,1,1,1
2807667,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. AUGA SZCCT0182,soil_microbe_db,Bradyrhizobium sp. AUGA SZCCT0182,1,1,1,1,1,1,1,1,1,1,1
1768753,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. CCH5-F6,soil_microbe_db,Bradyrhizobium sp. CCH5-F6,1,1,1,1,1,1,1,1,1,1,1
1680160,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. NAS96.2,soil_microbe_db,Bradyrhizobium sp. NAS96.2,1,1,1,1,1,1,1,1,1,1,1
566679,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. ORS 375,soil_microbe_db,Bradyrhizobium sp. ORS 375,1,1,1,1,1,1,1,1,1,1,1
