taxonomy_id,Species of interest,temperature_preference,pH_preference
9,Buchnera aphidicola,15.6666666666667,2.3890637174486
24,Shewanella putrefaciens,11.2333333333333,3.43687662950921
25,Shewanella hanedai,11.175,3.91390348576282
33,Myxococcus fulvus,41.1333333333333,8.88413397239917
34,Myxococcus xanthus,0.5,8.61273064255262
35,Corallococcus macrosporus,41.1333333333333,8.61273064255262
41,Stigmatella aurantiaca,41.1333333333333,8.61273064255262
43,Cystobacter fuscus,41.1333333333333,5.49109130916635
48,Archangium gephyra,44.0333333333333,8.88413397239917
54,Nannocystis exedens,41.1333333333333,8.88413397239917
56,Sorangium cellulosum,44.0333333333333,8.88413397239917
60,Vitreoscilla sp.,0.5,5.46973468674839
63,Vitreoscilla filiformis,0.5,3.74834229268757
69,Lysobacter enzymogenes,13.3333333333333,8.61273064255262
78,Caulobacter sp.,9.7,3.43687662950921
82,Hyphomicrobium sp.,13.9666666666667,8.88413397239917
84,Hyphomicrobium methylovorum,11.8666666666667,4.3798848809173
87,Hyphomonas sp.,12.3,2.3890637174486
94,Stella humosa,14.8,3.34981306310323
100,Ancylobacter aquaticus,13.6666666666667,4.22722369951647
102,Polaribacter glomeratus,17.2666666666667,3.24438292494113
117,Pirellula sp.,22.9666666666667,8.61273064255262
122,Gimesia maris,16.7,2.3890637174486
124,Blastopirellula marina,14.8,4.3798848809173
163,Treponema bryantii,15,2.3890637174486
166,Treponema sp.,16.2,2.89161700747135
178,Leptospira sp.,29.4333333333333,2.58603382790421
189,Novispirillum itersonii,13.6666666666667,3.74834229268757
192,Azospirillum brasilense,28.0333333333333,8.61273064255262
193,Azospirillum lipoferum,25.8,8.61273064255262
195,Campylobacter coli,16.1333333333333,2.58603382790421
197,Campylobacter jejuni,15.1666666666667,2.56816732308612
199,Campylobacter concisus,10.2333333333333,2.91439260508263
204,Campylobacter showae,13.6666666666667,2.89161700747135
205,Campylobacter sp.,14,3.22497121832215
210,Helicobacter pylori,33.2,2.58603382790421
211,Helicobacter sp. CLO-3,14.7333333333333,3.70896465970594
238,Elizabethkingia meningoseptica,28.7333333333333,7.13717884279728
239,Flavobacterium sp.,35.7333333333333,8.13789583370125
244,Planomicrobium okeanokoites,6.36666666666667,7.71016265527533
250,Chryseobacterium gleum,41.1333333333333,2.71460709000647
252,Halomonas halmophila,40.0666666666667,8.13789583370125
253,Chryseobacterium indologenes,0.5,5.53837238495001
254,Chryseobacterium indoltheticum,14.133333333333301,2.71460709000647
256,Myroides odoratus,1.46666666666667,3.6061947584796
258,Sphingobacterium spiritivorum,0.5,3.03986226495913
259,Sphingobacterium thalpophilum,7.56666666666667,2.56816732308612
266,Paracoccus denitrificans,14.8,8.33788275629021
271,Thermus aquaticus,40.0666666666667,8.33788275629021
274,Thermus thermophilus,33.2,8.13789583370125
276,Thermus filiformis,40.0666666666667,2.3890637174486
280,Xanthobacter autotrophicus,23.6333333333333,2.3890637174486
281,Xanthobacter flavus,14.2333333333333,4.51235837026785
285,Comamonas testosteroni,0.5,4.3798848809173
287,Pseudomonas aeruginosa,35.7333333333333,8.61273064255262
292,Burkholderia cepacia,26.8333333333333,8.61273064255262
293,Brevundimonas diminuta,9.7,4.02837148884667
294,Pseudomonas fluorescens,13.3333333333333,2.3890637174486
296,Pseudomonas fragi,0.5,2.58794272066278
297,Hydrogenophilus thermoluteolus,28.0333333333333,2.3890637174486
298,Pseudomonas marginalis,0.5,3.80261688978808
300,Pseudomonas mendocina,0.5,8.33788275629021
301,Pseudomonas oleovorans,20.1333333333333,4.3452131707757
303,Pseudomonas putida,9.4,8.61273064255262
304,Roseateles saccharophilus,21.6333333333333,4.90558711467137
305,Ralstonia solanacearum,12.9666666666667,8.61273064255262
306,Pseudomonas sp.,41.1333333333333,8.33788275629021
316,Stutzerimonas stutzeri,13.3333333333333,8.61273064255262
317,Pseudomonas syringae,3.33333333333333,2.3890637174486
329,Ralstonia pickettii,23.7333333333333,4.7984041645186
347,Xanthomonas oryzae,41.1333333333333,2.3890637174486
350,Zoogloea ramigera,41.1333333333333,8.33788275629021
353,Azotobacter chroococcum,32.3666666666667,8.61273064255262
358,Agrobacterium tumefaciens,12.3,3.93749134124951
359,Rhizobium rhizogenes,13.9666666666667,8.61273064255262
373,Agrobacterium vitis,12.5,3.8725107709169
375,Bradyrhizobium japonicum,10.8,8.88413397239917
376,Bradyrhizobium sp.,0.5,4.02055428326316
380,Sinorhizobium fredii,30,8.61273064255262
381,Mesorhizobium loti,9.7,4.92164648087403
382,Sinorhizobium meliloti,41.1333333333333,8.33788275629021
384,Rhizobium leguminosarum,13.3333333333333,3.97595292199501
391,Rhizobium sp.,22.9666666666667,4.3798848809173
396,Rhizobium phaseoli,14.8,3.8725107709169
398,Rhizobium tropici,14.5,3.64602090039045
399,Neorhizobium galegae,12.5,8.61273064255262
405,Methylobacillus flagellatus,0.575,3.74834229268757
408,Methylorubrum extorquens,41.1333333333333,8.33788275629021
409,Methylobacterium sp.,25.8,8.61273064255262
410,Methylobacterium organophilum,40.0666666666667,8.13789583370125
414,Methylococcus capsulatus,41.1333333333333,8.33788275629021
418,Methylomonas sp.,0.5,3.74834229268757
421,Methylomonas methanica,0.5,3.4
428,Methylosinus sporium,0.575,3.74834229268757
435,Acetobacter aceti,18.3333333333333,3.74834229268757
436,Novacetimonas hansenii,17.2333333333333,3.74834229268757
437,Acidomonas methanolica,14.8,3.69929312209583
440,Acetobacter sp.,4.66666666666667,2.3890637174486
442,Gluconobacter oxydans,34.8333333333333,3.03986226495913
447,Legionella bozemanae,2.3,2.93047829279992
448,Legionella erythra,0.575,3.82510148512045
449,Legionella hackeliae,3.3,4.69862598346006
450,Legionella longbeachae,7.1,2.73493456305164
451,Legionella micdadei,8.4,3.46906347433194
452,Legionella spiritensis,6.33333333333333,4.00202030673139
453,Legionella feeleii,2.3,2.77953964566369
454,Legionella israelensis,2.3,3.22497121832215
455,Legionella jamestowniensis,6.96666666666667,4.3452131707757
456,Legionella jordanis,2.95,2.91439260508263
458,Legionella rubrilucens,0.6,3.70896465970594
459,Legionella sp.,3.83333333333333,3.8725107709169
460,Legionella steigerwaltii,10.2333333333333,2.70281664502773
464,Fluoribacter gormanii,7.8,4.00202030673139
466,Legionella maceachernii,7.53333333333333,4.00202030673139
470,Acinetobacter baumannii,22.9666666666667,2.72840578925429
471,Acinetobacter calcoaceticus,35.7333333333333,5.54740752300522
477,Moraxella lacunata,12.7,3.03986226495913
484,Neisseria flavescens,12.8,2.3890637174486
486,Neisseria lactamica,1.8,3.42006613616519
488,Neisseria mucosa,12.7,3.22497121832215
490,Neisseria sicca,29.6666666666667,3.6061947584796
492,Neisseria animalis,1.75,2.97508479600117
493,Neisseria canis,2.3,2.8060479808665
498,Psychrobacter immobilis,12.7,2.70281664502773
505,Kingella oralis,1.46666666666667,3.03986226495913
511,Alcaligenes faecalis,14.8,3.8725107709169
521,Bordetella avium,18.8666666666667,4.00202030673139
526,Acidiphilium rubrum,0.5,2.92785091461285
529,Brucella anthropi,13.6666666666667,4.00202030673139
537,Iodobacter fluviatilis,0.575,2.3890637174486
539,Eikenella corrodens,0.575,2.72840578925429
542,Zymomonas mobilis,11,3.43687662950921
546,Citrobacter freundii,0.5,5.87539153833332
548,Klebsiella aerogenes,21.2,5.72335901987394
549,Pantoea agglomerans,28.5333333333333,6.66397889880639
