"","taxonomy_id","taxon","Kingdom","Phylum","Class","Order","Family","Genus"
"1",376,"Bradyrhizobium sp.","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
"2",1380355,"Bradyrhizobium sp. URHD0069","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
"3",2807671,"Bradyrhizobium sp. AUGA SZCCT0283","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
"4",2836178,"Bradyrhizobium sp. SRL28","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
"5",1641856,"Bradyrhizobium sp. S69","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
"6",2720082,"Bradyrhizobium sp. dw_411","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
"7",1040989,"Bradyrhizobium sp. ARR65","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
"8",113395,"Bradyrhizobium sp. Tv2a-2","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
"9",2719793,"Bradyrhizobium sp. dw_78","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
"10",189753,"Bradyrhizobium sp. Ec3.3","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
"11",2807674,"Bradyrhizobium sp. AUGA SZCCT0431","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
"12",2831780,"Bradyrhizobium sp. sBnM-33","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
"13",196490,"Bradyrhizobium sp. Ai1a-2","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
"14",858422,"Bradyrhizobium sp. CCBAU 051011","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
"15",2807673,"Bradyrhizobium sp. JYMT SZCCT0428","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
"16",1615890,"Bradyrhizobium sp. LTSP849","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
"17",1619232,"Bradyrhizobium sp. LTSP885","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
"18",1680159,"Bradyrhizobium sp. NAS80.1","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
