"","taxon","Kingdom","Phylum","Class","Order","Family","Genus","accession"
"1","Bacillus paramycoides","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"2","Bacillus paramycoides","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"3","Bacillus sp. MM2020_4","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"4","Bacillus sp. MM2020_4","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"5","Methanosarcina sp. Ant1","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina",NA
"6","Methanosarcina sp. Ant1","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina",NA
"7","Clostridium sp. AM58-1XD","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium",NA
"8","Clostridium sp. MCC353","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium",NA
"9","Azotobacter beijerinckii","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Azotobacter",NA
"10","Bradyrhizobium sp. AUGA SZCCT0158","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium",NA
"11","Bacillus sp. USDA818B3_A","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"12","Bacillus sp. USDA818B3_A","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"13","Bacillus sp. CMF21","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"14","Bacillus sp. CMF21","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"15","Bacillus sp. S3","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"16","Bacillus sp. S3","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"17","Bradyrhizobium liaoningense","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium",NA
"18","Bacillus sp. FJAT-49736","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"19","Bacillus sp. FJAT-49736","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"20","Rhodotorula toruloides","Eukaryota","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula",NA
"21","Bradyrhizobium sp. STM 3843","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium",NA
"22","Methanosarcina sp. 2.H.T.1A.6","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina",NA
"23","Methanosarcina sp. 2.H.T.1A.6","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina",NA
"24","Bradyrhizobium guangzhouense","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium",NA
"25","Bradyrhizobium sp. ORS 285","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium",NA
"26","Bacillus sp. FJAT-27264","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"27","Bacillus sp. FJAT-27264","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"28","Sinorhizobium sp. M4_45","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Sinorhizobium",NA
"29","Clostridium pasteurianum","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium",NA
"30","Bradyrhizobium sp. JYMT SZCCT0180","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium",NA
"31","Clostridium sp. USBA 49","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium",NA
"32","Clostridium tarantellae","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium",NA
"33","Bacillus sp. AFS096315","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"34","Bacillus sp. AFS096315","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"35","Bacillus sp. FJAT-42376","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"36","Bacillus sp. FJAT-42376","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"37","Clostridium fallax","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium",NA
"38","Bacillus ectoiniformans","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"39","Bacillus ectoiniformans","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
