"","nlcdClass","nlcdForest","nlcdManaged","prettyNlcd"
"1","cultivatedCrops",0,1,"Cultivated Crops"
"2","deciduousForest",1,0,"Deciduous Forest"
"3","dwarfScrub",0,0,"Dwarf Scrub"
"4","emergentHerbaceousWetlands",0,0,"Emergent Herbaceous Wetlands"
"5","evergreenForest",1,0,"Evergreen Forest"
"6","grasslandHerbaceous",0,0,"Grassland/Herbaceous"
"7","mixedForest",1,0,"Mixed Forest"
"8","pastureHay",0,1,"Pasture/Hay"
"9","sedgeHerbaceous",0,0,"Sedge/Herbaceous"
"10","shrubScrub",0,0,"Shrub/Scrub"
"11","woodyWetlands",0,0,"Woody Wetlands"
