"","GEM ID","Kingdom","Genus","Species.strain","Citation","Source","Filepath","Match criteria","Species of interest","pH sensitive","Temperature sensitive","Functional in COMETS?","db_name","cultivatedCrops","deciduousForest","dwarfScrub","emergentHerbaceousWetlands","evergreenForest","grasslandHerbaceous","mixedForest","pastureHay","sedgeHerbaceous","shrubScrub","woodyWetlands"
"1","iGC535","Bacteria","Nitrosomonas","europaea","Canto-Encalada et al 2022","https://github.com/cristalzucsd/Nitrosomonaseuropaea/tree/main/SBML_Models",NA,"Genus","Nitrosomonas sp.","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"2","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium cytisi","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"3","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. ARR65","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"4","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. NFR13","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"5","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium iriomotense","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"6","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium mercantei","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"7","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium guangzhouense","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"8","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. Ghvi","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"9","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. STM 3809","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
"10","iYY1101","Bacteria","Bradyrhizobium","diazoefficiens USDA110","Yang et al. 2017","Supp Info","projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/","Genus","Bradyrhizobium sp. JYMT SZCCT0180","No","Yes","Yes","gtdb_207_filtered",1,1,1,1,1,1,1,1,1,1,1
