Unnamed: 0,taxon,Kingdom,Phylum,Class,Order,Family,Genus,accession
1,Bacillus paramycoides,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
2,Bacillus paramycoides,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
3,Bacillus sp. MM2020_4,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
4,Bacillus sp. MM2020_4,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
5,Methanosarcina sp. Ant1,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,
6,Methanosarcina sp. Ant1,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,
7,Clostridium sp. AM58-1XD,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
8,Clostridium sp. MCC353,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
9,Azotobacter beijerinckii,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azotobacter,
10,Bradyrhizobium sp. AUGA SZCCT0158,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,
11,Bacillus sp. USDA818B3_A,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
12,Bacillus sp. USDA818B3_A,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
13,Bacillus sp. CMF21,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
14,Bacillus sp. CMF21,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
15,Bacillus sp. S3,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
16,Bacillus sp. S3,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
17,Bradyrhizobium liaoningense,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,
18,Bacillus sp. FJAT-49736,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,
