Row,Speciesofinterest,match_by,GEM_ID,Genomesource,Functional in COMETS
1,Bacillus paramycoides,Genus,iYO844,GTDB,Yes
2,Bacillus paramycoides,Genus,iBB1018,GTDB,Yes
3,Bacillus sp. MM2020_4,Genus,iYO844,GTDB,Yes
4,Bacillus sp. MM2020_4,Genus,iBB1018,GTDB,Yes
5,Methanosarcina sp. Ant1,Genus,iAF692,GTDB,Yes
6,Methanosarcina sp. Ant1,Genus,iMG746,GTDB,Yes
7,Clostridium sp. AM58-1XD,Genus,iHN637,GTDB,Yes
8,Clostridium sp. MCC353,Genus,iHN637,GTDB,Yes
9,Azotobacter beijerinckii,Genus,iAA1300,GTDB,Yes
10,Bradyrhizobium sp. AUGA SZCCT0158,Genus,iYY1101,GTDB,Yes
11,Bacillus sp. USDA818B3_A,Genus,iYO844,GTDB,Yes
12,Bacillus sp. USDA818B3_A,Genus,iBB1018,GTDB,Yes
13,Bacillus sp. CMF21,Genus,iYO844,JGI GOLD,Yes
14,Bacillus sp. CMF21,Genus,iBB1018,JGI GOLD,Yes
15,Bacillus sp. S3,Genus,iYO844,GTDB,Yes
16,Bacillus sp. S3,Genus,iBB1018,GTDB,Yes
17,Bradyrhizobium liaoningense,Genus,iYY1101,SMAG,Yes
18,Bacillus sp. FJAT-49736,Genus,iYO844,GTDB,Yes
19,Bacillus sp. FJAT-49736,Genus,iBB1018,GTDB,Yes
20,Rhodotorula toruloides,Species,iRhto1108,Mycocosm,Yes
21,Bradyrhizobium sp. STM 3843,Genus,iYY1101,GTDB,Yes
22,Methanosarcina sp. 2.H.T.1A.6,Genus,iAF692,GTDB,Yes
23,Methanosarcina sp. 2.H.T.1A.6,Genus,iMG746,GTDB,Yes
24,Bradyrhizobium guangzhouense,Genus,iYY1101,GTDB,Yes
25,Bradyrhizobium sp. ORS 285,Genus,iYY1101,GTDB,Yes
26,Bacillus sp. FJAT-27264,Genus,iYO844,GTDB,Yes
27,Bacillus sp. FJAT-27264,Genus,iBB1018,GTDB,Yes
28,Sinorhizobium sp. M4_45,Genus,iGD1348,JGI GOLD,Yes
29,Clostridium pasteurianum,Genus,iHN637,GTDB,Yes
30,Bradyrhizobium sp. JYMT SZCCT0180,Genus,iYY1101,GTDB,Yes
31,Clostridium sp. USBA 49,Genus,iHN637,GTDB,Yes
32,Clostridium tarantellae,Genus,iHN637,GTDB,Yes
33,Bacillus sp. AFS096315,Genus,iYO844,JGI GOLD,Yes
34,Bacillus sp. AFS096315,Genus,iBB1018,JGI GOLD,Yes
35,Bacillus sp. FJAT-42376,Genus,iYO844,GTDB,Yes
36,Bacillus sp. FJAT-42376,Genus,iBB1018,GTDB,Yes
37,Clostridium fallax,Genus,iHN637,GTDB,Yes
38,Bacillus ectoiniformans,Genus,iYO844,GTDB,Yes
39,Bacillus ectoiniformans,Genus,iBB1018,GTDB,Yes
40,Clostridium sp. Marseille-P2415,Genus,iHN637,GTDB,Yes
41,Bacillus solitudinis,Genus,iYO844,GTDB,Yes
42,Bacillus solitudinis,Genus,iBB1018,GTDB,Yes
43,Clostridium lacusfryxellense,Genus,iHN637,GTDB,Yes
44,Bradyrhizobium sp. NAS80.1,Genus,iYY1101,GTDB,Yes
45,Nitrosomonas sp. Nm34,Genus,iGC535,GTDB,Yes
46,Bacillus amyloliquefaciens,Genus,iYO844,JGI GOLD,Yes
47,Bacillus amyloliquefaciens,Genus,iBB1018,JGI GOLD,Yes
48,Bacillus sp. FJAT-26390,Genus,iYO844,GTDB,Yes
49,Bacillus sp. FJAT-26390,Genus,iBB1018,GTDB,Yes
50,Rhizophagus clarus,Genus,iRi1574,Mycocosm,Yes
51,Bacillus tianshenii,Genus,iYO844,GTDB,Yes
52,Bacillus tianshenii,Genus,iBB1018,GTDB,Yes
53,Bradyrhizobium sp. WSM1417,Genus,iYY1101,GTDB,Yes
54,Bacillus sp. NTK074B,Genus,iYO844,GTDB,Yes
55,Bacillus sp. NTK074B,Genus,iBB1018,GTDB,Yes
56,Bacillus safensis,Genus,iYO844,JGI GOLD,Yes
57,Bacillus safensis,Genus,iBB1018,JGI GOLD,Yes
58,Bacillus sp. Soil768D1,Genus,iYO844,JGI GOLD,Yes
59,Bacillus sp. Soil768D1,Genus,iBB1018,JGI GOLD,Yes
60,Clostridium botulinum,Genus,iHN637,JGI GOLD,Yes
61,Nitrosomonas mobilis,Genus,iGC535,GTDB,Yes
62,Bacillus sp. REN3,Genus,iYO844,GTDB,Yes
63,Bacillus sp. REN3,Genus,iBB1018,GTDB,Yes
64,Clostridium sp. C2-6-12,Genus,iHN637,GTDB,Yes
65,Bradyrhizobium sp. WSM3983,Genus,iYY1101,GTDB,Yes
66,Bacillus sp. FJAT-27225,Genus,iYO844,GTDB,Yes
67,Bacillus sp. FJAT-27225,Genus,iBB1018,GTDB,Yes
68,Bacillus sp. B15-48,Genus,iYO844,GTDB,Yes
69,Bacillus sp. B15-48,Genus,iBB1018,GTDB,Yes
70,Bacillus subtilis,Species,iYO844,SMAG,Yes
71,Bacillus subtilis,Species,iBB1018,SMAG,Yes
72,Bradyrhizobium sp. G22,Genus,iYY1101,JGI GOLD,Yes
73,Bacillus bingmayongensis,Genus,iYO844,GTDB,Yes
74,Bacillus bingmayongensis,Genus,iBB1018,GTDB,Yes
75,Bacillus sp. HMF5848,Genus,iYO844,GTDB,Yes
76,Bacillus sp. HMF5848,Genus,iBB1018,GTDB,Yes
77,Clostridium sp. AF27-2AA,Genus,iHN637,GTDB,Yes
78,Clostridium beijerinckii,Genus,iHN637,JGI GOLD,Yes
79,Bradyrhizobium sp. URHD0069,Genus,iYY1101,GTDB,Yes
80,Rhizophagus irregularis,Species,iRi1574,Mycocosm,Yes
81,Staphylococcus xylosus,Genus,iSB619,RefSoil,Yes
82,Mortierella sp. AD094,Genus,iCY1106,Mycocosm,Yes
83,Bradyrhizobium cytisi,Genus,iYY1101,GTDB,Yes
84,Mortierella sp. NVP41,Genus,iCY1106,Mycocosm,Yes
85,Clostridium sp. HBUAS56017,Genus,iHN637,GTDB,Yes
86,Bacillus glycinifermentans,Genus,iYO844,GTDB,Yes
87,Bacillus glycinifermentans,Genus,iBB1018,GTDB,Yes
88,Bacillus sp. AZ43,Genus,iYO844,GTDB,Yes
89,Bacillus sp. AZ43,Genus,iBB1018,GTDB,Yes
90,Bacillus sp. Xin1,Genus,iYO844,GTDB,Yes
91,Bacillus sp. Xin1,Genus,iBB1018,GTDB,Yes
92,Mortierella sp. AD031,Genus,iCY1106,Mycocosm,Yes
93,Mortierella polycephala,Genus,iCY1106,Mycocosm,Yes
94,Bacillus wudalianchiensis,Genus,iYO844,GTDB,Yes
95,Bacillus wudalianchiensis,Genus,iBB1018,GTDB,Yes
96,Bradyrhizobium sp. YR681,Genus,iYY1101,GTDB,Yes
97,Bacillus sp. 1NLA3E,Genus,iYO844,GTDB,Yes
98,Bacillus sp. 1NLA3E,Genus,iBB1018,GTDB,Yes
99,Bradyrhizobium diversitatis,Genus,iYY1101,GTDB,Yes
100,Nitrosomonas sp. Nm51,Genus,iGC535,GTDB,Yes
101,Clostridium jeddahense,Genus,iHN637,GTDB,Yes
102,Bacillus sp. ZZV12-4809,Genus,iYO844,GTDB,Yes
103,Bacillus sp. ZZV12-4809,Genus,iBB1018,GTDB,Yes
104,Bradyrhizobium sp. CCBAU 53338,Genus,iYY1101,GTDB,Yes
105,Nitrospira lenta,Genus,iNmo686,GTDB,Yes
106,Bacillus sp. V3-13,Genus,iYO844,GTDB,Yes
107,Bacillus sp. V3-13,Genus,iBB1018,GTDB,Yes
108,Nitrosomonas supralitoralis,Genus,iGC535,GTDB,Yes
109,Bacillus pakistanensis,Genus,iYO844,GTDB,Yes
110,Bacillus pakistanensis,Genus,iBB1018,GTDB,Yes
111,Clostridium taeniosporum,Genus,iHN637,GTDB,Yes
112,Azotobacter salinestris,Genus,iAA1300,GTDB,Yes
113,Bradyrhizobium aeschynomenes,Genus,iYY1101,GTDB,Yes
114,Clostridium sardiniense,Genus,iHN637,GTDB,Yes
115,Bacillus sp. T33-2,Genus,iYO844,GTDB,Yes
116,Bacillus sp. T33-2,Genus,iBB1018,GTDB,Yes
117,Clostridium sporogenes,Genus,iHN637,SMAG,Yes
118,Clostridium sp. UBA2485,Genus,iHN637,GTDB,Yes
119,Bradyrhizobium sp. AUGA SZCCT0283,Genus,iYY1101,GTDB,Yes
120,Bacillus mycoides,Genus,iYO844,SMAG,Yes
121,Bacillus mycoides,Genus,iBB1018,SMAG,Yes
122,Bacillus atrophaeus,Genus,iYO844,JGI GOLD,Yes
123,Bacillus atrophaeus,Genus,iBB1018,JGI GOLD,Yes
124,Clostridium minihomine,Genus,iHN637,GTDB,Yes
125,Bradyrhizobium paxllaeri,Genus,iYY1101,GTDB,Yes
126,Bacillus sp. FJAT-28004,Genus,iYO844,GTDB,Yes
127,Bacillus sp. FJAT-28004,Genus,iBB1018,GTDB,Yes
128,Bacillus sp. ISL-55,Genus,iYO844,GTDB,Yes
129,Bacillus sp. ISL-55,Genus,iBB1018,GTDB,Yes
130,Clostridium sp. SN20,Genus,iHN637,GTDB,Yes
131,Nitrospira bacterium HGW-Nitrospira-1,Genus,iNmo686,GTDB,Yes
132,Clostridium polyendosporum,Genus,iHN637,GTDB,Yes
133,Bacillus albus,Genus,iYO844,GTDB,Yes
134,Bacillus albus,Genus,iBB1018,GTDB,Yes
135,Bradyrhizobium lablabi,Genus,iYY1101,GTDB,Yes
136,Bradyrhizobium sp. Gha,Genus,iYY1101,GTDB,Yes
