ROW ID,GEM ID,Kingdom,Genus,Species.strain,Citation,Source,Filepath,Match criteria,Species of interest,Functional in COMETS?,taxonomy_id,lineage,db_name,cultivatedCrops,deciduousForest,dwarfScrub,emergentHerbaceousWetlands,evergreenForest,grasslandHerbaceous,mixedForest,pastureHay,sedgeHerbaceous,shrubScrub,woodyWetlands,source,pH_preference,temperature_preference,genome_link,GEM_ID,match_by
1,iYO844,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,NA,BiGG iYO844,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iYO844.xml,Genus,Bacillus paramycoides,Yes,2026194,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus paramycoides,soil_microbe_db,NA,1,0,0,1,0,1,NA,0,0,1,GTDB,3.379533054,23.33333333,NA,iYO844,Genus
2,iBB1018,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,Blazquez et al. 2023,github,NA,Genus,Bacillus paramycoides,Yes,2026194,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus paramycoides,soil_microbe_db,NA,1,0,0,1,0,1,NA,0,0,1,GTDB,3.379533054,23.33333333,NA,iBB1018,Genus
3,iYO844,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,NA,BiGG iYO844,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iYO844.xml,Genus,Bacillus sp. MM2020_4,Yes,2714039,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. MM2020_4,soil_microbe_db,NA,1,0,0,1,1,1,1,0,1,1,GTDB,3.244382925,15.16666667,NA,iYO844,Genus
4,iBB1018,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,Blazquez et al. 2023,github,NA,Genus,Bacillus sp. MM2020_4,Yes,2714039,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. MM2020_4,soil_microbe_db,NA,1,0,0,1,1,1,1,0,1,1,GTDB,3.244382925,15.16666667,NA,iBB1018,Genus
5,iAF692,Archaea,Methanosarcina,barkeri str. Fusaro,NA,BiGG iAF692,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iAF692.xml,Genus,Methanosarcina sp. Ant1,Yes,1882735,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp. Ant1,soil_microbe_db,NA,1,1,1,1,1,1,1,1,1,1,GTDB,5.326489449,3.8,NA,iAF692,Genus
6,iMG746,Archaea,Methanosarcina,barkeri str. Fusaro,Gonnerman et al. 2013,paper supplement,NA,Genus,Methanosarcina sp. Ant1,Yes,1882735,k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp. Ant1,soil_microbe_db,NA,1,1,1,1,1,1,1,1,1,1,GTDB,5.326489449,3.8,NA,iMG746,Genus
7,iHN637,Bacteria,Clostridium,ljungdahlii DSM 13528,NA,BiGG iHN637,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iHN637.xml,Genus,Clostridium sp. AM58-1XD,Yes,2292307,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp. AM58-1XD,soil_microbe_db,NA,1,1,0,1,1,1,0,1,1,1,GTDB,2.527238644,30.33333333,NA,iHN637,Genus
8,iHN637,Bacteria,Clostridium,ljungdahlii DSM 13528,NA,BiGG iHN637,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iHN637.xml,Genus,Clostridium sp. MCC353,Yes,2592646,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp. MCC353,soil_microbe_db,1,1,1,1,1,1,1,1,1,1,1,GTDB,2.586033828,14.13333333,NA,iHN637,Genus
9,iAA1300,Bacteria,Azotobacter,NA,Alleman et al. 2021,github,/projectnb/talbot-lab-data/metabolic_models/curated_models/iAA1300/,Genus,Azotobacter beijerinckii,Yes,170623,k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Azotobacter;s__Azotobacter beijerinckii,soil_microbe_db,1,1,1,1,1,1,1,1,1,1,1,GTDB,8.337882756,41.13333333,NA,iAA1300,Genus
10,iYY1101,Bacteria,Bradyrhizobium,diazoefficiens USDA110,Yang et al. 2017,Supp Info,projectnb/talbot-lab-data/metabolic_models/curated_models/iYY1101/Models/iYY1101_S3/,Genus,Bradyrhizobium sp. AUGA SZCCT0158,Yes,2807661,k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp. AUGA SZCCT0158,soil_microbe_db,1,1,1,1,1,1,1,1,1,1,1,GTDB,4.778356799,6.966666667,NA,iYY1101,Genus
11,iYO844,Bacteria,Bacillus,subtilis subsp. subtilis str. 168,NA,BiGG iYO844,/projectnb2/talbot-lab-data/zrwerbin/interactions/models/bigg/iYO844.xml,Genus,Bacillus sp. USDA818B3_A,Yes,2698834,k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sp. USDA818B3_A,soil_microbe_db,1,1,0,1,1,1,1,1,1,1,0,GTDB,5.72335902,14.13333333,NA,iYO844,Genus
