model_id,metabolite_id,base_metabolite,is_metanetx,appears_standardized
arthro,MNXM25[e],MNXM25,TRUE,TRUE
arthro,MNXM736685[e],MNXM736685,TRUE,TRUE
arthro,MNXM1372305[e],MNXM1372305,TRUE,TRUE
arthro,MNXM1105684[e],MNXM1105684,TRUE,TRUE
arthro,MNXM1364330[e],MNXM1364330,TRUE,TRUE
arthro,MNXM1369195[e],MNXM1369195,TRUE,TRUE
arthro,MNXM1363965[e],MNXM1363965,TRUE,TRUE
arthro,MNXM1562[e],MNXM1562,TRUE,TRUE
arthro,MNXM7343[e],MNXM7343,TRUE,TRUE
arthro,MNXM11[e],MNXM11,TRUE,TRUE
arthro,MNXM124[e],MNXM124,TRUE,TRUE
arthro,MNXM8825[e],MNXM8825,TRUE,TRUE
arthro,MNXM617[e],MNXM617,TRUE,TRUE
arthro,MNXM8667[e],MNXM8667,TRUE,TRUE
arthro,MNXM739791[e],MNXM739791,TRUE,TRUE
arthro,MNXM282[e],MNXM282,TRUE,TRUE
arthro,MNXM731366[e],MNXM731366,TRUE,TRUE
arthro,MNXM1370308[e],MNXM1370308,TRUE,TRUE
arthro,MNXM731166[e],MNXM731166,TRUE,TRUE
arthro,MNXM731950[e],MNXM731950,TRUE,TRUE
arthro,MNXM683[e],MNXM683,TRUE,TRUE
arthro,MNXM738834[e],MNXM738834,TRUE,TRUE
arthro,MNXM1104590[e],MNXM1104590,TRUE,TRUE
arthro,MNXM1630[e],MNXM1630,TRUE,TRUE
arthro,MNXM713[e],MNXM713,TRUE,TRUE
arthro,MNXM9[e],MNXM9,TRUE,TRUE
arthro,MNXM694[e],MNXM694,TRUE,TRUE
arthro,MNXM1364206[e],MNXM1364206,TRUE,TRUE
arthro,MNXM924[e],MNXM924,TRUE,TRUE
arthro,MNXM89612[e],MNXM89612,TRUE,TRUE
arthro,MNXM1106000[e],MNXM1106000,TRUE,TRUE
arthro,MNXM1105941[e],MNXM1105941,TRUE,TRUE
arthro,MNXM1233[e],MNXM1233,TRUE,TRUE
arthro,MNXM1371096[e],MNXM1371096,TRUE,TRUE
arthro,MNXM117[e],MNXM117,TRUE,TRUE
arthro,MNXM1949[e],MNXM1949,TRUE,TRUE
arthro,MNXM1364345[e],MNXM1364345,TRUE,TRUE
arthro,MNXM733186[e],MNXM733186,TRUE,TRUE
arthro,MNXM1370556[e],MNXM1370556,TRUE,TRUE
arthro,MNXM13[e],MNXM13,TRUE,TRUE
arthro,MNXM1372038[e],MNXM1372038,TRUE,TRUE
arthro,MNXM304[e],MNXM304,TRUE,TRUE
arthro,MNXM1369759[e],MNXM1369759,TRUE,TRUE
arthro,MNXM90960[e],MNXM90960,TRUE,TRUE
arthro,MNXM734847[e],MNXM734847,TRUE,TRUE
arthro,MNXM738804[e],MNXM738804,TRUE,TRUE
arthro,MNXM76[e],MNXM76,TRUE,TRUE
arthro,MNXM2561[e],MNXM2561,TRUE,TRUE
arthro,MNXM730135[e],MNXM730135,TRUE,TRUE
arthro,MNXM1105935[e],MNXM1105935,TRUE,TRUE
arthro,MNXM8670[e],MNXM8670,TRUE,TRUE
arthro,MNXM42654[e],MNXM42654,TRUE,TRUE
arthro,MNXM174[e],MNXM174,TRUE,TRUE
arthro,MNXM66[e],MNXM66,TRUE,TRUE
arthro,MNXM270[e],MNXM270,TRUE,TRUE
arthro,MNXM58[e],MNXM58,TRUE,TRUE
arthro,MNXM1371098[e],MNXM1371098,TRUE,TRUE
arthro,MNXM1[e],MNXM1,TRUE,TRUE
