base_metabolite,models_present,total_occurrences,metanetx_conversions,standardized_instances,conversion_rate,standardization_rate,example_ids,models_list
MNXM1,,28,28,28,100,100,,"arthro, iAA1300, iBB1018, iYY1101, cesiri, iHN637, iGD1348, iAF987, halom, z, iBM3063, iMR557, iMG746, iMTZ22IC, iAS473, iCY1106, iFC579, iGC535, iNmo686, iPrub22, iSD1509, iJN1462, iCS1224, iRi1574, iRhto1880, iMM904, iSB619, iKS1317"
MNXM9,,28,28,28,100,100,,"arthro, Afu2023, iAA1300, iBB1018, iYY1101, cesiri, iHN637, iGD1348, iAF987, halom, z, iBM3063, iMR557, iMG746, iMTZ22IC, iAS473, iCY1106, iFC579, iGC535, iNmo686, iPrub22, iSD1509, iJN1462, iRi1574, iRhto1880, iMM904, iSB619, iKS1317"
MNXM95,,28,28,28,100,100,,"arthro, iAA1300, iBB1018, cesiri, iHN637, iGD1348, iAF987, halom, z, iBM3063, iMR557, iMG746, iMTZ22IC, iAS473, iCY1106, iFC579, iGC535, iNmo686, iRZ1179, iPrub22, iSD1509, iJN1462, iCS1224, iRi1574, iRhto1880, iMM904, iSB619, iKS1317"
MNXM13,,27,27,27,100,100,,"arthro, Afu2023, iAA1300, iBB1018, iYY1101, cesiri, iHN637, iGD1348, iAF987, halom, z, iMR557, iMG746, iMTZ22IC, iCY1106, iFC579, iGC535, iNmo686, iPrub22, iSD1509, iJN1462, iCS1224, iRi1574, iRhto1880, iMM904, iSB619, iKS1317"
MNXM27,,27,27,27,100,100,,"arthro, iAA1300, iBB1018, cesiri, iHN637, iGD1348, iAF987, halom, z, iBM3063, iMR557, iMG746, iMTZ22IC, iAS473, iFC579, iGC535, iNmo686, iRZ1179, iPrub22, iSD1509, iJN1462, iCS1224, iRi1574, iRhto1880, iMM904, iSB619, iKS1317"
MNXM58,,27,27,27,100,100,,"arthro, Afu2023, iAA1300, iBB1018, iYY1101, cesiri, iHN637, iGD1348, iAF987, halom, z, iBM3063, iMG746, iAS473, iFC579, iGC535, iNmo686, iRZ1179, iPrub22, iSD1509, iJN1462, iCS1224, iRi1574, iRhto1880, iMM904, iSB619, iKS1317"
MNXM653,,26,26,26,100,100,,"arthro, iAA1300, iBB1018, cesiri, iHN637, iGD1348, iAF987, halom, iBM3063, iMR557, iMG746, iMTZ22IC, iAS473, iCY1106, iFC579, iGC535, iNmo686, iRZ1179, iPrub22, iSD1509, iJN1462, iCS1224, iRi1574, iRhto1880, iSB619, iKS1317"
MNXM729302,,26,26,26,100,100,,"arthro, Afu2023, iAA1300, iBB1018, iYY1101, cesiri, iHN637, iGD1348, iAF987, halom, z, iBM3063, iMR557, iMG746, iMTZ22IC, iCY1106, iFC579, iGC535, iNmo686, iSD1509, iJN1462, iRi1574, iRhto1880, iMM904, iSB619, iKS1317"
MNXM128,,24,24,24,100,100,,"arthro, iAA1300, iBB1018, cesiri, iHN637, iGD1348, iAF987, halom, iBM3063, iMR557, iMG746, iMTZ22IC, iAS473, iFC579, iGC535, iNmo686, iRZ1179, iPrub22, iSD1509, iJN1462, iCS1224, iRi1574, iRhto1880, iKS1317"
MNXM90960,,24,24,24,100,100,,"arthro, iAA1300, iBB1018, iYY1101, cesiri, iHN637, iGD1348, iAF987, halom, iMR557, iMG746, iMTZ22IC, iAS473, iFC579, iGC535, iNmo686, iRZ1179, iSD1509, iJN1462, iCS1224, iRi1574, iRhto1880, iSB619, iKS1317"
MNXM2255,,23,23,23,100,100,,"arthro, iAA1300, iBB1018, cesiri, iHN637, iGD1348, iAF987, halom, iBM3063, iMR557, iMG746, iAS473, iFC579, iGC535, iNmo686, iRZ1179, iPrub22, iSD1509, iJN1462, iCS1224, iRi1574, iRhto1880, iSB619"
MNXM114,,22,22,22,100,100,,"arthro, Afu2023, iBB1018, iHN637, iGD1348, halom, z, iBM3063, iMR557, iMG746, iMTZ22IC, iGC535, iRZ1179, iPrub22, iSD1509, iJN1462, iCS1224, iRi1574, iRhto1880, iMM904, iSB619, iKS1317"
MNXM117,,22,22,22,100,100,,"arthro, Afu2023, iAA1300, iBB1018, iGD1348, halom, z, iBM3063, iMR557, iMG746, iMTZ22IC, iCY1106, iFC579, iGC535, iNmo686, iPrub22, iSD1509, iJN1462, iRhto1880, iMM904, iSB619, iKS1317"
MNXM199,,21,21,21,100,100,,"arthro, Afu2023, iBB1018, iHN637, iGD1348, iAF987, halom, z, iBM3063, iMG746, iGC535, iRZ1179, iPrub22, iSD1509, iJN1462, iCS1224, iRi1574, iRhto1880, iMM904, iSB619, iKS1317"
MNXM732398,,21,21,21,100,100,,"arthro, iAA1300, iBB1018, iHN637, iGD1348, iAF987, halom, iBM3063, iMR557, iAS473, iFC579, iGC535, iNmo686, iRZ1179, iPrub22, iSD1509, iJN1462, iRi1574, iRhto1880, iSB619, iKS1317"
MNXM2,,12,12,12,100,100,,"Afu2023, iAA1300, iBB1018, iHN637, iGD1348, iAF987, iAS473, iGC535, iSD1509, iJN1462, iRi1574, iSB619"
MNXM75,,9,9,9,100,100,,"Afu2023, iYY1101, iMTZ22IC, iSD1509, iJN1462, iRi1574, iRhto1880, iMM904, iKS1317"
MNXM5,,5,5,5,100,100,,"Afu2023, iPrub22, iRi1574, iRhto1880, iMM904"
