model_id,species_name,total_metabolites,exchange_metabolites,metanetx_exchange,conversion_rate,has_error
arthro,arthrobacter_aurescens_Xu_arthro,2182,123,122,99.2,FALSE
Afu2023,aspergillus_fumigatus_Afu2023,4046,485,421,86.8,FALSE
iAA1300,azotobacter_vinelandii_iAA1300,1958,335,242,72.8,FALSE
iBB1018,bacillus_subtilis_iBB1018,1291,231,225,97.4,FALSE
iYY1101,bradyrhizobium_diazoefficiens_iYY1101,537,38,36,94.7,FALSE
cesiri,cesiribacter_andamanensis_Xu_cesiri,1501,70,69,98.6,FALSE
iHN637,clostridium_ljungdahlii_iHN637,698,95,95,100,FALSE
iGD1348,ensifer_meliloti_iGD1348,1160,171,167,97.7,FALSE
iAF987,geobacter_metallireducens_iAF987,1109,99,99,100,FALSE
halom,halomonas_stevensii_Xu_halom,1625,116,115,99.1,FALSE
z,hansenula_polymorpha_hanpo_z,1320,82,81,98.8,FALSE
iBM3063,lachancea_thermotolerans_iBM3063,2732,191,184,96.9,FALSE
iMR557,methanococcus_maripaludis_iMR557,725,54,50,92.6,FALSE
iMG746,methanosarcina_barkeri_iMG746,718,76,67,88.2,FALSE
iMTZ22IC,methanothermobacter_thermautotrophicus_iMTZ22IC,555,48,46,95.8,FALSE
iAS473,methylacidiphilum_fumariolicum_iAS473,667,43,43,100,FALSE
iCY1106,mortierella_alpina_iCY1106,1732,219,59,26.9,FALSE
iJDZ836,neurospora_crassa_iJDZ836,755,135,0,0,FALSE
iFC579,nitrobacter_winogradskyi_iFC579,1007,46,42,91.3,FALSE
iGC535,nitrosomonas_europaea_iGC535,1114,123,117,95.1,FALSE
iNmo686,nitrospira_moscoviensis_iNmo686,637,46,44,95.7,FALSE
iRZ1179,paenarthrobacter_aurescens_iRZ1179,2364,130,90,69.2,FALSE
iAL1006,penicillium_rubens_iAL1006,1352,160,0,0,FALSE
iPrub22,penicillium_rubens_iPrub22,5452,280,267,95.4,FALSE
iSD1509,pseudomonas_aeruginosa_iSD1509,1642,274,258,94.2,FALSE
iJN1462,pseudomonas_putida_iJN1462,2145,348,239,68.7,FALSE
iCS1224,rhizobium_leguminosarum_iCS1224,576,38,34,89.5,FALSE
iRi1574,rhizophagus_irregularis_iRi1574,1285,132,112,84.8,FALSE
iGR1773,rhodococcus_opacus_iGR1773,1956,336,0,0,FALSE
iRhto1880,rhodotorula_toruloides_iRhto1880,2029,204,203,99.5,FALSE
iMM904,saccharomyces_cerevisiae_iMM904,1226,164,163,100,FALSE
iSB619,staphylococcus_aureus_iSB619,655,84,84,100,FALSE
iKS1317,streptomyces_coelicolor_iKS1317,2064,253,232,92.5,FALSE
