base_metabolite,frequency,models_present,always_metanetx,sometimes_metanetx,standardization_rate
12dca,1,,FALSE,FALSE,0
13GLUCANe_c,1,,FALSE,FALSE,0
1ag160,1,,FALSE,FALSE,0
1ag160_c,1,,FALSE,FALSE,0
1ag180,1,,FALSE,FALSE,0
1ag180_c,1,,FALSE,FALSE,0
1ag181d9,1,,FALSE,FALSE,0
1ag181d9_c,1,,FALSE,FALSE,0
1ag182d9d12,1,,FALSE,FALSE,0
1ag182d9d12_c,1,,FALSE,FALSE,0
1dgali,1,,FALSE,FALSE,0
1g2hdne,1,,FALSE,FALSE,0
1nphtol,1,,FALSE,FALSE,0
23d2gbne,1,,FALSE,FALSE,0
2HPENGe_c,1,,FALSE,FALSE,0
2bhyde,1,,FALSE,FALSE,0
2dan,1,,FALSE,FALSE,0
2dglc,1,,FALSE,FALSE,0
2hb,1,,FALSE,FALSE,0
2m35mdntha,1,,FALSE,FALSE,0
2m35mdntha_c,1,,FALSE,FALSE,0
2nphtol,1,,FALSE,FALSE,0
2obut,1,,FALSE,FALSE,0
2oxate,1,,FALSE,FALSE,0
34d3h4sne,1,,FALSE,FALSE,0
35dnta,1,,FALSE,FALSE,0
35dnta_c,1,,FALSE,FALSE,0
3_DASH_HYDROXY_DASH_ANTHRANILATE_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
3_DASH_HYDROXY_DASH_L_DASH_KYNURENINE_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
3h4atb,1,,FALSE,FALSE,0
3hpp,1,,FALSE,FALSE,0
4228,1,,FALSE,FALSE,0
45dgbne,1,,FALSE,FALSE,0
4HPENVe_c,1,,FALSE,FALSE,0
4HPOAe_c,1,,FALSE,FALSE,0
4abzglu,1,,FALSE,FALSE,0
4abzglu_c,1,,FALSE,FALSE,0
4gcymd,1,,FALSE,FALSE,0
4hphac,1,,FALSE,FALSE,0
4hpro_DC,1,,FALSE,FALSE,0
4hptn,1,,FALSE,FALSE,0
4hptn_c,1,,FALSE,FALSE,0
4nol,1,,FALSE,FALSE,0
4npha,1,,FALSE,FALSE,0
4oxptn,1,,FALSE,FALSE,0
4oxptn_c,1,,FALSE,FALSE,0
5a2opa,1,,FALSE,FALSE,0
5aptn,1,,FALSE,FALSE,0
5g2ot,1,,FALSE,FALSE,0
5mpca,1,,FALSE,FALSE,0
5mtr,1,,FALSE,FALSE,0
6APAe_c,1,,FALSE,FALSE,0
6CARHEXe_c,1,,FALSE,FALSE,0
6atha,1,,FALSE,FALSE,0
6thate,1,,FALSE,FALSE,0
78dgbne,1,,FALSE,FALSE,0
8HPAe_c,1,,FALSE,FALSE,0
ACET_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
ACVe_c,1,,FALSE,FALSE,0
ACe_c,1,,FALSE,FALSE,0
ADENINE_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
ADe_c,1,,FALSE,FALSE,0
AKGe_c,1,,FALSE,FALSE,0
ALA_DASH_GLY_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
ALAe_c,1,,FALSE,FALSE,0
ALLANTOATE_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
ALPHA_DASH_D_DASH_GALACTOSE_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
ALPHA_DASH_GLUCOSE_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
AMAe_c,1,,FALSE,FALSE,0
AMMONIA,1,,FALSE,FALSE,0
AMMONIA_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
AMMONIUM,1,,FALSE,FALSE,0
AMMONIUM_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
ANTHRANILATE_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
ANe_c,1,,FALSE,FALSE,0
AOLe_c,1,,FALSE,FALSE,0
ARABINe_c,1,,FALSE,FALSE,0
ARABe_c,1,,FALSE,FALSE,0
ARCN,1,,FALSE,FALSE,0
ARG_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
ARGe_c,1,,FALSE,FALSE,0
ARTPROTe_c,1,,FALSE,FALSE,0
ASN_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
ASNe_c,1,,FALSE,FALSE,0
ASPe_c,1,,FALSE,FALSE,0
AVF,1,,FALSE,FALSE,0
B00001,1,,FALSE,FALSE,0
B00002,1,,FALSE,FALSE,0
BETA_DASH_D_DASH_FRUCTOSE_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
BETA_DASH_L_DASH_ARABINOSE_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
BIOMASS,1,,FALSE,FALSE,0
BIOMASSe_c,1,,FALSE,FALSE,0
BIOTIN_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
BUTYRIC_ACID_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
Biomass,1,,FALSE,FALSE,0
C00025,1,,FALSE,FALSE,0
C00288,1,,FALSE,FALSE,0
C00392,1,,FALSE,FALSE,0
C01507,1,,FALSE,FALSE,0
C100e_c,1,,FALSE,FALSE,0
C120e_c,1,,FALSE,FALSE,0
C140e_c,1,,FALSE,FALSE,0
C141,1,,FALSE,FALSE,0
C150ACP,1,,FALSE,FALSE,0
