orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed
M00007[c],M00007,M00007,M00007[c],c,FALSE,Unchanged,FALSE
M00050[c],M00050,MNXM730686,MNXM730686[c],c,TRUE,MetanetX conversion,FALSE
M00027[c],M00027,MNXM101606,MNXM101606[c],c,TRUE,MetanetX conversion,FALSE
M00079[c],M00079,MNXM1373891,MNXM1373891[c],c,TRUE,MetanetX conversion,FALSE
M02845[c],M02845,M02845,M02845[c],c,FALSE,Unchanged,FALSE
M00001[c],M00001,M00001,M00001[c],c,FALSE,Unchanged,FALSE
M00344[c],M00344,M00344,M00344[c],c,FALSE,Unchanged,FALSE
M00014[c],M00014,M00014,M00014[c],c,FALSE,Unchanged,FALSE
M00084[c],M00084,M00084,M00084[c],c,FALSE,Unchanged,FALSE
M00005[c],M00005,MNXM1094912,MNXM1094912[c],c,TRUE,MetanetX conversion,FALSE
M00026[c],M00026,MNXM729361,MNXM729361[c],c,TRUE,MetanetX conversion,FALSE
M00063[c],M00063,MNXM1104255,MNXM1104255[c],c,TRUE,MetanetX conversion,FALSE
M00006[c],M00006,MNXM744510,MNXM744510[c],c,TRUE,MetanetX conversion,FALSE
M00025[c],M00025,MNXM732652,MNXM732652[c],c,TRUE,MetanetX conversion,FALSE
M02017[c],M02017,MNXM1524628,MNXM1524628[c],c,TRUE,MetanetX conversion,FALSE
M00061[c],M00061,MNXM1103993,MNXM1103993[c],c,TRUE,MetanetX conversion,FALSE
M00121[c],M00121,M00121,M00121[c],c,FALSE,Unchanged,FALSE
M00229[c],M00229,MNXM9522,MNXM9522[c],c,TRUE,MetanetX conversion,FALSE
M00043[c],M00043,MNXM735139,MNXM735139[c],c,TRUE,MetanetX conversion,FALSE
M00042[c],M00042,MNXM735227,MNXM735227[c],c,TRUE,MetanetX conversion,FALSE
M00022[c],M00022,MNXM149276,MNXM149276[c],c,TRUE,MetanetX conversion,FALSE
M00003[c],M00003,MNXM727337,MNXM727337[c],c,TRUE,MetanetX conversion,FALSE
M00194[c],M00194,MNXM1374996,MNXM1374996[c],c,TRUE,MetanetX conversion,FALSE
M00004[c],M00004,MNXM1104006,MNXM1104006[c],c,TRUE,MetanetX conversion,FALSE
M01946[c],M01946,M01946,M01946[c],c,FALSE,Unchanged,FALSE
M02159[c],M02159,M02159,M02159[c],c,FALSE,Unchanged,FALSE
M00020[c],M00020,MNXM744513,MNXM744513[c],c,TRUE,MetanetX conversion,FALSE
M00037[c],M00037,MNXM732979,MNXM732979[c],c,TRUE,MetanetX conversion,FALSE
M00002[c],M00002,M00002,M00002[c],c,FALSE,Unchanged,FALSE
M00013[c],M00013,M00013,M00013[c],c,FALSE,Unchanged,FALSE
M00150[c],M00150,M00150,M00150[c],c,FALSE,Unchanged,FALSE
M00320[c],M00320,MNXM1369471,MNXM1369471[c],c,TRUE,MetanetX conversion,FALSE
M03977[c],M03977,M03977,M03977[c],c,FALSE,Unchanged,FALSE
M00283[c],M00283,MNXM33191,MNXM33191[c],c,TRUE,MetanetX conversion,FALSE
M00008[c],M00008,MNXM1106188,MNXM1106188[c],c,TRUE,MetanetX conversion,FALSE
M00009[c],M00009,M00009,M00009[c],c,FALSE,Unchanged,FALSE
M00167[c],M00167,M00167,M00167[c],c,FALSE,Unchanged,FALSE
M00214[c],M00214,MNXM1542270,MNXM1542270[c],c,TRUE,MetanetX conversion,FALSE
M03086[c],M03086,MNXM1375054,MNXM1375054[c],c,TRUE,MetanetX conversion,FALSE
M00094[c],M00094,M00094,M00094[c],c,FALSE,Unchanged,FALSE
M00447[c],M00447,MNXM1524570,MNXM1524570[c],c,TRUE,MetanetX conversion,FALSE
M00120[c],M00120,M00120,M00120[c],c,FALSE,Unchanged,FALSE
M00368[c],M00368,M00368,M00368[c],c,FALSE,Unchanged,FALSE
M00201[c],M00201,MNXM6401,MNXM6401[c],c,TRUE,MetanetX conversion,FALSE
M02338[c],M02338,M02338,M02338[c],c,FALSE,Unchanged,FALSE
M01762[c],M01762,M01762,M01762[c],c,FALSE,Unchanged,FALSE
M03087[c],M03087,MNXM1375055,MNXM1375055[c],c,TRUE,MetanetX conversion,FALSE
M00914[c],M00914,M00914,M00914[c],c,FALSE,Unchanged,FALSE
M01833[c],M01833,M01833,M01833[c],c,FALSE,Unchanged,FALSE
M00115[c],M00115,MNXM24151,MNXM24151[c],c,TRUE,MetanetX conversion,FALSE
M00777[c],M00777,M00777,M00777[c],c,FALSE,Unchanged,FALSE
M00615[c],M00615,MNXM744531,MNXM744531[c],c,TRUE,MetanetX conversion,FALSE
M03924[c],M03924,M03924,M03924[c],c,FALSE,Unchanged,FALSE
M00520[c],M00520,M00520,M00520[c],c,FALSE,Unchanged,FALSE
M03868[c],M03868,M03868,M03868[c],c,FALSE,Unchanged,FALSE
M00327[c],M00327,M00327,M00327[c],c,FALSE,Unchanged,FALSE
M03865[c],M03865,M03865,M03865[c],c,FALSE,Unchanged,FALSE
M03866[c],M03866,M03866,M03866[c],c,FALSE,Unchanged,FALSE
M00133[c],M00133,M00133,M00133[c],c,FALSE,Unchanged,FALSE
M00978[c],M00978,MNXM1363825,MNXM1363825[c],c,TRUE,MetanetX conversion,FALSE
M00092[c],M00092,M00092,M00092[c],c,FALSE,Unchanged,FALSE
M00254[c],M00254,M00254,M00254[c],c,FALSE,Unchanged,FALSE
M00293[c],M00293,M00293,M00293[c],c,FALSE,Unchanged,FALSE
M00105[c],M00105,M00105,M00105[c],c,FALSE,Unchanged,FALSE
M00689[c],M00689,M00689,M00689[c],c,FALSE,Unchanged,FALSE
M00552[c],M00552,M00552,M00552[c],c,FALSE,Unchanged,FALSE
M03210[c],M03210,M03210,M03210[c],c,FALSE,Unchanged,FALSE
M00083[c],M00083,MNXM5140,MNXM5140[c],c,TRUE,MetanetX conversion,FALSE
M00034[c],M00034,MNXM2885,MNXM2885[c],c,TRUE,MetanetX conversion,FALSE
M00451[c],M00451,MNXM1524574,MNXM1524574[c],c,TRUE,MetanetX conversion,FALSE
M00161[c],M00161,M00161,M00161[c],c,FALSE,Unchanged,FALSE
M00024[c],M00024,M00024,M00024[c],c,FALSE,Unchanged,FALSE
M00243[c],M00243,MNXM114239,MNXM114239[c],c,TRUE,MetanetX conversion,FALSE
M00135[c],M00135,M00135,M00135[c],c,FALSE,Unchanged,FALSE
M01256[c],M01256,M01256,M01256[c],c,FALSE,Unchanged,FALSE
M02535[c],M02535,M02535,M02535[c],c,FALSE,Unchanged,FALSE
M00162[c],M00162,M00162,M00162[c],c,FALSE,Unchanged,FALSE
M00325[c],M00325,M00325,M00325[c],c,FALSE,Unchanged,FALSE
M02587[c],M02587,M02587,M02587[c],c,FALSE,Unchanged,FALSE
M00188[c],M00188,MNXM732142,MNXM732142[c],c,TRUE,MetanetX conversion,FALSE
M00200[c],M00200,MNXM1525951,MNXM1525951[c],c,TRUE,MetanetX conversion,FALSE
M00104[c],M00104,M00104,M00104[c],c,FALSE,Unchanged,FALSE
M04260[c],M04260,M04260,M04260[c],c,FALSE,Unchanged,FALSE
M00967[c],M00967,MNXM1092237,MNXM1092237[c],c,TRUE,MetanetX conversion,FALSE
M01154[c],M01154,M01154,M01154[c],c,FALSE,Unchanged,FALSE
M00307[c],M00307,M00307,M00307[c],c,FALSE,Unchanged,FALSE
M00011[c],M00011,MNXM1469697,MNXM1469697[c],c,TRUE,MetanetX conversion,FALSE
M00713[c],M00713,M00713,M00713[c],c,FALSE,Unchanged,FALSE
M00206[c],M00206,MNXM1525952,MNXM1525952[c],c,TRUE,MetanetX conversion,FALSE
M00057[c],M00057,MNXM729987,MNXM729987[c],c,TRUE,MetanetX conversion,FALSE
M00477[c],M00477,MNXM1371772,MNXM1371772[c],c,TRUE,MetanetX conversion,FALSE
M00942[c],M00942,MNXM1520688,MNXM1520688[c],c,TRUE,MetanetX conversion,FALSE
M00981[c],M00981,M00981,M00981[c],c,FALSE,Unchanged,FALSE
M00118[c],M00118,M00118,M00118[c],c,FALSE,Unchanged,FALSE
M02276[c],M02276,M02276,M02276[c],c,FALSE,Unchanged,FALSE
M02391[c],M02391,M02391,M02391[c],c,FALSE,Unchanged,FALSE
M00157[c],M00157,M00157,M00157[c],c,FALSE,Unchanged,FALSE
M00271[c],M00271,M00271,M00271[c],c,FALSE,Unchanged,FALSE
M00044[c],M00044,MNXM1524549,MNXM1524549[c],c,TRUE,MetanetX conversion,FALSE
M00073[c],M00073,MNXM728286,MNXM728286[c],c,TRUE,MetanetX conversion,FALSE
M02400[c],M02400,M02400,M02400[c],c,FALSE,Unchanged,FALSE
M01323[c],M01323,M01323,M01323[c],c,FALSE,Unchanged,FALSE
M00139[c],M00139,M00139,M00139[c],c,FALSE,Unchanged,FALSE
M00587[c],M00587,M00587,M00587[c],c,FALSE,Unchanged,FALSE
M02287[c],M02287,M02287,M02287[c],c,FALSE,Unchanged,FALSE
M00906[c],M00906,M00906,M00906[c],c,FALSE,Unchanged,FALSE
M00256[c],M00256,M00256,M00256[c],c,FALSE,Unchanged,FALSE
M00349[c],M00349,M00349,M00349[c],c,FALSE,Unchanged,FALSE
M00165[c],M00165,M00165,M00165[c],c,FALSE,Unchanged,FALSE
M00187[c],M00187,MNXM1525946,MNXM1525946[c],c,TRUE,MetanetX conversion,FALSE
