orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed,database_sources
C00659__91__c__93__,C00659,MNXM726902,C00659[c],c,TRUE,MetanetX conversion,TRUE,kegg
C00005__91__c__93__,C00005,MNXM738702,MNXM738702[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00006__91__c__93__,C00006,MNXM5,MNXM5[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C04104__91__c__93__,C04104,MNXM1202,C04104[c],c,TRUE,MetanetX conversion,TRUE,kegg
C00659__91__m__93__,C00659,MNXM726902,C00659[m],m,TRUE,MetanetX conversion,TRUE,kegg
C00005__91__m__93__,C00005,MNXM738702,MNXM738702[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00006__91__m__93__,C00006,MNXM5,MNXM5[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C04104__91__m__93__,C04104,MNXM1202,C04104[m],m,TRUE,MetanetX conversion,TRUE,kegg
C00022__91__c__93__,C00022,MNXM23,MNXM23[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00109__91__c__93__,C00109,MNXM159,MNXM159[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00011__91__c__93__,C00011,MNXM13,MNXM13[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00022__91__m__93__,C00022,MNXM23,MNXM23[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00109__91__m__93__,C00109,MNXM159,MNXM159[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00011__91__m__93__,C00011,MNXM13,MNXM13[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00001__91__c__93__,C00001,MNXM2,MNXM2[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00033__91__c__93__,C00033,MNXM26,MNXM26[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00077__91__c__93__,C00077,MNXM741174,MNXM741174[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00071__91__c__93__,C00071,MNXM277,MNXM277[c],c,TRUE,MetanetX conversion,TRUE,kegg
C00003__91__c__93__,C00003,MNXM8,MNXM8[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00004__91__c__93__,C00004,MNXM163520,MNXM163520[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, kegg, chebi"
C00060__91__c__93__,C00060,MNXM739615,MNXM739615[c],c,TRUE,MetanetX conversion,TRUE,kegg
C00071__91__m__93__,C00071,MNXM277,MNXM277[m],m,TRUE,MetanetX conversion,TRUE,kegg
C00001__91__m__93__,C00001,MNXM2,MNXM2[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00003__91__m__93__,C00003,MNXM8,MNXM8[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
C00004__91__m__93__,C00004,MNXM163520,MNXM163520[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, kegg, chebi"
C00060__91__m__93__,C00060,MNXM739615,MNXM739615[m],m,TRUE,MetanetX conversion,TRUE,kegg
C00962__91__c__93__,C00962,MNXM112,MNXM112[c],c,TRUE,MetanetX conversion,TRUE,kegg
Cluster6012__91__c__93__,Cluster6012,Cluster6012,Cluster6012[c],c,FALSE,Unchanged,TRUE,None
C00001__91__e__93__,C00001,MNXM2,MNXM2[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg, chebi"
