orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed,database_sources
2pg[c],2pg,MNXM275,MNXM275[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
13dpg[c],13dpg,MNXM733153,MNXM733153[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
prbamp[c],prbamp,MNXM729421,MNXM729421[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
grdp[c],grdp,MNXM100,MNXM100[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
dms[e],dms,MNXM444,MNXM444[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
fpram[c],fpram,MNXM479745,MNXM479745[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, chebi"
dcyt[p],dcyt,MNXM704,MNXM704[p],p,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
fum[p],fum,MNXM93,MNXM93[p],p,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
tyr__L[p],tyr__L,MNXM76,MNXM76[p],p,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
feenter[e],feenter,MNXM7354,feenter[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
gg4abut[c],gg4abut,MNXM1406,gg4abut[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
arbtn[e],arbtn,MNXM96506,MNXM96506[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed"
aso3[c],aso3,MNXM739272,MNXM739272[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
cpgn_un[e],cpgn_un,MNXM2999,MNXM2999[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed"
alaala[e],alaala,MNXM739337,MNXM739337[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
3ohexACP[c],3ohexACP,MNXM25602,MNXM25602[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
3ocddec5eACP[c],3ocddec5eACP,MNXM6837,MNXM6837[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed"
clpn120[p],clpn120,MNXM5078,MNXM5078[p],p,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
dca[c],dca,MNXM162239,dca[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
chtbs[p],chtbs,chtbs,chtbs[p],p,FALSE,Unchanged,FALSE,None
fusa[p],fusa,fusa,fusa[p],p,FALSE,Unchanged,FALSE,None
pep[c],pep,MNXM73,MNXM73[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
h[c],h,MNXM738702,h[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
rib__D[c],rib__D,MNXM732914,MNXM732914[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
gthrd[c],gthrd,MNXM738320,MNXM738320[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
