orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed,database_sources
10fthf[c],10fthf,MNXM237,MNXM237[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
13dpg[c],13dpg,MNXM733153,MNXM733153[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
14dhncoa[c],14dhncoa,MNXM147663,MNXM147663[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
15dap[c],15dap,MNXM943,MNXM943[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
1btol[c],1btol,MNXM3230,MNXM3230[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
1hdecg3p[c],1hdecg3p,MNXM90586,MNXM90586[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed"
1odecg3p[c],1odecg3p,MNXM734212,MNXM734212[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, chebi"
1p3h5c[c],1p3h5c,MNXM114091,MNXM114091[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
1pyr5c[c],1pyr5c,MNXM1617,MNXM1617[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
1tdecg3p[c],1tdecg3p,MNXM3426,MNXM3426[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, chebi"
23camp[c],23camp,MNXM2598,MNXM2598[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
23ccmp[c],23ccmp,MNXM3148,MNXM3148[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
23cgmp[c],23cgmp,MNXM733912,MNXM733912[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
23cump[c],23cump,MNXM3150,MNXM3150[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
23ddhb[c],23ddhb,MNXM726911,MNXM726911[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
23dhb[c],23dhb,MNXM455,MNXM455[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
23dhba[c],23dhba,MNXM1978,MNXM1978[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
23dhdp[c],23dhdp,MNXM807,MNXM807[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
23dhmb[c],23dhmb,MNXM734,MNXM734[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
23dhmp[c],23dhmp,MNXM1202,MNXM1202[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
25aics[c],25aics,MNXM738774,MNXM738774[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
25dop[c],25dop,MNXM770,MNXM770[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
25drapp[c],25drapp,MNXM648,MNXM648[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
26dap_LL[c],26dap_LL,MNXM644,MNXM644[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
26dap_M[c],26dap_M,MNXM529,MNXM529[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
26dapime[c],26dapime,MNXM164994,MNXM164994[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
2ahbut[c],2ahbut,MNXM726902,MNXM726902[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2ahhmd[c],2ahhmd,MNXM91459,MNXM91459[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed"
2ahhmp[c],2ahhmp,MNXM728662,MNXM728662[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
2aobut[c],2aobut,MNXM114087,MNXM114087[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2cpr5p[c],2cpr5p,MNXM1455,MNXM1455[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2dda7p[c],2dda7p,MNXM1219,MNXM1219[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2ddg6p[c],2ddg6p,MNXM649,MNXM649[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2dh3dgal[c],2dh3dgal,MNXM1369404,MNXM1369404[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2dh3dgal[e],2dh3dgal,MNXM1369404,MNXM1369404[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2dhp[c],2dhp,MNXM959,MNXM959[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2dr1p[c],2dr1p,MNXM789,MNXM789[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2dr5p[c],2dr5p,MNXM732593,MNXM732593[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2h3k5m[c],2h3k5m,MNXM735604,2h3k5m[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2h3oppan[c],2h3oppan,MNXM475,MNXM475[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2hxmp[c],2hxmp,MNXM1855,MNXM1855[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2hxmp[e],2hxmp,MNXM1855,MNXM1855[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2ins[c],2ins,MNXM676,MNXM676[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2ippm[c],2ippm,MNXM1369559,MNXM1369559[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2maacoa[c],2maacoa,MNXM737649,MNXM737649[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2mahmp[c],2mahmp,MNXM1135,MNXM1135[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2mb2coa[c],2mb2coa,MNXM738797,MNXM738797[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2mbcoa[c],2mbcoa,MNXM569,MNXM569[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2mcacn[c],2mcacn,MNXM1792,MNXM1792[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2mcit[c],2mcit,MNXM741276,MNXM741276[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2me4p[c],2me4p,MNXM730435,MNXM730435[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2mecdp[c],2mecdp,MNXM1168,MNXM1168[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2mop[c],2mop,MNXM305,MNXM305[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2mp2coa[c],2mp2coa,MNXM947,MNXM947[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2o3mpt[c],2o3mpt,MNXM94056,MNXM94056[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
