orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed
2pglyc[e],2pglyc,MNXM2074,MNXM2074[e],e,TRUE,MetanetX conversion,FALSE
2pglyc[c],2pglyc,MNXM2074,MNXM2074[c],c,TRUE,MetanetX conversion,FALSE
2pg[e],2pg,MNXM275,MNXM275[e],e,TRUE,MetanetX conversion,FALSE
2pg[c],2pg,MNXM275,MNXM275[c],c,TRUE,MetanetX conversion,FALSE
3hdecACP[c],3hdecACP,MNXM1374989,MNXM1374989[c],c,TRUE,MetanetX conversion,FALSE
tdec2eACP[c],tdec2eACP,MNXM733432,MNXM733432[c],c,TRUE,MetanetX conversion,FALSE
h2o[c],h2o,WATER,WATER[c],c,TRUE,Other conversion,FALSE
3hddecACP[c],3hddecACP,MNXM733304,MNXM733304[c],c,TRUE,MetanetX conversion,FALSE
tddec2eACP[c],tddec2eACP,MNXM1375070,MNXM1375070[c],c,TRUE,MetanetX conversion,FALSE
3hmrsACP[c],3hmrsACP,MNXM1374990,MNXM1374990[c],c,TRUE,MetanetX conversion,FALSE
tmrs2eACP[c],tmrs2eACP,MNXM728721,MNXM728721[c],c,TRUE,MetanetX conversion,FALSE
3hpalmACP[c],3hpalmACP,MNXM733096,MNXM733096[c],c,TRUE,MetanetX conversion,FALSE
tpalm2eACP[c],tpalm2eACP,MNXM1375072,MNXM1375072[c],c,TRUE,MetanetX conversion,FALSE
3hhexACP[c],3hhexACP,MNXM733048,MNXM733048[c],c,TRUE,MetanetX conversion,FALSE
thex2eACP[c],thex2eACP,MNXM728713,MNXM728713[c],c,TRUE,MetanetX conversion,FALSE
3hoctACP[c],3hoctACP,MNXM725895,MNXM725895[c],c,TRUE,MetanetX conversion,FALSE
toct2eACP[c],toct2eACP,MNXM728588,MNXM728588[c],c,TRUE,MetanetX conversion,FALSE
3hbcoa__R[c],3hbcoa__R,MNXM1364288,MNXM1364288[c],c,TRUE,MetanetX conversion,FALSE
b2coa[c],b2coa,MNXM1364064,MNXM1364064[c],c,TRUE,MetanetX conversion,FALSE
h[c],h,MNXM1,MNXM1[c],c,TRUE,MetanetX conversion,FALSE
3hpp[c],3hpp,MNXM872,MNXM872[c],c,TRUE,MetanetX conversion,FALSE
nad[c],nad,MNXM8,MNXM8[c],c,TRUE,MetanetX conversion,FALSE
msa[c],msa,MNXM1369748,MNXM1369748[c],c,TRUE,MetanetX conversion,FALSE
nadh[c],nadh,MNXM10,MNXM10[c],c,TRUE,MetanetX conversion,FALSE
nadp[c],nadp,MNXM5,MNXM5[c],c,TRUE,MetanetX conversion,FALSE
3odecACP[c],3odecACP,MNXM1374992,MNXM1374992[c],c,TRUE,MetanetX conversion,FALSE
nadph[c],nadph,MNXM738702,MNXM738702[c],c,TRUE,MetanetX conversion,FALSE
3oddecACP[c],3oddecACP,MNXM728596,MNXM728596[c],c,TRUE,MetanetX conversion,FALSE
3omrsACP[c],3omrsACP,MNXM1374993,MNXM1374993[c],c,TRUE,MetanetX conversion,FALSE
3opalmACP[c],3opalmACP,MNXM728600,MNXM728600[c],c,TRUE,MetanetX conversion,FALSE
3ohexACP[c],3ohexACP,MNXM728604,MNXM728604[c],c,TRUE,MetanetX conversion,FALSE
3ooctACP[c],3ooctACP,MNXM728608,MNXM728608[c],c,TRUE,MetanetX conversion,FALSE
ocACP[c],ocACP,MNXM90185,MNXM90185[c],c,TRUE,MetanetX conversion,FALSE
malACP[c],malACP,MNXM731937,MNXM731937[c],c,TRUE,MetanetX conversion,FALSE
co2[c],co2,MNXM13,MNXM13[c],c,TRUE,MetanetX conversion,FALSE
ACP[c],ACP,MNXM1373297,MNXM1373297[c],c,TRUE,MetanetX conversion,FALSE
dcaACP[c],dcaACP,MNXM1375058,MNXM1375058[c],c,TRUE,MetanetX conversion,FALSE
ddcaACP[c],ddcaACP,MNXM726234,MNXM726234[c],c,TRUE,MetanetX conversion,FALSE
myrsACP[c],myrsACP,MNXM728548,MNXM728548[c],c,TRUE,MetanetX conversion,FALSE
butACP[c],butACP,MNXM90458,MNXM90458[c],c,TRUE,MetanetX conversion,FALSE
hexACP[c],hexACP,MNXM728619,MNXM728619[c],c,TRUE,MetanetX conversion,FALSE
coa[c],coa,MNXM727276,MNXM727276[c],c,TRUE,MetanetX conversion,FALSE
oxadpcoa[c],oxadpcoa,MNXM1105939,MNXM1105939[c],c,TRUE,MetanetX conversion,FALSE
succoa[c],succoa,MNXM1104774,MNXM1104774[c],c,TRUE,MetanetX conversion,FALSE
accoa[c],accoa,MNXM1104266,MNXM1104266[c],c,TRUE,MetanetX conversion,FALSE
3pg[e],3pg,MNXM727604,MNXM727604[e],e,TRUE,MetanetX conversion,FALSE
3pg[c],3pg,MNXM727604,MNXM727604[c],c,TRUE,MetanetX conversion,FALSE
3sala[c],3sala,MNXM1364692,MNXM1364692[c],c,TRUE,MetanetX conversion,FALSE
akg[c],akg,MNXM1369648,MNXM1369648[c],c,TRUE,MetanetX conversion,FALSE
3snpyr[c],3snpyr,MNXM2484,MNXM2484[c],c,TRUE,MetanetX conversion,FALSE
glu__L[c],glu__L,MNXM741173,MNXM741173[c],c,TRUE,MetanetX conversion,FALSE
so3[c],so3,MNXM726339,MNXM726339[c],c,TRUE,MetanetX conversion,FALSE
pyr[c],pyr,MNXM23,MNXM23[c],c,TRUE,MetanetX conversion,FALSE
4iz5pp[c],4iz5pp,4iz5pp,4iz5pp[c],c,FALSE,Unchanged,FALSE
o2[c],o2,MNXM735438,MNXM735438[c],c,TRUE,MetanetX conversion,FALSE
hydt5ppa[c],hydt5ppa,hydt5ppa,hydt5ppa[c],c,FALSE,Unchanged,FALSE
h2o2[c],h2o2,MNXM732620,MNXM732620[c],c,TRUE,MetanetX conversion,FALSE
6pgc[e],6pgc,MNXM734080,MNXM734080[e],e,TRUE,MetanetX conversion,FALSE
pi[c],pi,MNXM9,MNXM9[c],c,TRUE,MetanetX conversion,FALSE
6pgc[c],6pgc,MNXM734080,MNXM734080[c],c,TRUE,MetanetX conversion,FALSE
pi[e],pi,MNXM9,MNXM9[e],e,TRUE,MetanetX conversion,FALSE
atp[c],atp,MNXM3,MNXM3[c],c,TRUE,MetanetX conversion,FALSE
6pgl[c],6pgl,MNXM1104491,MNXM1104491[c],c,TRUE,MetanetX conversion,FALSE
adp[c],adp,MNXM40333,MNXM40333[c],c,TRUE,MetanetX conversion,FALSE
6pgl[e],6pgl,MNXM1104491,MNXM1104491[e],e,TRUE,MetanetX conversion,FALSE
asp__L[c],asp__L,MNXM1364673,MNXM1364673[c],c,TRUE,MetanetX conversion,FALSE
pphn[c],pphn,MNXM737312,MNXM737312[c],c,TRUE,MetanetX conversion,FALSE
oaa[c],oaa,MNXM46,MNXM46[c],c,TRUE,MetanetX conversion,FALSE
Largn[c],Largn,MNXM696,MNXM696[c],c,TRUE,MetanetX conversion,FALSE
arg__L[c],arg__L,MNXM739527,MNXM739527[c],c,TRUE,MetanetX conversion,FALSE
4abut[c],4abut,MNXM192,MNXM192[c],c,TRUE,MetanetX conversion,FALSE
orn[c],orn,MNXM741175,MNXM741175[c],c,TRUE,MetanetX conversion,FALSE
4gudbutn[c],4gudbutn,MNXM1312,MNXM1312[c],c,TRUE,MetanetX conversion,FALSE
arab__L[c],arab__L,MNXM734859,MNXM734859[c],c,TRUE,MetanetX conversion,FALSE
ara5p[c],ara5p,MNXM1137677,MNXM1137677[c],c,TRUE,MetanetX conversion,FALSE
acamp[c],acamp,acamp,acamp[c],c,FALSE,Unchanged,FALSE
amp[c],amp,MNXM728294,MNXM728294[c],c,TRUE,MetanetX conversion,FALSE
aacoa[c],aacoa,MNXM1103802,MNXM1103802[c],c,TRUE,MetanetX conversion,FALSE
acac[c],acac,MNXM729595,MNXM729595[c],c,TRUE,MetanetX conversion,FALSE
ppi[c],ppi,MNXM11,MNXM11[c],c,TRUE,MetanetX conversion,FALSE
pmtcoa[c],pmtcoa,MNXM1106160,MNXM1106160[c],c,TRUE,MetanetX conversion,FALSE
2agpg160[c],2agpg160,MNXM34740,MNXM34740[c],c,TRUE,MetanetX conversion,FALSE
pchol[c],pchol,pchol,pchol[c],c,FALSE,Unchanged,FALSE
adcobhex[c],adcobhex,MNXM877,MNXM877[c],c,TRUE,MetanetX conversion,FALSE
appl[c],appl,MNXM1107675,MNXM1107675[c],c,TRUE,MetanetX conversion,FALSE
adocbi[c],adocbi,MNXM1103715,MNXM1103715[c],c,TRUE,MetanetX conversion,FALSE
2maacoa[c],2maacoa,MNXM1104585,MNXM1104585[c],c,TRUE,MetanetX conversion,FALSE
ppcoa[c],ppcoa,MNXM1364414,MNXM1364414[c],c,TRUE,MetanetX conversion,FALSE
btcoa[c],btcoa,MNXM1104300,MNXM1104300[c],c,TRUE,MetanetX conversion,FALSE
3ohcoa[c],3ohcoa,MNXM1104699,MNXM1104699[c],c,TRUE,MetanetX conversion,FALSE
hxcoa[c],hxcoa,MNXM1103616,MNXM1103616[c],c,TRUE,MetanetX conversion,FALSE
3oocoa[c],3oocoa,MNXM1093448,MNXM1093448[c],c,TRUE,MetanetX conversion,FALSE
occoa[c],occoa,MNXM1093479,MNXM1093479[c],c,TRUE,MetanetX conversion,FALSE
3odcoa[c],3odcoa,MNXM1104685,MNXM1104685[c],c,TRUE,MetanetX conversion,FALSE
dcacoa[c],dcacoa,MNXM1092836,MNXM1092836[c],c,TRUE,MetanetX conversion,FALSE
3oddcoa[c],3oddcoa,MNXM1364155,MNXM1364155[c],c,TRUE,MetanetX conversion,FALSE
ddcacoa[c],ddcacoa,MNXM1092909,MNXM1092909[c],c,TRUE,MetanetX conversion,FALSE
3otdcoa[c],3otdcoa,MNXM1103776,MNXM1103776[c],c,TRUE,MetanetX conversion,FALSE
tdcoa[c],tdcoa,MNXM1104283,MNXM1104283[c],c,TRUE,MetanetX conversion,FALSE
3ohdcoa[c],3ohdcoa,MNXM1104713,MNXM1104713[c],c,TRUE,MetanetX conversion,FALSE
pa160[c],pa160,MNXM731668,MNXM731668[c],c,TRUE,MetanetX conversion,FALSE
1ag3p_SC[c],1ag3p_SC,MNXM728513,MNXM728513[c],c,TRUE,MetanetX conversion,FALSE
acald[c],acald,MNXM75,MNXM75[c],c,TRUE,MetanetX conversion,FALSE
acald[e],acald,MNXM75,MNXM75[e],e,TRUE,MetanetX conversion,FALSE
hco3[c],hco3,MNXM1094693,MNXM1094693[c],c,TRUE,MetanetX conversion,FALSE
malcoa[c],malcoa,MNXM1106093,MNXM1106093[c],c,TRUE,MetanetX conversion,FALSE
acetone[c],acetone,MNXM398,MNXM398[c],c,TRUE,MetanetX conversion,FALSE
acetone[e],acetone,MNXM398,MNXM398[e],e,TRUE,MetanetX conversion,FALSE
acglu[c],acglu,MNXM1371649,MNXM1371649[c],c,TRUE,MetanetX conversion,FALSE
acg5p[c],acg5p,MNXM1384,MNXM1384[c],c,TRUE,MetanetX conversion,FALSE
glyc3p[c],glyc3p,MNXM66,MNXM66[c],c,TRUE,MetanetX conversion,FALSE
2obut[c],2obut,MNXM159,MNXM159[c],c,TRUE,MetanetX conversion,FALSE
2ahbut[c],2ahbut,MNXM726902,MNXM726902[c],c,TRUE,MetanetX conversion,FALSE
alac__S[c],alac__S,MNXM1103847,MNXM1103847[c],c,TRUE,MetanetX conversion,FALSE
malon[c],malon,MNXM730881,MNXM730881[c],c,TRUE,MetanetX conversion,FALSE
ac[c],ac,MNXM26,MNXM26[c],c,TRUE,MetanetX conversion,FALSE
2mbcoa[c],2mbcoa,MNXM1364308,MNXM1364308[c],c,TRUE,MetanetX conversion,FALSE
acceptor[c],acceptor,acceptor,acceptor[c],c,FALSE,Unchanged,FALSE
2mb2coa[c],2mb2coa,MNXM1364139,MNXM1364139[c],c,TRUE,MetanetX conversion,FALSE
donorh2[c],donorh2,donorh2,donorh2[c],c,FALSE,Unchanged,FALSE
fad[c],fad,MNXM1364297,MNXM1364297[c],c,TRUE,MetanetX conversion,FALSE
fadh2[c],fadh2,MNXM1105762,MNXM1105762[c],c,TRUE,MetanetX conversion,FALSE
hx2coa[c],hx2coa,MNXM1104717,MNXM1104717[c],c,TRUE,MetanetX conversion,FALSE
oc2coa[c],oc2coa,MNXM1106007,MNXM1106007[c],c,TRUE,MetanetX conversion,FALSE
dc2coa[c],dc2coa,MNXM1104631,MNXM1104631[c],c,TRUE,MetanetX conversion,FALSE
dd2coa[c],dd2coa,MNXM1104661,MNXM1104661[c],c,TRUE,MetanetX conversion,FALSE
td2coa[c],td2coa,MNXM1104173,MNXM1104173[c],c,TRUE,MetanetX conversion,FALSE
hdd2coa[c],hdd2coa,MNXM1104633,MNXM1104633[c],c,TRUE,MetanetX conversion,FALSE
3mb2coa[c],3mb2coa,MNXM1364102,MNXM1364102[c],c,TRUE,MetanetX conversion,FALSE
ivcoa[c],ivcoa,MNXM1364110,MNXM1364110[c],c,TRUE,MetanetX conversion,FALSE
acACP[c],acACP,MNXM727672,MNXM727672[c],c,TRUE,MetanetX conversion,FALSE
acorn[c],acorn,MNXM817,MNXM817[c],c,TRUE,MetanetX conversion,FALSE
cit[c],cit,MNXM1107752,MNXM1107752[c],c,TRUE,MetanetX conversion,FALSE
acon_C[c],acon_C,MNXM1092518,MNXM1092518[c],c,TRUE,MetanetX conversion,FALSE
icit[c],icit,MNXM89661,MNXM89661[c],c,TRUE,MetanetX conversion,FALSE
acg5sa[c],acg5sa,MNXM1062,MNXM1062[c],c,TRUE,MetanetX conversion,FALSE
actp[c],actp,MNXM280,MNXM280[c],c,TRUE,MetanetX conversion,FALSE
ade[c],ade,MNXM168,MNXM168[c],c,TRUE,MetanetX conversion,FALSE
hxan[c],hxan,MNXM732487,MNXM732487[c],c,TRUE,MetanetX conversion,FALSE
nh3[c],nh3,MNXM729302,MNXM729302[c],c,TRUE,MetanetX conversion,FALSE
prpp[c],prpp,MNXM1104453,MNXM1104453[c],c,TRUE,MetanetX conversion,FALSE
aps[c],aps,MNXM1103086,MNXM1103086[c],c,TRUE,MetanetX conversion,FALSE
