orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed
cpd02371[c0],cpd02371,MNXM1103932,MNXM1103932[c],c,TRUE,MetanetX conversion,FALSE
cpd12543[c0],cpd12543,MNXM738259,MNXM738259[c],c,TRUE,MetanetX conversion,FALSE
cpd00794[c0],cpd00794,MNXM1364330,MNXM1364330[c],c,TRUE,MetanetX conversion,FALSE
cpd15523[c0],cpd15523,MNXM90512,MNXM90512[c],c,TRUE,MetanetX conversion,FALSE
cpd02678[c0],cpd02678,MNXM1094915,MNXM1094915[c],c,TRUE,MetanetX conversion,FALSE
cpd11825[c0],cpd11825,MNXM728703,MNXM728703[c],c,TRUE,MetanetX conversion,FALSE
cpd00276[c0],cpd00276,MNXM1105684,MNXM1105684[c],c,TRUE,MetanetX conversion,FALSE
cpd00047[c0],cpd00047,MNXM39,MNXM39[c],c,TRUE,MetanetX conversion,FALSE
cpd11583[c0],cpd11583,MNXM1372305,MNXM1372305[c],c,TRUE,MetanetX conversion,FALSE
cpd00751[c0],cpd00751,MNXM1364453,MNXM1364453[c],c,TRUE,MetanetX conversion,FALSE
cpd00092[c0],cpd00092,MNXM1369195,MNXM1369195[c],c,TRUE,MetanetX conversion,FALSE
cpd02918[c0],cpd02918,MNXM739655,MNXM739655[c],c,TRUE,MetanetX conversion,FALSE
cpd00373[c0],cpd00373,MNXM726760,MNXM726760[c],c,TRUE,MetanetX conversion,FALSE
cpd11625[c0],cpd11625,MNXM730326,MNXM730326[c],c,TRUE,MetanetX conversion,FALSE
cpd04016[c0],cpd04016,MNXM5676,MNXM5676[c],c,TRUE,MetanetX conversion,FALSE
cpd03671[c0],cpd03671,MNXM1364197,MNXM1364197[c],c,TRUE,MetanetX conversion,FALSE
cpd00229[c0],cpd00229,MNXM734590,MNXM734590[c],c,TRUE,MetanetX conversion,FALSE
cpd00797[c0],cpd00797,MNXM1104965,MNXM1104965[c],c,TRUE,MetanetX conversion,FALSE
cpd03423[c0],cpd03423,MNXM729592,MNXM729592[c],c,TRUE,MetanetX conversion,FALSE
cpd00332[c0],cpd00332,MNXM1105057,MNXM1105057[c],c,TRUE,MetanetX conversion,FALSE
cpd01741[c0],cpd01741,MNXM402,MNXM402[c],c,TRUE,MetanetX conversion,FALSE
cpd00791[c0],cpd00791,MNXM351,MNXM351[c],c,TRUE,MetanetX conversion,FALSE
cpd03416[c0],cpd03416,MNXM1322,MNXM1322[c],c,TRUE,MetanetX conversion,FALSE
cpd15345[c0],cpd15345,MNXM146502,MNXM146502[c],c,TRUE,MetanetX conversion,FALSE
cpd11623[c0],cpd11623,MNXM381,MNXM381[c],c,TRUE,MetanetX conversion,FALSE
cpd11536[c0],cpd11536,MNXM8010,MNXM8010[c],c,TRUE,MetanetX conversion,FALSE
cpd00449[c0],cpd00449,MNXM1277,MNXM1277[c],c,TRUE,MetanetX conversion,FALSE
cpd12036[c0],cpd12036,MNXM741231,MNXM741231[NA],NA,TRUE,MetanetX conversion,FALSE
cpd15049[c0],cpd15049,MNXM1106938,MNXM1106938[c],c,TRUE,MetanetX conversion,FALSE
cpd14702[c0],cpd14702,MNXM739352,MNXM739352[c],c,TRUE,MetanetX conversion,FALSE
cpd11583[e0],cpd11583,MNXM1372305,MNXM1372305[e],e,TRUE,MetanetX conversion,FALSE
cpd15045[c0],cpd15045,MNXM1106940,MNXM1106940[c],c,TRUE,MetanetX conversion,FALSE
cpd00276[e0],cpd00276,MNXM1105684,MNXM1105684[NA],NA,TRUE,MetanetX conversion,FALSE
cpd11509[c0],cpd11509,MNXM9653,MNXM9653[c],c,TRUE,MetanetX conversion,FALSE
cpd15064[c0],cpd15064,MNXM6216,MNXM6216[c],c,TRUE,MetanetX conversion,FALSE
cpd11569[c0],cpd11569,MNXM8023,MNXM8023[c],c,TRUE,MetanetX conversion,FALSE
cpd02626[c0],cpd02626,MNXM1992,MNXM1992[c],c,TRUE,MetanetX conversion,FALSE
cpd08372[c0],cpd08372,MNXM1372942,MNXM1372942[NA],NA,TRUE,MetanetX conversion,FALSE
cpd05727[c0],cpd05727,MNXM1108276,MNXM1108276[c],c,TRUE,MetanetX conversion,FALSE
cpd15526[c0],cpd15526,MNXM737491,MNXM737491[c],c,TRUE,MetanetX conversion,FALSE
cpd15347[c0],cpd15347,MNXM146499,MNXM146499[c],c,TRUE,MetanetX conversion,FALSE
cpd11549[c0],cpd11549,MNXM8148,MNXM8148[c],c,TRUE,MetanetX conversion,FALSE
cpd00800[c0],cpd00800,MNXM726864,MNXM726864[c],c,TRUE,MetanetX conversion,FALSE
cpd00247[c0],cpd00247,MNXM235,MNXM235[c],c,TRUE,MetanetX conversion,FALSE
cpd11534[c0],cpd11534,MNXM9670,MNXM9670[c],c,TRUE,MetanetX conversion,FALSE
cpd00861[c0],cpd00861,MNXM1101258,MNXM1101258[c],c,TRUE,MetanetX conversion,FALSE
cpd11718[c0],cpd11718,MNXM1364911,MNXM1364911[c],c,TRUE,MetanetX conversion,FALSE
