orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed,database_sources
cpd00001__91__c0__93__,cpd00001,MNXM2,MNXM2[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00001__91__e0__93__,cpd00001,MNXM2,MNXM2[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00002__91__c0__93__,cpd00002,MNXM3,MNXM3[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00003__91__c0__93__,cpd00003,MNXM8,MNXM8[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00004__91__c0__93__,cpd00004,MNXM10,MNXM10[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00005__91__c0__93__,cpd00005,MNXM738702,MNXM738702[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00006__91__c0__93__,cpd00006,MNXM5,MNXM5[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00007__91__c0__93__,cpd00007,MNXM735437,MNXM735437[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00007__91__e0__93__,cpd00007,MNXM735437,MNXM735437[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00008__91__c0__93__,cpd00008,MNXM40333,MNXM40333[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00009__91__c0__93__,cpd00009,MNXM9,MNXM9[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00009__91__e0__93__,cpd00009,MNXM9,MNXM9[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00010__91__c0__93__,cpd00010,MNXM727276,MNXM727276[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00011__91__c0__93__,cpd00011,MNXM13,MNXM13[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00011__91__e0__93__,cpd00011,MNXM13,MNXM13[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00012__91__c0__93__,cpd00012,MNXM11,MNXM11[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00012__91__e0__93__,cpd00012,MNXM11,MNXM11[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00013__91__c0__93__,cpd00013,MNXM729302,MNXM729302[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00013__91__e0__93__,cpd00013,MNXM729302,MNXM729302[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00014__91__c0__93__,cpd00014,MNXM17,MNXM17[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00015__91__c0__93__,cpd00015,MNXM33,MNXM33[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
cpd00016__91__c0__93__,cpd00016,MNXM161,MNXM161[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, seed"
