orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed
cpd02371[c0],cpd02371,MNXM1103932,MNXM1103932[c],c,TRUE,MetanetX conversion,FALSE
cpd12543[c0],cpd12543,MNXM738259,MNXM738259[c],c,TRUE,MetanetX conversion,FALSE
cpd04078[c0],cpd04078,MNXM1372420,MNXM1372420[NA],NA,TRUE,MetanetX conversion,FALSE
cpd00036[e0],cpd00036,MNXM25,MNXM25[e],e,TRUE,MetanetX conversion,FALSE
cpd01029[c0],cpd01029,MNXM1104274,MNXM1104274[NA],NA,TRUE,MetanetX conversion,FALSE
cpd02731[c0],cpd02731,MNXM1364616,MNXM1364616[NA],NA,TRUE,MetanetX conversion,FALSE
cpd15523[c0],cpd15523,MNXM90512,MNXM90512[c],c,TRUE,MetanetX conversion,FALSE
cpd03466[c0],cpd03466,MNXM1106910,MNXM1106910[NA],NA,TRUE,MetanetX conversion,FALSE
cpd14937[c0],cpd14937,MNXM1104783,MNXM1104783[NA],NA,TRUE,MetanetX conversion,FALSE
cpd02678[c0],cpd02678,MNXM1094915,MNXM1094915[c],c,TRUE,MetanetX conversion,FALSE
cpd11825[c0],cpd11825,MNXM728703,MNXM728703[c],c,TRUE,MetanetX conversion,FALSE
cpd00047[c0],cpd00047,MNXM39,MNXM39[c],c,TRUE,MetanetX conversion,FALSE
cpd11583[c0],cpd11583,MNXM1372305,MNXM1372305[c],c,TRUE,MetanetX conversion,FALSE
cpd00092[c0],cpd00092,MNXM1369195,MNXM1369195[c],c,TRUE,MetanetX conversion,FALSE
cpd14521[c0],cpd14521,MNXM735332,MNXM735332[NA],NA,TRUE,MetanetX conversion,FALSE
cpd12483[c0],cpd12483,MNXM6426,MNXM6426[NA],NA,TRUE,MetanetX conversion,FALSE
cpd11625[c0],cpd11625,MNXM730326,MNXM730326[NA],NA,TRUE,MetanetX conversion,FALSE
cpd03671[c0],cpd03671,MNXM1364197,MNXM1364197[c],c,TRUE,MetanetX conversion,FALSE
cpd00797[c0],cpd00797,MNXM1104965,MNXM1104965[c],c,TRUE,MetanetX conversion,FALSE
cpd00229[c0],cpd00229,MNXM734590,MNXM734590[c],c,TRUE,MetanetX conversion,FALSE
cpd03423[c0],cpd03423,MNXM729592,MNXM729592[c],c,TRUE,MetanetX conversion,FALSE
cpd00332[c0],cpd00332,MNXM1105057,MNXM1105057[NA],NA,TRUE,MetanetX conversion,FALSE
cpd01741[c0],cpd01741,MNXM402,MNXM402[c],c,TRUE,MetanetX conversion,FALSE
cpd00791[c0],cpd00791,MNXM351,MNXM351[c],c,TRUE,MetanetX conversion,FALSE
cpd03416[c0],cpd03416,MNXM1322,MNXM1322[c],c,TRUE,MetanetX conversion,FALSE
cpd15345[c0],cpd15345,MNXM146502,MNXM146502[c],c,TRUE,MetanetX conversion,FALSE
cpd08276[c0],cpd08276,MNXM3689,MNXM3689[NA],NA,TRUE,MetanetX conversion,FALSE
cpd11906[c0],cpd11906,MNXM89576,MNXM89576[NA],NA,TRUE,MetanetX conversion,FALSE
cpd01899[c0],cpd01899,MNXM741442,MNXM741442[NA],NA,TRUE,MetanetX conversion,FALSE
cpd09821[c0],cpd09821,MNXM740059,MNXM740059[NA],NA,TRUE,MetanetX conversion,FALSE
cpd00449[c0],cpd00449,MNXM1277,MNXM1277[c],c,TRUE,MetanetX conversion,FALSE
cpd11536[c0],cpd11536,MNXM8010,MNXM8010[c],c,TRUE,MetanetX conversion,FALSE
cpd12036[c0],cpd12036,MNXM741231,MNXM741231[NA],NA,TRUE,MetanetX conversion,FALSE
cpd15049[c0],cpd15049,MNXM1106938,MNXM1106938[NA],NA,TRUE,MetanetX conversion,FALSE
cpd00588[e0],cpd00588,MNXM736685,MNXM736685[e],e,TRUE,MetanetX conversion,FALSE
cpd14702[c0],cpd14702,MNXM739352,MNXM739352[c],c,TRUE,MetanetX conversion,FALSE
cpd11948[c0],cpd11948,MNXM2439,MNXM2439[NA],NA,TRUE,MetanetX conversion,FALSE
cpd11583[e0],cpd11583,MNXM1372305,MNXM1372305[e],e,TRUE,MetanetX conversion,FALSE
cpd00276[e0],cpd00276,MNXM1105684,MNXM1105684[e],e,TRUE,MetanetX conversion,FALSE
cpd15045[c0],cpd15045,MNXM1106940,MNXM1106940[NA],NA,TRUE,MetanetX conversion,FALSE
cpd11509[c0],cpd11509,MNXM9653,MNXM9653[c],c,TRUE,MetanetX conversion,FALSE
cpd00794[e0],cpd00794,MNXM1364330,MNXM1364330[e],e,TRUE,MetanetX conversion,FALSE
cpd11569[c0],cpd11569,MNXM8023,MNXM8023[c],c,TRUE,MetanetX conversion,FALSE
cpd08372[c0],cpd08372,MNXM1372942,MNXM1372942[c],c,TRUE,MetanetX conversion,FALSE
cpd15526[c0],cpd15526,MNXM737491,MNXM737491[c],c,TRUE,MetanetX conversion,FALSE
cpd16736[c0],cpd16736,MNXM736127,MNXM736127[NA],NA,TRUE,MetanetX conversion,FALSE
cpd00797[e0],cpd00797,MNXM1104965,MNXM1104965[e],e,TRUE,MetanetX conversion,FALSE
