orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed,database_sources
m[0001],m,MNXM638,MNXM638[erm],erm,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
m[0002],m,MNXM638,MNXM638[lp],lp,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
m[0009],m,MNXM8520,MNXM8520[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, seed, kegg"
m[0010],m,MNXM7260,MNXM7260[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
m[0012],m,MNXM11431,MNXM11431[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, seed, kegg"
m[0013],m,MNXM11432,MNXM11432[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
m[0014],m,MNXM1371917,MNXM1371917[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, seed, kegg"
m[0015],m,MNXM528,MNXM528[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
m[0021],m,MNXM615,MNXM615[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
m[0023],m,MNXM1137,MNXM1137[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
m[0024],m,MNXM441,MNXM441[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
m[0033],m,MNXM726888,MNXM726888[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
m[0064],m,MNXM728392,MNXM728392[m],m,TRUE,MetanetX conversion,FALSE,"metanetx, seed, kegg"
m[0065],m,MNXM734853,MNXM734853[m],m,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
m[0082],m,MNXM734899,MNXM734899[m],m,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed"
m[0097],m,MNXM707,MNXM707[m],m,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
m[0109],m,m,m[m],m,FALSE,Unchanged,FALSE,None
m[0112],m,MNXM165192,MNXM165192[m],m,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
m[0128],m,m,m[c],c,FALSE,Unchanged,FALSE,None
m[0131],m,m,m[erm],erm,FALSE,Unchanged,FALSE,None
m[0132],m,m,m[lp],lp,FALSE,Unchanged,FALSE,None
m[0135],m,m,m[erm],erm,FALSE,Unchanged,FALSE,None
m[0136],m,m,m[lp],lp,FALSE,Unchanged,FALSE,None
m[0153],m,m,m[erm],erm,FALSE,Unchanged,FALSE,None
m[0155],m,m,m[erm],erm,FALSE,Unchanged,FALSE,None
m[0213],m,m,m[vm],vm,FALSE,Unchanged,FALSE,None
m[0215],m,m,m[vm],vm,FALSE,Unchanged,FALSE,None
m[0221],m,m,m[erm],erm,FALSE,Unchanged,FALSE,None
m[0233],m,m,m[erm],erm,FALSE,Unchanged,FALSE,None
m[0245],m,m,m[gm],gm,FALSE,Unchanged,FALSE,None
m[0247],m,m,m[gm],gm,FALSE,Unchanged,FALSE,None
m[0285],m,m,m[vm],vm,FALSE,Unchanged,FALSE,None
m[0287],m,m,m[vm],vm,FALSE,Unchanged,FALSE,None
m[0335],m,m,m[ce],ce,FALSE,Unchanged,FALSE,None
m[0339],m,m,m[ce],ce,FALSE,Unchanged,FALSE,None
m[0343],m,m,m[ce],ce,FALSE,Unchanged,FALSE,None
m[0344],m,m,m[gm],gm,FALSE,Unchanged,FALSE,None
m[0351],m,m,m[ce],ce,FALSE,Unchanged,FALSE,None
m[0352],m,m,m[gm],gm,FALSE,Unchanged,FALSE,None
m[0357],m,m,m[erm],erm,FALSE,Unchanged,FALSE,None
m[0358],m,m,m[lp],lp,FALSE,Unchanged,FALSE,None
m[0359],m,m,m[erm],erm,FALSE,Unchanged,FALSE,None
m[0360],m,m,m[mm],mm,FALSE,Unchanged,FALSE,None
m[0361],m,m,m[mm],mm,FALSE,Unchanged,FALSE,None
m[0362],m,m,m[erm],erm,FALSE,Unchanged,FALSE,None
m[0363],m,m,m[mm],mm,FALSE,Unchanged,FALSE,None
m[0364],m,m,m[mm],mm,FALSE,Unchanged,FALSE,None
m[0365],m,m,m[erm],erm,FALSE,Unchanged,FALSE,None
m[0366],m,m,m[mm],mm,FALSE,Unchanged,FALSE,None
m[0367],m,m,m[mm],mm,FALSE,Unchanged,FALSE,None
m[0368],m,m,m[mm],mm,FALSE,Unchanged,FALSE,None
m[0369],m,m,m[mm],mm,FALSE,Unchanged,FALSE,None
m[0370],m,m,m[mm],mm,FALSE,Unchanged,FALSE,None
m[0371],m,m,m[mm],mm,FALSE,Unchanged,FALSE,None
m[0372],m,m,m[erm],erm,FALSE,Unchanged,FALSE,None
