orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed
0013[c],0013,0013,0013[c],c,FALSE,Unchanged,FALSE
0014[n],0014,0014,0014[n],n,FALSE,Unchanged,FALSE
0045[p],0045,0045,0045[p],p,FALSE,Unchanged,FALSE
0089[c],0089,0089,0089[c],c,FALSE,Unchanged,FALSE
0209[c],0209,0209,0209[c],c,FALSE,Unchanged,FALSE
0217[c],0217,0217,0217[c],c,FALSE,Unchanged,FALSE
0263[c],0263,0263,0263[c],c,FALSE,Unchanged,FALSE
0279[c],0279,0279,0279[c],c,FALSE,Unchanged,FALSE
0297[c],0297,0297,0297[c],c,FALSE,Unchanged,FALSE
0309[c],0309,0309,0309[c],c,FALSE,Unchanged,FALSE
0330[er],0330,0330,0330[er],er,FALSE,Unchanged,FALSE
0332[er],0332,0332,0332[er],er,FALSE,Unchanged,FALSE
0333[c],0333,0333,0333[c],c,FALSE,Unchanged,FALSE
0337[er],0337,0337,0337[er],er,FALSE,Unchanged,FALSE
0339[er],0339,0339,0339[er],er,FALSE,Unchanged,FALSE
0414[g],0414,0414,0414[g],g,FALSE,Unchanged,FALSE
0450[c],0450,0450,0450[c],c,FALSE,Unchanged,FALSE
0487[er],0487,0487,0487[er],er,FALSE,Unchanged,FALSE
0488[g],0488,0488,0488[g],g,FALSE,Unchanged,FALSE
0489[m],0489,0489,0489[m],m,FALSE,Unchanged,FALSE
0490[er],0490,0490,0490[er],er,FALSE,Unchanged,FALSE
0491[g],0491,0491,0491[g],g,FALSE,Unchanged,FALSE
0492[m],0492,0492,0492[m],m,FALSE,Unchanged,FALSE
0499[er],0499,0499,0499[er],er,FALSE,Unchanged,FALSE
0500[g],0500,0500,0500[g],g,FALSE,Unchanged,FALSE
0501[m],0501,0501,0501[m],m,FALSE,Unchanged,FALSE
0502[er],0502,0502,0502[er],er,FALSE,Unchanged,FALSE
0503[g],0503,0503,0503[g],g,FALSE,Unchanged,FALSE
0504[m],0504,0504,0504[m],m,FALSE,Unchanged,FALSE
0607[c],0607,0607,0607[c],c,FALSE,Unchanged,FALSE
0608[c],0608,0608,0608[c],c,FALSE,Unchanged,FALSE
0609[n],0609,0609,0609[n],n,FALSE,Unchanged,FALSE
0640[lp],0640,0640,0640[lp],lp,FALSE,Unchanged,FALSE
0641[lp],0641,0641,0641[lp],lp,FALSE,Unchanged,FALSE
0672[c],0672,0672,0672[c],c,FALSE,Unchanged,FALSE
0685[c],0685,0685,0685[c],c,FALSE,Unchanged,FALSE
0813[lp],0813,0813,0813[lp],lp,FALSE,Unchanged,FALSE
0814[lp],0814,0814,0814[lp],lp,FALSE,Unchanged,FALSE
0829[lp],0829,0829,0829[lp],lp,FALSE,Unchanged,FALSE
0834[m],0834,0834,0834[m],m,FALSE,Unchanged,FALSE
0835[n],0835,0835,0835[n],n,FALSE,Unchanged,FALSE
