orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed
cpd02255__91__c0__93__,cpd02255,MNXM829,MNXM829[c],c,TRUE,MetanetX conversion,TRUE
cpd00067__91__c0__93__,cpd00067,MNXM1,MNXM1[c],c,TRUE,MetanetX conversion,TRUE
cpd00011__91__c0__93__,cpd00011,MNXM13,MNXM13[c],c,TRUE,MetanetX conversion,TRUE
cpd00938__91__c0__93__,cpd00938,MNXM726914,MNXM726914[c],c,TRUE,MetanetX conversion,TRUE
cpd02152__91__c0__93__,cpd02152,MNXM722743,MNXM722743[c],c,TRUE,MetanetX conversion,TRUE
cpd00106__91__c0__93__,cpd00106,MNXM737340,MNXM737340[c],c,TRUE,MetanetX conversion,TRUE
cpd00051__91__c0__93__,cpd00051,MNXM739527,MNXM739527[c],c,TRUE,MetanetX conversion,TRUE
cpd03671__91__c0__93__,cpd03671,MNXM1364197,MNXM1364197[c],c,TRUE,MetanetX conversion,TRUE
cpd02611__91__c0__93__,cpd02611,MNXM729920,MNXM729920[c],c,TRUE,MetanetX conversion,TRUE
cpd00010__91__c0__93__,cpd00010,MNXM727276,MNXM727276[c],c,TRUE,MetanetX conversion,TRUE
cpd00022__91__c0__93__,cpd00022,MNXM1104266,MNXM1104266[c],c,TRUE,MetanetX conversion,TRUE
cpd11420__91__c0__93__,cpd11420,MNXM729079,MNXM729079[c],c,TRUE,MetanetX conversion,TRUE
cpd00790__91__c0__93__,cpd00790,MNXM1372419,MNXM1372419[c],c,TRUE,MetanetX conversion,TRUE
cpd00135__91__c0__93__,cpd00135,MNXM123,MNXM123[c],c,TRUE,MetanetX conversion,TRUE
cpd00081__91__c0__93__,cpd00081,MNXM726339,MNXM726339[c],c,TRUE,MetanetX conversion,TRUE
cpd00029__91__c0__93__,cpd00029,MNXM26,MNXM26[c],c,TRUE,MetanetX conversion,TRUE
cpd00268__91__c0__93__,cpd00268,MNXM1094289,MNXM1094289[c],c,TRUE,MetanetX conversion,TRUE
cpd11421__91__c0__93__,cpd11421,MNXM741334,MNXM741334[c],c,TRUE,MetanetX conversion,TRUE
cpd00060__91__c0__93__,cpd00060,MNXM738804,MNXM738804[c],c,TRUE,MetanetX conversion,TRUE
cpd00001__91__c0__93__,cpd00001,WATER,WATER[c],c,TRUE,Other conversion,TRUE
cpd00035__91__c0__93__,cpd00035,MNXM1105732,MNXM1105732[c],c,TRUE,MetanetX conversion,TRUE
cpd11590__91__c0__93__,cpd11590,MNXM8868,MNXM8868[c],c,TRUE,MetanetX conversion,TRUE
cpd00161__91__c0__93__,cpd00161,MNXM142,MNXM142[c],c,TRUE,MetanetX conversion,TRUE
cpd11582__91__c0__93__,cpd11582,MNXM8264,MNXM8264[c],c,TRUE,MetanetX conversion,TRUE
cpd03761__91__c0__93__,cpd03761,MNXM1368836,MNXM1368836[c],c,TRUE,MetanetX conversion,TRUE
cpd00006__91__c0__93__,cpd00006,MNXM5,MNXM5[c],c,TRUE,MetanetX conversion,TRUE
cpd03760__91__c0__93__,cpd03760,MNXM729283,MNXM729283[c],c,TRUE,MetanetX conversion,TRUE
cpd00005__91__c0__93__,cpd00005,MNXM738702,MNXM738702[c],c,TRUE,MetanetX conversion,TRUE
cpd00254__91__e0__93__,cpd00254,MNXM653,MNXM653[e],e,TRUE,MetanetX conversion,TRUE
cpd00254__91__c0__93__,cpd00254,MNXM653,MNXM653[c],c,TRUE,MetanetX conversion,TRUE
cpd00036__91__c0__93__,cpd00036,MNXM25,MNXM25[c],c,TRUE,MetanetX conversion,TRUE
cpd02857__91__c0__93__,cpd02857,MNXM1219,MNXM1219[c],c,TRUE,MetanetX conversion,TRUE
cpd00699__91__c0__93__,cpd00699,MNXM736874,MNXM736874[c],c,TRUE,MetanetX conversion,TRUE
cpd00009__91__c0__93__,cpd00009,MNXM9,MNXM9[c],c,TRUE,MetanetX conversion,TRUE
cpd03519__91__c0__93__,cpd03519,MNXM1102965,MNXM1102965[c],c,TRUE,MetanetX conversion,TRUE
cpd03518__91__c0__93__,cpd03518,MNXM1103590,MNXM1103590[c],c,TRUE,MetanetX conversion,TRUE
cpd00047__91__c0__93__,cpd00047,MNXM39,MNXM39[c],c,TRUE,MetanetX conversion,TRUE
cpd02555__91__c0__93__,cpd02555,MNXM1103841,MNXM1103841[c],c,TRUE,MetanetX conversion,TRUE
cpd02738__91__c0__93__,cpd02738,MNXM733156,MNXM733156[c],c,TRUE,MetanetX conversion,TRUE
cpd00130__91__c0__93__,cpd00130,MNXM1107192,MNXM1107192[c],c,TRUE,MetanetX conversion,TRUE
cpd00032__91__c0__93__,cpd00032,MNXM46,MNXM46[c],c,TRUE,MetanetX conversion,TRUE
cpd00004__91__c0__93__,cpd00004,MNXM10,MNXM10[c],c,TRUE,MetanetX conversion,TRUE
cpd00003__91__c0__93__,cpd00003,MNXM8,MNXM8[c],c,TRUE,MetanetX conversion,TRUE
cpd00346__91__c0__93__,cpd00346,MNXM361,MNXM361[c],c,TRUE,MetanetX conversion,TRUE
cpd00227__91__c0__93__,cpd00227,MNXM353,MNXM353[c],c,TRUE,MetanetX conversion,TRUE
cpd02656__91__c0__93__,cpd02656,MNXM1364570,MNXM1364570[c],c,TRUE,MetanetX conversion,TRUE
cpd02882__91__c0__93__,cpd02882,MNXM1372981,MNXM1372981[c],c,TRUE,MetanetX conversion,TRUE
cpd00220__91__c0__93__,cpd00220,MNXM270,MNXM270[c],c,TRUE,MetanetX conversion,TRUE
cpd02893__91__c0__93__,cpd02893,MNXM737371,MNXM737371[c],c,TRUE,MetanetX conversion,TRUE
cpd00002__91__c0__93__,cpd00002,MNXM3,MNXM3[c],c,TRUE,MetanetX conversion,TRUE
cpd00008__91__c0__93__,cpd00008,MNXM40333,MNXM40333[c],c,TRUE,MetanetX conversion,TRUE
cpd02140__91__c0__93__,cpd02140,MNXM1105983,MNXM1105983[c],c,TRUE,MetanetX conversion,TRUE
cpd00242__91__c0__93__,cpd00242,MNXM1094693,MNXM1094693[c],c,TRUE,MetanetX conversion,TRUE
cpd11589__91__c0__93__,cpd11589,MNXM731366,MNXM731366[c],c,TRUE,MetanetX conversion,TRUE
cpd00041__91__c0__93__,cpd00041,MNXM1364673,MNXM1364673[c],c,TRUE,MetanetX conversion,TRUE
cpd00033__91__c0__93__,cpd00033,MNXM29,MNXM29[c],c,TRUE,MetanetX conversion,TRUE
cpd00840__91__c0__93__,cpd00840,MNXM1865,MNXM1865[c],c,TRUE,MetanetX conversion,TRUE
cpd00039__91__c0__93__,cpd00039,MNXM1364416,MNXM1364416[c],c,TRUE,MetanetX conversion,TRUE
cpd14960__91__c0__93__,cpd14960,MNXM736807,MNXM736807[c],c,TRUE,MetanetX conversion,TRUE
cpd08371__91__c0__93__,cpd08371,MNXM736804,MNXM736804[c],c,TRUE,MetanetX conversion,TRUE
cpd00071__91__c0__93__,cpd00071,MNXM75,MNXM75[c],c,TRUE,MetanetX conversion,TRUE
cpd00123__91__c0__93__,cpd00123,MNXM732866,MNXM732866[c],c,TRUE,MetanetX conversion,TRUE
