orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed,database_sources
h2[c],h2,MNXM1108018,MNXM1108018[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
fdxox[c],fdxox,MNXM1543234,MNXM1543234[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg"
hsfd[c],hsfd,MNXM114363,MNXM114363[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
fdxrd[c],fdxrd,MNXM1543236,MNXM1543236[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg"
com[c],com,MNXM399,MNXM399[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
cob[c],cob,MNXM921,MNXM921[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
h[c],h,MNXM1,MNXM1[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
f420_2[c],f420_2,MNXM735034,MNXM735034[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
f420_2h2[c],f420_2h2,MNXM89983,MNXM89983[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
meh4mpt[c],meh4mpt,MNXM740011,MNXM740011[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
myh4mpt[c],myh4mpt,MNXM1103747,MNXM1103747[c],c,TRUE,MetanetX conversion,FALSE,"seed, kegg, chebi"
fmfra[c],fmfra,MNXM726625,MNXM726625[c],c,TRUE,MetanetX conversion,FALSE,"seed, kegg, chebi"
h4mpt[c],h4mpt,MNXM1103753,MNXM1103753[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
mfra[c],mfra,MNXM162764,MNXM162764[c],c,TRUE,MetanetX conversion,FALSE,"seed, kegg, chebi"
fh4mpt[c],fh4mpt,MNXM162740,MNXM162740[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
co2[c],co2,MNXM13,MNXM13[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg, chebi"
h2o[c],h2o,WATER,WATER[c],c,TRUE,Other conversion,FALSE,"bigg, seed, kegg, chebi"
mh4mpt[c],mh4mpt,MNXM1103787,MNXM1103787[c],c,TRUE,MetanetX conversion,FALSE,"seed, kegg, chebi"
na1[c],na1,MNXM27,MNXM27[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg, chebi"
mcom[c],mcom,MNXM671,MNXM671[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg, chebi"
na1[e],na1,MNXM27,MNXM27[e],e,TRUE,MetanetX conversion,FALSE,"bigg, kegg, chebi"
ch4[c],ch4,MNXM739586,MNXM739586[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg, chebi"
h[e],h,MNXM1,MNXM1[e],e,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
adp[c],adp,MNXM40333,MNXM40333[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg, chebi"
pi[c],pi,MNXM9,MNXM9[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg, chebi"
atp[c],atp,MNXM3,MNXM3[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg, chebi"
gln__L[c],gln__L,MNXM37,MNXM37[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
hco3[c],hco3,MNXM1094693,MNXM1094693[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg"
glu__L[c],glu__L,MNXM741173,MNXM741173[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
cbp[c],cbp,MNXM138,MNXM138[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
gtp[c],gtp,MNXM1103553,MNXM1103553[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
amet[c],amet,MNXM1363866,MNXM1363866[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
nadh[c],nadh,MNXM10,MNXM10[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
8cdhg3p[c],8cdhg3p,MNXM1100966,MNXM1100966[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg"
dad_5[c],dad_5,MNXM1103313,MNXM1103313[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg"
met__L[c],met__L,MNXM738804,MNXM738804[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg"
nad[c],nad,MNXM8,MNXM8[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
cpmp[c],cpmp,MNXM1107741,MNXM1107741[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg"
