orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed,database_sources
3a2oxpp[c],3a2oxpp,MNXM1213,MNXM1213[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
23dhmp[c],23dhmp,MNXM1202,MNXM1202[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
mi3p__D[c],mi3p__D,MNXM114089,MNXM114089[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
f10dhf[c],f10dhf,MNXM722889,MNXM722889[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, kegg, chebi"
2ahbut[c],2ahbut,MNXM726902,MNXM726902[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
alac__S[c],alac__S,MNXM114079,MNXM114079[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
a2m2prpnte[c],a2m2prpnte,MNXM1092484,MNXM1092484[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg, chebi"
2me4p[c],2me4p,MNXM91879,MNXM91879[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
3c2hmp[c],3c2hmp,MNXM741108,MNXM741108[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
2dhp[c],2dhp,MNXM959,MNXM959[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
thexdecenoylacp[c],thexdecenoylacp,MNXM1094286,MNXM1094286[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg, chebi"
3mop[c],3mop,MNXM114147,MNXM114147[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
3mob[c],3mob,MNXM491312,MNXM491312[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
akg[c],akg,MNXM588594,MNXM588594[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
