orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed
meoh[p],meoh,MNXM729799,MNXM729799[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
oxidized_cytochrome[c],oxidized_cytochrome,oxidized_cytochrome,oxidized_cytochrome[internal_s],internal_s,FALSE,Unchanged,FALSE
fald[p],fald,MNXM1365101,fald[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
h[p],h,MNXM1,h[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
for[p],for,MNXM39,for[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
for[c],for,MNXM39,for[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
h[c],h,MNXM1,h[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
co2[p],co2,MNXM13,co2[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
fald[c],fald,MNXM1365101,fald[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
mleneh4mpt[c],mleneh4mpt,mleneh4mpt,mleneh4mpt[internal_s],internal_s,FALSE,Unchanged,FALSE
h2o[c],h2o,WATER,WATER[internal_s],internal_s,TRUE,Other conversion,FALSE
atp[c],atp,MNXM3,MNXM3[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
10fthf[c],10fthf,MNXM1102376,MNXM1102376[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
co2[c],co2,MNXM13,co2[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
nadh[c],nadh,MNXM10,MNXM10[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
gly[c],gly,MNXM29,MNXM29[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
mlthf[c],mlthf,MNXM1102150,MNXM1102150[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
nh4[c],nh4,MNXM729302,MNXM729302[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
ser__L[c],ser__L,MNXM737787,MNXM737787[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
glx[c],glx,MNXM69,MNXM69[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
hpyr[c],hpyr,MNXM392,MNXM392[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
2pg[c],2pg,MNXM275,MNXM275[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
pep[c],pep,MNXM73,MNXM73[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
oaa[c],oaa,MNXM46,MNXM46[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
pi[c],pi,MNXM9,MNXM9[internal_s],internal_s,TRUE,MetanetX conversion,FALSE
