orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed
atp[c],atp,MNXM3,MNXM3[c],c,TRUE,MetanetX conversion,FALSE
dglc[c],dglc,dglc,dglc[c],c,FALSE,Unchanged,FALSE
h[c],h,MNXM1,MNXM1[c],c,TRUE,MetanetX conversion,FALSE
adp[c],adp,MNXM40333,MNXM40333[c],c,TRUE,MetanetX conversion,FALSE
dg6p[c],dg6p,dg6p,dg6p[c],c,FALSE,Unchanged,FALSE
f6p[c],f6p,MNXM1107898,MNXM1107898[c],c,TRUE,MetanetX conversion,FALSE
f16p[c],f16p,f16p,f16p[c],c,FALSE,Unchanged,FALSE
h2o[c],h2o,WATER,WATER[c],c,TRUE,Other conversion,FALSE
pi[c],pi,MNXM9,MNXM9[c],c,TRUE,MetanetX conversion,FALSE
t3p1[c],t3p1,t3p1,t3p1[c],c,FALSE,Unchanged,FALSE
t3p2[c],t3p2,t3p2,t3p2[c],c,FALSE,Unchanged,FALSE
nad[c],nad,MNXM8,MNXM8[c],c,TRUE,MetanetX conversion,FALSE
nadh[c],nadh,MNXM10,MNXM10[c],c,TRUE,MetanetX conversion,FALSE
13pdg[c],13pdg,13pdg,13pdg[c],c,FALSE,Unchanged,FALSE
3pg[c],3pg,MNXM727604,MNXM727604[c],c,TRUE,MetanetX conversion,FALSE
2pg[c],2pg,MNXM275,MNXM275[c],c,TRUE,MetanetX conversion,FALSE
pep[c],pep,MNXM73,MNXM73[c],c,TRUE,MetanetX conversion,FALSE
pyr[c],pyr,MNXM23,MNXM23[c],c,TRUE,MetanetX conversion,FALSE
amp[c],amp,MNXM728294,MNXM728294[c],c,TRUE,MetanetX conversion,FALSE
ppi[c],ppi,MNXM11,MNXM11[c],c,TRUE,MetanetX conversion,FALSE
acal[c],acal,acal,acal[c],c,FALSE,Unchanged,FALSE
ac[c],ac,MNXM26,MNXM26[c],c,TRUE,MetanetX conversion,FALSE
nadp[c],nadp,MNXM5,MNXM5[c],c,TRUE,MetanetX conversion,FALSE
nadph[c],nadph,MNXM738702,MNXM738702[c],c,TRUE,MetanetX conversion,FALSE
llac[c],llac,llac,llac[c],c,FALSE,Unchanged,FALSE
glcn[c],glcn,MNXM341,MNXM341[c],c,TRUE,MetanetX conversion,FALSE
ga6p[c],ga6p,ga6p,ga6p[c],c,FALSE,Unchanged,FALSE
eth[c],eth,eth,eth[c],c,FALSE,Unchanged,FALSE
ac[m],ac,MNXM26,MNXM26[m],m,TRUE,MetanetX conversion,FALSE
coa[m],coa,MNXM727276,MNXM727276[m],m,TRUE,MetanetX conversion,FALSE
atp[m],atp,MNXM3,MNXM3[m],m,TRUE,MetanetX conversion,FALSE
accoa[m],accoa,MNXM1104266,MNXM1104266[m],m,TRUE,MetanetX conversion,FALSE
ppi[m],ppi,MNXM11,MNXM11[m],m,TRUE,MetanetX conversion,FALSE
amp[m],amp,MNXM728294,MNXM728294[m],m,TRUE,MetanetX conversion,FALSE
ac[p],ac,MNXM26,MNXM26[p],p,TRUE,MetanetX conversion,FALSE
coa[p],coa,MNXM727276,MNXM727276[p],p,TRUE,MetanetX conversion,FALSE
atp[p],atp,MNXM3,MNXM3[p],p,TRUE,MetanetX conversion,FALSE
accoa[p],accoa,MNXM1104266,MNXM1104266[p],p,TRUE,MetanetX conversion,FALSE
ppi[p],ppi,MNXM11,MNXM11[p],p,TRUE,MetanetX conversion,FALSE
amp[p],amp,MNXM728294,MNXM728294[p],p,TRUE,MetanetX conversion,FALSE
coa[c],coa,MNXM727276,MNXM727276[c],c,TRUE,MetanetX conversion,FALSE
accoa[c],accoa,MNXM1104266,MNXM1104266[c],c,TRUE,MetanetX conversion,FALSE
pyr[m],pyr,MNXM23,MNXM23[m],m,TRUE,MetanetX conversion,FALSE
nad[m],nad,MNXM8,MNXM8[m],m,TRUE,MetanetX conversion,FALSE
nadh[m],nadh,MNXM10,MNXM10[m],m,TRUE,MetanetX conversion,FALSE
co2[m],co2,MNXM13,MNXM13[m],m,TRUE,MetanetX conversion,FALSE
g1p[c],g1p,MNXM1364357,MNXM1364357[c],c,TRUE,MetanetX conversion,FALSE
cit[c],cit,MNXM1107752,MNXM1107752[c],c,TRUE,MetanetX conversion,FALSE
oa[c],oa,oa,oa[c],c,FALSE,Unchanged,FALSE
cit[m],cit,MNXM1107752,MNXM1107752[m],m,TRUE,MetanetX conversion,FALSE
icit[m],icit,MNXM89661,MNXM89661[m],m,TRUE,MetanetX conversion,FALSE
icit[c],icit,MNXM89661,MNXM89661[c],c,TRUE,MetanetX conversion,FALSE
akg[c],akg,MNXM1369648,MNXM1369648[c],c,TRUE,MetanetX conversion,FALSE
co2[c],co2,MNXM13,MNXM13[c],c,TRUE,MetanetX conversion,FALSE
nadp[m],nadp,MNXM5,MNXM5[m],m,TRUE,MetanetX conversion,FALSE
akg[m],akg,MNXM1369648,MNXM1369648[m],m,TRUE,MetanetX conversion,FALSE
nadph[m],nadph,MNXM738702,MNXM738702[m],m,TRUE,MetanetX conversion,FALSE
succoa[m],succoa,MNXM1104774,MNXM1104774[m],m,TRUE,MetanetX conversion,FALSE
succ[m],succ,MNXM25,MNXM25[m],m,TRUE,MetanetX conversion,FALSE
h[m],h,MNXM1,MNXM1[m],m,TRUE,MetanetX conversion,FALSE
pi[m],pi,MNXM9,MNXM9[m],m,TRUE,MetanetX conversion,FALSE
adp[m],adp,MNXM40333,MNXM40333[m],m,TRUE,MetanetX conversion,FALSE
q[m],q,MNXM9201,MNXM9201[m],m,TRUE,MetanetX conversion,FALSE
fum[m],fum,MNXM737340,MNXM737340[m],m,TRUE,MetanetX conversion,FALSE
qh2[m],qh2,MNXM9199,MNXM9199[m],m,TRUE,MetanetX conversion,FALSE
h2o[m],h2o,WATER,WATER[m],m,TRUE,Other conversion,FALSE
mal[m],mal,mal,mal[m],m,FALSE,Unchanged,FALSE
oa[m],oa,oa,oa[m],m,FALSE,Unchanged,FALSE
mal[c],mal,mal,mal[c],c,FALSE,Unchanged,FALSE
gtp[m],gtp,MNXM1103553,MNXM1103553[m],m,TRUE,MetanetX conversion,FALSE
gdp[m],gdp,MNXM1103285,MNXM1103285[m],m,TRUE,MetanetX conversion,FALSE
pep[m],pep,MNXM73,MNXM73[m],m,TRUE,MetanetX conversion,FALSE
d6pgl[c],d6pgl,d6pgl,d6pgl[c],c,FALSE,Unchanged,FALSE
d6pgc[c],d6pgc,d6pgc,d6pgc[c],c,FALSE,Unchanged,FALSE
h2o[e],h2o,WATER,WATER[e],e,TRUE,Other conversion,FALSE
d6pgl[e],d6pgl,d6pgl,d6pgl[e],e,FALSE,Unchanged,FALSE
h[e],h,MNXM1,MNXM1[e],e,TRUE,MetanetX conversion,FALSE
d6pgc[e],d6pgc,d6pgc,d6pgc[e],e,FALSE,Unchanged,FALSE
rl5p[c],rl5p,rl5p,rl5p[c],c,FALSE,Unchanged,FALSE
x5p[c],x5p,x5p,x5p[c],c,FALSE,Unchanged,FALSE
r5p[m],r5p,MNXM1364029,MNXM1364029[m],m,TRUE,MetanetX conversion,FALSE
x5p[m],x5p,x5p,x5p[m],m,FALSE,Unchanged,FALSE
t3p1[m],t3p1,t3p1,t3p1[m],m,FALSE,Unchanged,FALSE
s7p[m],s7p,MNXM733314,MNXM733314[m],m,TRUE,MetanetX conversion,FALSE
r5p[c],r5p,MNXM1364029,MNXM1364029[c],c,TRUE,MetanetX conversion,FALSE
s7p[c],s7p,MNXM733314,MNXM733314[c],c,TRUE,MetanetX conversion,FALSE
e4p[m],e4p,MNXM258,MNXM258[m],m,TRUE,MetanetX conversion,FALSE
f6p[m],f6p,MNXM1107898,MNXM1107898[m],m,TRUE,MetanetX conversion,FALSE
e4p[c],e4p,MNXM258,MNXM258[c],c,TRUE,MetanetX conversion,FALSE
doris[c],doris,doris,doris[c],c,FALSE,Unchanged,FALSE
2dr5p[c],2dr5p,MNXM732594,MNXM732594[c],c,TRUE,MetanetX conversion,FALSE
r1p[c],r1p,MNXM1103205,MNXM1103205[c],c,TRUE,MetanetX conversion,FALSE
prpp[m],prpp,MNXM1104453,MNXM1104453[m],m,TRUE,MetanetX conversion,FALSE
prpp[c],prpp,MNXM1104453,MNXM1104453[c],c,TRUE,MetanetX conversion,FALSE
2dr1p[c],2dr1p,MNXM1108138,MNXM1108138[c],c,TRUE,MetanetX conversion,FALSE
glcnt[c],glcnt,glcnt,glcnt[c],c,FALSE,Unchanged,FALSE
udpg[c],udpg,MNXM1364158,MNXM1364158[c],c,TRUE,MetanetX conversion,FALSE
udpge[c],udpge,udpge,udpge[c],c,FALSE,Unchanged,FALSE
utp[c],utp,MNXM1101474,MNXM1101474[c],c,TRUE,MetanetX conversion,FALSE
xul[c],xul,xul,xul[c],c,FALSE,Unchanged,FALSE
man6p[c],man6p,MNXM1103551,MNXM1103551[c],c,TRUE,MetanetX conversion,FALSE
man1p[c],man1p,MNXM1106057,MNXM1106057[c],c,TRUE,MetanetX conversion,FALSE
gtp[c],gtp,MNXM1103553,MNXM1103553[c],c,TRUE,MetanetX conversion,FALSE
gdpman[c],gdpman,MNXM1093018,MNXM1093018[c],c,TRUE,MetanetX conversion,FALSE
gdman[c],gdman,MNXM738880,MNXM738880[c],c,TRUE,MetanetX conversion,FALSE
glfuc[c],glfuc,glfuc,glfuc[c],c,FALSE,Unchanged,FALSE
f1p[c],f1p,MNXM1104787,MNXM1104787[c],c,TRUE,MetanetX conversion,FALSE
glyal[c],glyal,glyal,glyal[c],c,FALSE,Unchanged,FALSE
fu1p[m],fu1p,fu1p,fu1p[m],m,FALSE,Unchanged,FALSE
glfuc[m],glfuc,glfuc,glfuc[m],m,FALSE,Unchanged,FALSE
fuc[c],fuc,MNXM1101253,MNXM1101253[c],c,TRUE,MetanetX conversion,FALSE
fu1p[c],fu1p,fu1p,fu1p[c],c,FALSE,Unchanged,FALSE
dfru[c],dfru,dfru,dfru[c],c,FALSE,Unchanged,FALSE
man[c],man,MNXM1364255,MNXM1364255[c],c,TRUE,MetanetX conversion,FALSE
f26p[m],f26p,f26p,f26p[m],m,FALSE,Unchanged,FALSE
f26p[c],f26p,f26p,f26p[c],c,FALSE,Unchanged,FALSE
gdp[c],gdp,MNXM1103285,MNXM1103285[c],c,TRUE,MetanetX conversion,FALSE
14bman[c],14bman,14bman,14bman[c],c,FALSE,Unchanged,FALSE
rhmose[c],rhmose,rhmose,rhmose[c],c,FALSE,Unchanged,FALSE
rhmuose[c],rhmuose,rhmuose,rhmuose[c],c,FALSE,Unchanged,FALSE
rhmuose1p[c],rhmuose1p,rhmuose1p,rhmuose1p[c],c,FALSE,Unchanged,FALSE
ladhde[c],ladhde,ladhde,ladhde[c],c,FALSE,Unchanged,FALSE
gal[c],gal,MNXM1364662,MNXM1364662[c],c,TRUE,MetanetX conversion,FALSE
gal1p[c],gal1p,MNXM1364358,MNXM1364358[c],c,TRUE,MetanetX conversion,FALSE
udpgal[c],udpgal,MNXM1104754,MNXM1104754[c],c,TRUE,MetanetX conversion,FALSE
lact[c],lact,lact,lact[c],c,FALSE,Unchanged,FALSE
epm[e],epm,MNXM1364766,MNXM1364766[e],e,TRUE,MetanetX conversion,FALSE
