orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed
cpd15686[c],cpd15686,MNXM8381,MNXM8381[c],c,TRUE,MetanetX conversion,FALSE
cpd15526[c],cpd15526,MNXM737491,MNXM737491[c],c,TRUE,MetanetX conversion,FALSE
cpd03113[c],cpd03113,MNXM1364418,MNXM1364418[c],c,TRUE,MetanetX conversion,FALSE
cpd00016[c],cpd00016,MNXM161,MNXM161[c],c,TRUE,MetanetX conversion,FALSE
cpd00939[c],cpd00939,MNXM1104899,MNXM1104899[c],c,TRUE,MetanetX conversion,FALSE
cpd00305[e],cpd00305,MNXM730135,MNXM730135[e],e,TRUE,MetanetX conversion,FALSE
cpd00305[c],cpd00305,MNXM730135,MNXM730135[c],c,TRUE,MetanetX conversion,FALSE
cpd02234[c],cpd02234,MNXM1364288,MNXM1364288[c],c,TRUE,MetanetX conversion,FALSE
cpd11478[c],cpd11478,MNXM728726,MNXM728726[c],c,TRUE,MetanetX conversion,FALSE
cpd03449[c],cpd03449,MNXM1364066,MNXM1364066[c],c,TRUE,MetanetX conversion,FALSE
cpd02979[c],cpd02979,MNXM1397,MNXM1397[c],c,TRUE,MetanetX conversion,FALSE
cpd02820[c],cpd02820,MNXM731472,MNXM731472[c],c,TRUE,MetanetX conversion,FALSE
cpd00066[c],cpd00066,MNXM741664,MNXM741664[c],c,TRUE,MetanetX conversion,FALSE
cpd15548[c],cpd15548,MNXM5269,MNXM5269[c],c,TRUE,MetanetX conversion,FALSE
cpd08316[c],cpd08316,MNXM731697,MNXM731697[c],c,TRUE,MetanetX conversion,FALSE
cpd15699[c],cpd15699,MNXM7295,MNXM7295[c],c,TRUE,MetanetX conversion,FALSE
cpd00094[c],cpd00094,MNXM159,MNXM159[c],c,TRUE,MetanetX conversion,FALSE
cpd00298[c],cpd00298,MNXM257,MNXM257[c],c,TRUE,MetanetX conversion,FALSE
cpd11586[c],cpd11586,MNXM8263,MNXM8263[c],c,TRUE,MetanetX conversion,FALSE
cpd11566[c],cpd11566,MNXM9701,MNXM9701[c],c,TRUE,MetanetX conversion,FALSE
cpd00143[c],cpd00143,MNXM730221,MNXM730221[c],c,TRUE,MetanetX conversion,FALSE
cpd11560[c],cpd11560,MNXM8005,MNXM8005[c],c,TRUE,MetanetX conversion,FALSE
cpd08625[c],cpd08625,MNXM1137,MNXM1137[c],c,TRUE,MetanetX conversion,FALSE
cpd02968[c],cpd02968,MNXM732168,MNXM732168[c],c,TRUE,MetanetX conversion,FALSE
cpd15313[c],cpd15313,MNXM147670,MNXM147670[c],c,TRUE,MetanetX conversion,FALSE
cpd11552[c],cpd11552,MNXM8196,MNXM8196[c],c,TRUE,MetanetX conversion,FALSE
