orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed
cpd00868[c],cpd00868,MNXM153,MNXM153[c],c,TRUE,MetanetX conversion,FALSE
cpd00007[c],cpd00007,MNXM735438,MNXM735438[c],c,TRUE,MetanetX conversion,FALSE
cpd00489[c],cpd00489,MNXM735208,MNXM735208[c],c,TRUE,MetanetX conversion,FALSE
cpd00011[c],cpd00011,MNXM13,MNXM13[c],c,TRUE,MetanetX conversion,FALSE
cpd00003[c],cpd00003,MNXM8,MNXM8[c],c,TRUE,MetanetX conversion,FALSE
cpd00001[c],cpd00001,WATER,WATER[c],c,TRUE,Other conversion,FALSE
cpd00133[c],cpd00133,MNXM216,MNXM216[c],c,TRUE,MetanetX conversion,FALSE
cpd00251[c],cpd00251,MNXM1104545,MNXM1104545[c],c,TRUE,MetanetX conversion,FALSE
cpd00018[c],cpd00018,MNXM728294,MNXM728294[c],c,TRUE,MetanetX conversion,FALSE
cpd00355[c],cpd00355,MNXM355,MNXM355[c],c,TRUE,MetanetX conversion,FALSE
cpd00014[c],cpd00014,MNXM1102128,MNXM1102128[c],c,TRUE,MetanetX conversion,FALSE
cpd00091[c],cpd00091,MNXM1104823,MNXM1104823[c],c,TRUE,MetanetX conversion,FALSE
cpd00009[c],cpd00009,MNXM9,MNXM9[c],c,TRUE,MetanetX conversion,FALSE
cpd00062[c],cpd00062,MNXM1101474,MNXM1101474[c],c,TRUE,MetanetX conversion,FALSE
cpd00089[c],cpd00089,MNXM1364359,MNXM1364359[c],c,TRUE,MetanetX conversion,FALSE
cpd00012[c],cpd00012,MNXM11,MNXM11[c],c,TRUE,MetanetX conversion,FALSE
cpd00026[c],cpd00026,MNXM1364158,MNXM1364158[c],c,TRUE,MetanetX conversion,FALSE
cpd00002[c],cpd00002,MNXM3,MNXM3[c],c,TRUE,MetanetX conversion,FALSE
cpd00029[c],cpd00029,MNXM26,MNXM26[c],c,TRUE,MetanetX conversion,FALSE
cpd00008[c],cpd00008,MNXM40333,MNXM40333[c],c,TRUE,MetanetX conversion,FALSE
cpd00196[c],cpd00196,MNXM280,MNXM280[c],c,TRUE,MetanetX conversion,FALSE
cpd00033[c],cpd00033,MNXM29,MNXM29[c],c,TRUE,MetanetX conversion,FALSE
cpd11609[c],cpd11609,MNXM35,MNXM35[c],c,TRUE,MetanetX conversion,FALSE
cpd00150[c],cpd00150,MNXM727657,MNXM727657[c],c,TRUE,MetanetX conversion,FALSE
cpd11610[c],cpd11610,MNXM1102421,MNXM1102421[c],c,TRUE,MetanetX conversion,FALSE
cpd00067[c],cpd00067,MNXM1,MNXM1[c],c,TRUE,MetanetX conversion,FALSE
cpd00830[c],cpd00830,MNXM894,MNXM894[c],c,TRUE,MetanetX conversion,FALSE
cpd00020[c],cpd00020,MNXM23,MNXM23[c],c,TRUE,MetanetX conversion,FALSE
cpd00040[c],cpd00040,MNXM69,MNXM69[c],c,TRUE,MetanetX conversion,FALSE
cpd00044[c],cpd00044,MNXM1104555,MNXM1104555[c],c,TRUE,MetanetX conversion,FALSE
cpd00048[c],cpd00048,MNXM58,MNXM58[c],c,TRUE,MetanetX conversion,FALSE
cpd00045[c],cpd00045,MNXM1103458,MNXM1103458[c],c,TRUE,MetanetX conversion,FALSE
cpd00052[c],cpd00052,MNXM1103718,MNXM1103718[c],c,TRUE,MetanetX conversion,FALSE
cpd00046[c],cpd00046,MNXM1103302,MNXM1103302[c],c,TRUE,MetanetX conversion,FALSE
cpd00054[c],cpd00054,MNXM737787,MNXM737787[c],c,TRUE,MetanetX conversion,FALSE
cpd00145[c],cpd00145,MNXM392,MNXM392[c],c,TRUE,MetanetX conversion,FALSE
cpd00013[c],cpd00013,MNXM729302,MNXM729302[c],c,TRUE,MetanetX conversion,FALSE
cpd00004[c],cpd00004,MNXM10,MNXM10[c],c,TRUE,MetanetX conversion,FALSE
cpd00550[c],cpd00550,MNXM694,MNXM694[c],c,TRUE,MetanetX conversion,FALSE
cpd00064[c],cpd00064,MNXM741175,MNXM741175[c],c,TRUE,MetanetX conversion,FALSE
cpd00118[c],cpd00118,MNXM118,MNXM118[c],c,TRUE,MetanetX conversion,FALSE
cpd00129[c],cpd00129,MNXM114,MNXM114[c],c,TRUE,MetanetX conversion,FALSE
cpd00066[c],cpd00066,MNXM741664,MNXM741664[c],c,TRUE,MetanetX conversion,FALSE
cpd00333[c],cpd00333,MNXM1372874,MNXM1372874[c],c,TRUE,MetanetX conversion,FALSE
cpd00095[c],cpd00095,MNXM77,MNXM77[c],c,TRUE,MetanetX conversion,FALSE
cpd00025[c],cpd00025,MNXM732620,MNXM732620[c],c,TRUE,MetanetX conversion,FALSE
cpd00080[c],cpd00080,MNXM66,MNXM66[c],c,TRUE,MetanetX conversion,FALSE
cpd00084[c],cpd00084,MNXM738068,MNXM738068[c],c,TRUE,MetanetX conversion,FALSE
cpd00467[c],cpd00467,MNXM1364692,MNXM1364692[c],c,TRUE,MetanetX conversion,FALSE
cpd00081[c],cpd00081,MNXM726339,MNXM726339[c],c,TRUE,MetanetX conversion,FALSE
cpd00239[c],cpd00239,MNXM1366923,MNXM1366923[c],c,TRUE,MetanetX conversion,FALSE
cpd00395[c],cpd00395,MNXM713,MNXM713[c],c,TRUE,MetanetX conversion,FALSE
cpd00022[c],cpd00022,MNXM1104266,MNXM1104266[c],c,TRUE,MetanetX conversion,FALSE
