orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed
cpd00006[c0],cpd00006,MNXM5,MNXM5[c],c,TRUE,MetanetX conversion,FALSE
cpd00023[c0],cpd00023,MNXM741173,MNXM741173[c],c,TRUE,MetanetX conversion,FALSE
cpd00005[c0],cpd00005,MNXM738702,MNXM738702[c],c,TRUE,MetanetX conversion,FALSE
cpd00024[c0],cpd00024,MNXM1369648,MNXM1369648[c],c,TRUE,MetanetX conversion,FALSE
cpd00053[c0],cpd00053,MNXM37,MNXM37[c],c,TRUE,MetanetX conversion,FALSE
cpd00067[c0],cpd00067,MNXM1,MNXM1[c],c,TRUE,MetanetX conversion,FALSE
cpd00242[c0],cpd00242,MNXM1094693,MNXM1094693[c],c,TRUE,MetanetX conversion,FALSE
cpd00001[c0],cpd00001,WATER,WATER[c],c,TRUE,Other conversion,FALSE
cpd00011[c0],cpd00011,MNXM13,MNXM13[c],c,TRUE,MetanetX conversion,FALSE
cpd00002[c0],cpd00002,MNXM3,MNXM3[c],c,TRUE,MetanetX conversion,FALSE
cpd00020[c0],cpd00020,MNXM23,MNXM23[c],c,TRUE,MetanetX conversion,FALSE
cpd00009[c0],cpd00009,MNXM9,MNXM9[c],c,TRUE,MetanetX conversion,FALSE
cpd00018[c0],cpd00018,MNXM728294,MNXM728294[c],c,TRUE,MetanetX conversion,FALSE
cpd00061[c0],cpd00061,MNXM73,MNXM73[c],c,TRUE,MetanetX conversion,FALSE
cpd00008[c0],cpd00008,MNXM40333,MNXM40333[c],c,TRUE,MetanetX conversion,FALSE
cpd00130[c0],cpd00130,MNXM1107192,MNXM1107192[c],c,TRUE,MetanetX conversion,FALSE
cpd00010[c0],cpd00010,MNXM727276,MNXM727276[c],c,TRUE,MetanetX conversion,FALSE
cpd00029[c0],cpd00029,MNXM26,MNXM26[c],c,TRUE,MetanetX conversion,FALSE
cpd00012[c0],cpd00012,MNXM11,MNXM11[c],c,TRUE,MetanetX conversion,FALSE
cpd00022[c0],cpd00022,MNXM1104266,MNXM1104266[c],c,TRUE,MetanetX conversion,FALSE
cpd02097[c0],cpd02097,MNXM1280,MNXM1280[c],c,TRUE,MetanetX conversion,FALSE
