orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed
cpd02083[c0],cpd02083,MNXM735625,cpd02083[c],c,TRUE,MetanetX conversion,FALSE
cpd06476[c0],cpd06476,MNXM8854,MNXM8854[c],c,TRUE,MetanetX conversion,FALSE
cpd00093[c0],cpd00093,MNXM188,cpd00093[c],c,TRUE,MetanetX conversion,FALSE
cpd12606[c0],cpd12606,MNXM1368884,cpd12606[c],c,TRUE,MetanetX conversion,FALSE
cpd00222[c0],cpd00222,MNXM341,cpd00222[c],c,TRUE,MetanetX conversion,FALSE
cpd03920[c0],cpd03920,MNXM1101279,MNXM1101279[c],c,TRUE,MetanetX conversion,FALSE
cpd11541[c0],cpd11541,MNXM9707,MNXM9707[c],c,TRUE,MetanetX conversion,FALSE
cpd02708[c0],cpd02708,MNXM3397,MNXM3397[c],c,TRUE,MetanetX conversion,FALSE
cpd16438[c0],cpd16438,MNXM6123,MNXM6123[c],c,TRUE,MetanetX conversion,FALSE
cpd03919[c0],cpd03919,MNXM1104880,cpd03919[c],c,TRUE,MetanetX conversion,FALSE
cpd00802[c0],cpd00802,MNXM1104787,cpd00802[c],c,TRUE,MetanetX conversion,FALSE
cpd00012[c0],cpd00012,MNXM11,cpd00012[c],c,TRUE,MetanetX conversion,FALSE
cpd01979[c0],cpd01979,MNXM3186,MNXM3186[c],c,TRUE,MetanetX conversion,FALSE
cpd14899[c0],cpd14899,MNXM1364034,MNXM1364034[c],c,TRUE,MetanetX conversion,FALSE
cpd00107[c0],cpd00107,MNXM1106761,cpd00107[c],c,TRUE,MetanetX conversion,FALSE
cpd12878[c0],cpd12878,MNXM1372112,MNXM1372112[c],c,TRUE,MetanetX conversion,FALSE
cpd15239[c0],cpd15239,MNXM162372,MNXM162372[c],c,TRUE,MetanetX conversion,FALSE
cpd15514[c0],cpd15514,MNXM88338,MNXM88338[c],c,TRUE,MetanetX conversion,FALSE
cpd00210[c0],cpd00210,MNXM282,cpd00210[c],c,TRUE,MetanetX conversion,FALSE
cpd01211[c0],cpd01211,MNXM1363724,cpd01211[c],c,TRUE,MetanetX conversion,FALSE
cpd15323[c0],cpd15323,MNXM147676,cpd15323[c],c,TRUE,MetanetX conversion,FALSE
cpd00126[c0],cpd00126,MNXM1101285,cpd00126[c],c,TRUE,MetanetX conversion,FALSE
cpd00401[c0],cpd00401,MNXM1364069,MNXM1364069[c],c,TRUE,MetanetX conversion,FALSE
cpd02021[c0],cpd02021,MNXM726805,MNXM726805[c],c,TRUE,MetanetX conversion,FALSE
cpd03198[c0],cpd03198,MNXM1103965,MNXM1103965[c],c,TRUE,MetanetX conversion,FALSE
cpd15354[c0],cpd15354,MNXM5464,MNXM5464[c],c,TRUE,MetanetX conversion,FALSE
cpd11679[c0],cpd11679,MNXM728686,MNXM728686[c],c,TRUE,MetanetX conversion,FALSE
cpd02197[c0],cpd02197,MNXM1091982,cpd02197[c],c,TRUE,MetanetX conversion,FALSE
cpd08920[c0],cpd08920,MNXM1368716,MNXM1368716[c],c,TRUE,MetanetX conversion,FALSE
cpd01306[c0],cpd01306,MNXM1364573,MNXM1364573[c],c,TRUE,MetanetX conversion,FALSE
cpd00241[c0],cpd00241,MNXM344,MNXM344[c],c,TRUE,MetanetX conversion,FALSE
cpd01693[c0],cpd01693,MNXM725918,MNXM725918[c],c,TRUE,MetanetX conversion,FALSE
cpd15468[c0],cpd15468,MNXM741695,MNXM741695[c],c,TRUE,MetanetX conversion,FALSE
cpd03129[c0],cpd03129,MNXM1104631,MNXM1104631[c],c,TRUE,MetanetX conversion,FALSE
cpd00379[c0],cpd00379,MNXM1021,MNXM1021[c],c,TRUE,MetanetX conversion,FALSE
cpd00654[c0],cpd00654,MNXM704,MNXM704[c],c,TRUE,MetanetX conversion,FALSE
