orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed,database_sources
GLC__45__1__45__P[c],GLC-1-P,MNXM734389,MNXM734389[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, kegg, chebi"
ALPHA__45__GLC__45__6__45__P[c],ALPHA-GLC-6-P,MNXM729990,MNXM729990[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, kegg, chebi"
CPD0__45__1812[c],CPD0-1812,MNXM12267,MNXM12267[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, chebi"
CPD__45__15977[c],CPD-15977,MNXM741599,MNXM741599[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, chebi"
CO__45__A[c],CO-A,MNXM727276,MNXM727276[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, kegg, chebi"
WATER[c],WATER,WATER,WATER[c],c,FALSE,Unchanged,FALSE,"metanetx, bigg, kegg, chebi"
MELIBIOSE[c],MELIBIOSE,MNXM1103964,MNXM1103964[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
GALACTOSE[c],GALACTOSE,MNXM112,MNXM112[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
ALPHA__45__GLUCOSE[c],ALPHA-GLUCOSE,MNXM735618,MNXM735618[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, kegg, chebi"
OLEOYL__45__COA[c],OLEOYL-COA,MNXM728570,MNXM728570[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, kegg, chebi"
CTP[c],CTP,MNXM63,MNXM63[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
L__45__1__45__LYSOPHOSPHATIDATE[c],L-1-LYSOPHOSPHATIDATE,MNXM734215,MNXM734215[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, chebi"
CDP[c],CDP,MNXM220,MNXM220[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
PROTON[c],PROTON,MNXM1,MNXM1[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
WATER[e],WATER,WATER,WATER[e],e,FALSE,Unchanged,FALSE,"metanetx, bigg, kegg, chebi"
MELIBIOSE[e],MELIBIOSE,MNXM1103964,MNXM1103964[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
GALACTOSE[e],GALACTOSE,MNXM112,MNXM112[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
ALPHA__45__GLUCOSE[e],ALPHA-GLUCOSE,MNXM735618,MNXM735618[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, kegg, chebi"
GLYCERALD[c],GLYCERALD,MNXM435,MNXM435[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
NADP[c],NADP,MNXM5,MNXM5[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
GLYCERATE[c],GLYCERATE,MNXM1136254,MNXM1136254[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
NADPH[c],NADPH,MNXM738702,MNXM738702[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
OXYGEN__45__MOLECULE[c],OXYGEN-MOLECULE,MNXM735438,MNXM735438[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, kegg, chebi"
HYDROGEN__45__PEROXIDE[c],HYDROGEN-PEROXIDE,MNXM732620,MNXM732620[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, kegg, chebi"
D__45__GALACTONATE[c],D-GALACTONATE,MNXM1734,MNXM1734[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, kegg, chebi"
CPD__45__12575[c],CPD-12575,MNXM739639,MNXM739639[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, kegg, chebi"
D__45__Glucosyl__45__12__45__diacyl__45__glycerols[c],D-Glucosyl-12-diacyl-glycerols,MNXM726130,MNXM726130[c],c,TRUE,MetanetX conversion,TRUE,metanetx
diacyl__45__3__45__O__45__glucl__45__1__45__6__45__gluc__45__sn__45__glycerol[c],diacyl-3-O-glucl-1-6-gluc-sn-glycerol,MNXM732842,MNXM732842[c],c,TRUE,MetanetX conversion,TRUE,metanetx
CPD__45__1070[c],CPD-1070,MNXM2190,MNXM2190[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, kegg, chebi"
CPD__45__277[c],CPD-277,MNXM730293,MNXM730293[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, kegg, chebi"
MAL[c],MAL,MNXM98,MNXM98[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
PYRUVATE[c],PYRUVATE,MNXM23,MNXM23[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
CARBON__45__DIOXIDE[c],CARBON-DIOXIDE,MNXM13,MNXM13[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, kegg, chebi"
ACETYL__45__COA[c],ACETYL-COA,MNXM732448,MNXM732448[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, kegg, chebi"
GLUCOSAMINE__45__1P[c],GLUCOSAMINE-1P,MNXM969,MNXM969[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, kegg, chebi"
N__45__ACETYL__45__D__45__GLUCOSAMINE__45__1__45__P[c],N-ACETYL-D-GLUCOSAMINE-1-P,MNXM340,MNXM340[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, kegg, chebi"
DIACYLGLYCEROL[c],DIACYLGLYCEROL,MNXM738562,MNXM738562[c],c,TRUE,MetanetX conversion,FALSE,metanetx
Phospholipids[c],Phospholipids,MNXM93813,MNXM93813[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, kegg"
Triacylglycerols[c],Triacylglycerols,MNXM732990,MNXM732990[c],c,TRUE,MetanetX conversion,FALSE,metanetx
GLYCEROL[c],GLYCEROL,MNXM89612,MNXM89612[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
HYDROXYPROPANAL[c],HYDROXYPROPANAL,MNXM1526,MNXM1526[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, kegg, chebi"
ADENOSINE[c],ADENOSINE,MNXM212,MNXM212[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
ATP[c],ATP,MNXM3,MNXM3[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
Odd__45__Saturated__45__Fatty__45__Acyl__45__CoA[c],Odd-Saturated-Fatty-Acyl-CoA,MNXM726998,MNXM726998[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, chebi"
