orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed,database_sources
10fthf[c],10fthf,MNXM237,MNXM237[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
12dgr120[c],12dgr120,MNXM4939,MNXM4939[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
12dgr140[c],12dgr140,MNXM2902,MNXM2902[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
12dgr141[c],12dgr141,MNXM4940,MNXM4940[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
12dgr160[c],12dgr160,MNXM3132,MNXM3132[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
12dgr160[e],12dgr160,MNXM3132,MNXM3132[e],e,TRUE,MetanetX conversion,FALSE,metanetx
12dgr161[c],12dgr161,MNXM3774,MNXM3774[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
12dgr180[c],12dgr180,MNXM4217,MNXM4217[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
12dgr180[e],12dgr180,MNXM4217,MNXM4217[e],e,TRUE,MetanetX conversion,FALSE,metanetx
12dgr181[c],12dgr181,MNXM3775,MNXM3775[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
13dampp[c],13dampp,MNXM350,MNXM350[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
13dampp[e],13dampp,MNXM350,MNXM350[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
13dampp[p],13dampp,MNXM350,MNXM350[p],p,TRUE,MetanetX conversion,FALSE,metanetx
13dpg[c],13dpg,MNXM733153,MNXM733153[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
15dap[c],15dap,MNXM943,MNXM943[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
15dap[e],15dap,MNXM943,MNXM943[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
15dap[p],15dap,MNXM943,MNXM943[p],p,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
1ag160[e],1ag160,1ag160,1ag160[e],e,FALSE,Unchanged,FALSE,None
1ag180[e],1ag180,1ag180,1ag180[e],e,FALSE,Unchanged,FALSE,None
1ag181d9[e],1ag181d9,1ag181d9,1ag181d9[e],e,FALSE,Unchanged,FALSE,None
1ag182d9d12[e],1ag182d9d12,1ag182d9d12,1ag182d9d12[e],e,FALSE,Unchanged,FALSE,None
1agpe160[p],1agpe160,MNXM32511,MNXM32511[p],p,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed"
1agpe161[p],1agpe161,MNXM6601,MNXM6601[p],p,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
1agpe180[p],1agpe180,MNXM722840,MNXM722840[p],p,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
1agpe181[p],1agpe181,MNXM9584,MNXM9584[p],p,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
1agpg160[p],1agpg160,MNXM6605,MNXM6605[p],p,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed"
1agpg161[p],1agpg161,MNXM6606,MNXM6606[p],p,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
1agpg180[p],1agpg180,MNXM739301,MNXM739301[p],p,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed"
1agpg181[p],1agpg181,MNXM739929,MNXM739929[p],p,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed"
1ddecg3p[c],1ddecg3p,MNXM4232,MNXM4232[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed"
1hdec9eg3p[c],1hdec9eg3p,MNXM91047,MNXM91047[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed"
1hdecg3p[c],1hdecg3p,MNXM90586,MNXM90586[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed"
1odec11eg3p[c],1odec11eg3p,MNXM91049,MNXM91049[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed"
1odecg3p[c],1odecg3p,MNXM734212,MNXM734212[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed"
1p2cbxl[c],1p2cbxl,MNXM957,MNXM957[c],c,TRUE,MetanetX conversion,FALSE,metanetx
1pipdn2c[c],1pipdn2c,MNXM911,MNXM911[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
1pqq[c],1pqq,1pqq,1pqq[c],c,FALSE,Unchanged,FALSE,None
1py4h3c[c],1py4h3c,1py4h3c,1py4h3c[c],c,FALSE,Unchanged,FALSE,None
1pyr5c[c],1pyr5c,MNXM1617,MNXM1617[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
1tdec7eg3p[c],1tdec7eg3p,MNXM91053,MNXM91053[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed"
1tdecg3p[c],1tdecg3p,MNXM3426,MNXM3426[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed"
23dhacoa[c],23dhacoa,MNXM9750,MNXM9750[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
23dhdp[c],23dhdp,MNXM807,MNXM807[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
23dhmb[c],23dhmb,MNXM734,MNXM734[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
23dhmp[c],23dhmp,MNXM1202,MNXM1202[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
24dab[c],24dab,MNXM840,MNXM840[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
25aics[c],25aics,MNXM32478,MNXM32478[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
25dkglcn[c],25dkglcn,MNXM936,MNXM936[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
25dkglcn[e],25dkglcn,MNXM936,MNXM936[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, seed, kegg"
25dkglcn[p],25dkglcn,MNXM936,MNXM936[p],p,TRUE,MetanetX conversion,FALSE,"metanetx, seed, kegg"
25dop[c],25dop,MNXM770,MNXM770[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
25drapp[c],25drapp,MNXM648,MNXM648[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
26dap_LL[c],26dap_LL,MNXM644,MNXM644[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
26dap__M[c],26dap__M,MNXM529,MNXM529[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
26dap__M[e],26dap__M,MNXM529,MNXM529[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
26dap__M[p],26dap__M,MNXM529,MNXM529[p],p,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
2agpe160[c],2agpe160,MNXM34810,MNXM34810[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed"
2agpe160[p],2agpe160,MNXM34810,MNXM34810[p],p,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed"
2agpe161[c],2agpe161,MNXM3448,MNXM3448[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
2agpe161[p],2agpe161,MNXM3448,MNXM3448[p],p,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
2agpe180[c],2agpe180,MNXM34811,MNXM34811[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed"
2agpe180[p],2agpe180,MNXM34811,MNXM34811[p],p,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed"
2agpe181[c],2agpe181,MNXM3449,MNXM3449[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
2agpe181[p],2agpe181,MNXM3449,MNXM3449[p],p,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
2agpg160[c],2agpg160,MNXM34740,MNXM34740[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed"
2agpg160[p],2agpg160,MNXM34740,MNXM34740[p],p,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed"
2agpg161[c],2agpg161,MNXM3453,MNXM3453[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
2agpg161[p],2agpg161,MNXM3453,MNXM3453[p],p,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
2agpg180[c],2agpg180,MNXM729358,MNXM729358[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed"
2agpg180[p],2agpg180,MNXM729358,MNXM729358[p],p,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed"
2agpg181[c],2agpg181,MNXM3455,MNXM3455[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
2agpg181[p],2agpg181,MNXM3455,MNXM3455[p],p,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
2ahbut[c],2ahbut,MNXM726902,MNXM726902[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
2ahhmd[c],2ahhmd,MNXM727068,MNXM727068[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
2ahhmp[c],2ahhmp,MNXM728662,MNXM728662[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
2ameph[c],2ameph,MNXM1692,MNXM1692[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
2ameph[e],2ameph,MNXM1692,MNXM1692[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
2ameph[p],2ameph,MNXM1692,MNXM1692[p],p,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
2amsa[c],2amsa,MNXM2124,MNXM2124[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
2aobut[c],2aobut,MNXM114087,MNXM114087[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
2cpr5p[c],2cpr5p,MNXM1455,MNXM1455[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
2dda7p[c],2dda7p,MNXM1219,MNXM1219[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
2ddg6p[c],2ddg6p,MNXM649,MNXM649[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
2ddglcn[c],2ddglcn,MNXM1369404,MNXM1369404[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
2ddglcn[e],2ddglcn,MNXM1369404,MNXM1369404[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
2dhglcn[c],2dhglcn,MNXM582,MNXM582[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
2dhglcn[e],2dhglcn,MNXM582,MNXM582[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
2dhglcn[p],2dhglcn,MNXM582,MNXM582[p],p,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
2dhp[c],2dhp,MNXM959,MNXM959[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
2fe1s[c],2fe1s,MNXM147395,MNXM147395[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
2fe2s[c],2fe2s,MNXM729433,MNXM729433[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed"
2h3oppan[c],2h3oppan,MNXM475,MNXM475[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
2hadnt[c],2hadnt,2hadnt,2hadnt[c],c,FALSE,Unchanged,FALSE,None
2hchd[c],2hchd,MNXM1448,MNXM1448[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
2hmc[c],2hmc,MNXM738769,2hmc[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
2hmcnsad[c],2hmcnsad,MNXM726699,MNXM726699[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
2ippm[c],2ippm,MNXM1369559,MNXM1369559[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
2kmb[c],2kmb,MNXM276,MNXM276[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
2m35mdntha[c],2m35mdntha,2m35mdntha,2m35mdntha[c],c,FALSE,Unchanged,FALSE,None
2m35mdntha[e],2m35mdntha,2m35mdntha,2m35mdntha[e],e,FALSE,Unchanged,FALSE,None
2maacoa[c],2maacoa,MNXM737649,MNXM737649[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
2mahmp[c],2mahmp,MNXM1135,MNXM1135[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
2mb2coa[c],2mb2coa,MNXM738797,MNXM738797[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
2mbcoa[c],2mbcoa,MNXM569,MNXM569[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
2mcacn[c],2mcacn,MNXM1792,MNXM1792[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
2mcit[c],2mcit,MNXM741276,MNXM741276[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
2me4p[c],2me4p,MNXM730435,MNXM730435[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg"
