orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed
cpd00001__91__c0__93__,cpd00001,WATER,WATER[c],c,TRUE,Other conversion,TRUE
cpd00001__91__e0__93__,cpd00001,WATER,WATER[e],e,TRUE,Other conversion,TRUE
cpd00002__91__c0__93__,cpd00002,MNXM3,MNXM3[c],c,TRUE,MetanetX conversion,TRUE
cpd00003__91__c0__93__,cpd00003,MNXM8,MNXM8[c],c,TRUE,MetanetX conversion,TRUE
cpd00004__91__c0__93__,cpd00004,MNXM10,MNXM10[c],c,TRUE,MetanetX conversion,TRUE
cpd00005__91__c0__93__,cpd00005,MNXM738702,MNXM738702[c],c,TRUE,MetanetX conversion,TRUE
cpd00006__91__c0__93__,cpd00006,MNXM5,MNXM5[c],c,TRUE,MetanetX conversion,TRUE
cpd00007__91__c0__93__,cpd00007,MNXM735438,MNXM735438[c],c,TRUE,MetanetX conversion,TRUE
cpd00007__91__e0__93__,cpd00007,MNXM735438,MNXM735438[e],e,TRUE,MetanetX conversion,TRUE
cpd00008__91__c0__93__,cpd00008,MNXM40333,MNXM40333[c],c,TRUE,MetanetX conversion,TRUE
cpd00009__91__c0__93__,cpd00009,MNXM9,MNXM9[c],c,TRUE,MetanetX conversion,TRUE
cpd00010__91__c0__93__,cpd00010,MNXM727276,MNXM727276[c],c,TRUE,MetanetX conversion,TRUE
cpd00011__91__c0__93__,cpd00011,MNXM13,MNXM13[c],c,TRUE,MetanetX conversion,TRUE
cpd00011__91__e0__93__,cpd00011,MNXM13,MNXM13[e],e,TRUE,MetanetX conversion,TRUE
cpd00012__91__c0__93__,cpd00012,MNXM11,MNXM11[c],c,TRUE,MetanetX conversion,TRUE
cpd00013__91__c0__93__,cpd00013,MNXM729302,MNXM729302[c],c,TRUE,MetanetX conversion,TRUE
cpd00014__91__c0__93__,cpd00014,MNXM1102128,MNXM1102128[c],c,TRUE,MetanetX conversion,TRUE
cpd00015__91__c0__93__,cpd00015,MNXM1364297,MNXM1364297[c],c,TRUE,MetanetX conversion,TRUE
cpd00016__91__c0__93__,cpd00016,MNXM161,MNXM161[c],c,TRUE,MetanetX conversion,TRUE
cpd00017__91__c0__93__,cpd00017,MNXM1363866,MNXM1363866[c],c,TRUE,MetanetX conversion,TRUE
cpd00018__91__c0__93__,cpd00018,MNXM728294,MNXM728294[c],c,TRUE,MetanetX conversion,TRUE
cpd00019__91__c0__93__,cpd00019,MNXM1102167,MNXM1102167[c],c,TRUE,MetanetX conversion,TRUE
cpd00020__91__c0__93__,cpd00020,MNXM23,MNXM23[c],c,TRUE,MetanetX conversion,TRUE
cpd00022__91__c0__93__,cpd00022,MNXM1104266,MNXM1104266[c],c,TRUE,MetanetX conversion,TRUE
cpd00023__91__c0__93__,cpd00023,MNXM741173,MNXM741173[c],c,TRUE,MetanetX conversion,TRUE
cpd00024__91__c0__93__,cpd00024,MNXM1369648,MNXM1369648[c],c,TRUE,MetanetX conversion,TRUE
cpd00025__91__c0__93__,cpd00025,MNXM732620,MNXM732620[c],c,TRUE,MetanetX conversion,TRUE
cpd00026__91__c0__93__,cpd00026,MNXM1364158,MNXM1364158[c],c,TRUE,MetanetX conversion,TRUE
cpd00027__91__c0__93__,cpd00027,MNXM1364206,MNXM1364206[c],c,TRUE,MetanetX conversion,TRUE
cpd00028__91__c0__93__,cpd00028,MNXM1369759,MNXM1369759[c],c,TRUE,MetanetX conversion,TRUE
cpd00029__91__c0__93__,cpd00029,MNXM26,MNXM26[c],c,TRUE,MetanetX conversion,TRUE
cpd00030__91__c0__93__,cpd00030,MNXM2255,MNXM2255[c],c,TRUE,MetanetX conversion,TRUE
cpd00030__91__e0__93__,cpd00030,MNXM2255,MNXM2255[e],e,TRUE,MetanetX conversion,TRUE
cpd00031__91__c0__93__,cpd00031,MNXM1103285,MNXM1103285[c],c,TRUE,MetanetX conversion,TRUE
cpd00032__91__c0__93__,cpd00032,MNXM46,MNXM46[c],c,TRUE,MetanetX conversion,TRUE
cpd00033__91__c0__93__,cpd00033,MNXM29,MNXM29[c],c,TRUE,MetanetX conversion,TRUE
cpd00034__91__c0__93__,cpd00034,MNXM1372251,MNXM1372251[c],c,TRUE,MetanetX conversion,TRUE
cpd00034__91__e0__93__,cpd00034,MNXM1372251,MNXM1372251[e],e,TRUE,MetanetX conversion,TRUE
cpd00035__91__c0__93__,cpd00035,MNXM1105732,MNXM1105732[c],c,TRUE,MetanetX conversion,TRUE
cpd00035__91__e0__93__,cpd00035,MNXM1105732,MNXM1105732[e],e,TRUE,MetanetX conversion,TRUE
cpd00036__91__c0__93__,cpd00036,MNXM25,MNXM25[c],c,TRUE,MetanetX conversion,TRUE
cpd00037__91__c0__93__,cpd00037,MNXM1104529,MNXM1104529[c],c,TRUE,MetanetX conversion,TRUE
cpd00038__91__c0__93__,cpd00038,MNXM1103553,MNXM1103553[c],c,TRUE,MetanetX conversion,TRUE
cpd00039__91__c0__93__,cpd00039,MNXM1364416,MNXM1364416[c],c,TRUE,MetanetX conversion,TRUE
cpd00040__91__c0__93__,cpd00040,MNXM69,MNXM69[c],c,TRUE,MetanetX conversion,TRUE
cpd00041__91__c0__93__,cpd00041,MNXM1364673,MNXM1364673[c],c,TRUE,MetanetX conversion,TRUE
cpd00041__91__e0__93__,cpd00041,MNXM1364673,MNXM1364673[e],e,TRUE,MetanetX conversion,TRUE
cpd00042__91__c0__93__,cpd00042,MNXM490899,MNXM490899[c],c,TRUE,MetanetX conversion,TRUE
cpd00043__91__c0__93__,cpd00043,MNXM1104754,MNXM1104754[c],c,TRUE,MetanetX conversion,TRUE
cpd00046__91__c0__93__,cpd00046,MNXM1103302,MNXM1103302[c],c,TRUE,MetanetX conversion,TRUE
cpd00047__91__c0__93__,cpd00047,MNXM39,MNXM39[c],c,TRUE,MetanetX conversion,TRUE
cpd00048__91__c0__93__,cpd00048,MNXM58,MNXM58[c],c,TRUE,MetanetX conversion,TRUE
cpd00048__91__e0__93__,cpd00048,MNXM58,MNXM58[e],e,TRUE,MetanetX conversion,TRUE
cpd00050__91__c0__93__,cpd00050,MNXM1364295,MNXM1364295[c],c,TRUE,MetanetX conversion,TRUE
cpd00051__91__c0__93__,cpd00051,MNXM739527,MNXM739527[c],c,TRUE,MetanetX conversion,TRUE
cpd00052__91__c0__93__,cpd00052,MNXM1103718,MNXM1103718[c],c,TRUE,MetanetX conversion,TRUE
cpd00053__91__c0__93__,cpd00053,MNXM37,MNXM37[c],c,TRUE,MetanetX conversion,TRUE
cpd00053__91__e0__93__,cpd00053,MNXM37,MNXM37[e],e,TRUE,MetanetX conversion,TRUE
cpd00054__91__c0__93__,cpd00054,MNXM737787,MNXM737787[c],c,TRUE,MetanetX conversion,TRUE
cpd00054__91__e0__93__,cpd00054,MNXM737787,MNXM737787[e],e,TRUE,MetanetX conversion,TRUE
cpd00056__91__c0__93__,cpd00056,MNXM256,MNXM256[c],c,TRUE,MetanetX conversion,TRUE
cpd00058__91__c0__93__,cpd00058,MNXM731166,MNXM731166[c],c,TRUE,MetanetX conversion,TRUE
cpd00058__91__e0__93__,cpd00058,MNXM731166,MNXM731166[e],e,TRUE,MetanetX conversion,TRUE
cpd00060__91__c0__93__,cpd00060,MNXM738804,MNXM738804[c],c,TRUE,MetanetX conversion,TRUE
cpd00060__91__e0__93__,cpd00060,MNXM738804,MNXM738804[e],e,TRUE,MetanetX conversion,TRUE
cpd00061__91__c0__93__,cpd00061,MNXM73,MNXM73[c],c,TRUE,MetanetX conversion,TRUE
cpd00062__91__c0__93__,cpd00062,MNXM1101474,MNXM1101474[c],c,TRUE,MetanetX conversion,TRUE
cpd00063__91__c0__93__,cpd00063,MNXM128,MNXM128[c],c,TRUE,MetanetX conversion,TRUE
cpd00063__91__e0__93__,cpd00063,MNXM128,MNXM128[e],e,TRUE,MetanetX conversion,TRUE
cpd00064__91__c0__93__,cpd00064,MNXM741175,MNXM741175[c],c,TRUE,MetanetX conversion,TRUE
cpd00065__91__c0__93__,cpd00065,MNXM741553,MNXM741553[c],c,TRUE,MetanetX conversion,TRUE
cpd00065__91__e0__93__,cpd00065,MNXM741553,MNXM741553[e],e,TRUE,MetanetX conversion,TRUE
cpd00066__91__c0__93__,cpd00066,MNXM741664,MNXM741664[c],c,TRUE,MetanetX conversion,TRUE
cpd00066__91__e0__93__,cpd00066,MNXM741664,MNXM741664[e],e,TRUE,MetanetX conversion,TRUE
cpd00067__91__c0__93__,cpd00067,MNXM1,MNXM1[c],c,TRUE,MetanetX conversion,TRUE
cpd00067__91__e0__93__,cpd00067,MNXM1,MNXM1[e],e,TRUE,MetanetX conversion,TRUE
