orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed,database_sources
m0002__91__c0__93__,m0002,MNXM708,MNXM708[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0003__91__c0__93__,m0003,MNXM1094693,MNXM1094693[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0004__91__c0__93__,m0004,MNXM1115,MNXM1115[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0005__91__m0__93__,m0005,MNXM920,MNXM920[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0006__91__c0__93__,m0006,MNXM418,MNXM418[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0007__91__c0__93__,m0007,MNXM88,MNXM88[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0008__91__m0__93__,m0008,MNXM1094693,MNXM1094693[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0009__91__c0__93__,m0009,MNXM737048,MNXM737048[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0010__91__c0__93__,m0010,MNXM37,MNXM37[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0011__91__e0__93__,m0011,MNXM37,MNXM37[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0012__91__c0__93__,m0012,MNXM360,MNXM360[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0013__91__m0__93__,m0013,MNXM26,MNXM26[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0014__91__c0__93__,m0014,MNXM314,MNXM314[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0015__91__m0__93__,m0015,MNXM37,MNXM37[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0016__91__c0__93__,m0016,MNXM555,MNXM555[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0017__91__c0__93__,m0017,MNXM281,MNXM281[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0018__91__m0__93__,m0018,MNXM732255,MNXM732255[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0019__91__c0__93__,m0019,MNXM336,MNXM336[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0020__91__m0__93__,m0020,MNXM281,MNXM281[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0021__91__m0__93__,m0021,MNXM93,MNXM93[m],m,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0022__91__c0__93__,m0022,MNXM93,MNXM93[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0023__91__e0__93__,m0023,MNXM93,MNXM93[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0024__91__c0__93__,m0024,MNXM2484,MNXM2484[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0025__91__c0__93__,m0025,MNXM1137,MNXM1137[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0026__91__c0__93__,m0026,MNXM83,MNXM83[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0027__91__c0__93__,m0027,MNXM26,MNXM26[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0028__91__e0__93__,m0028,MNXM26,MNXM26[e],e,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0030__91__c0__93__,m0030,MNXM584,MNXM584[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0031__91__c0__93__,m0031,MNXM528,MNXM528[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0032__91__c0__93__,m0032,MNXM236,MNXM236[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0033__91__c0__93__,m0033,MNXM187,MNXM187[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
m0034__91__c0__93__,m0034,MNXM8,MNXM8[c],c,TRUE,MetanetX conversion,TRUE,"metanetx, bigg, seed, kegg"
