Additional File 3-1. Unique reactions involved in the in silico model of Rhodococcus jostii RHA1,,,,,,,,,,,
Name,ID,Definition,Equation,Directionality,Lower Bound,Upper Bound,EC No,ORF,Replaced Reaction,Reference,Note
pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating),R00014,Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2,C00022 + C00068 <=> C05125 + C00011,1,0,Inf,ec:1.2.4.1,"ro00542, ro01197, ro01576, ro01577, ro02566, ro03305, ro03320, ro03321, ro03379, ro03380, ro08623, ro08624, ro11030, ro11031",,"(Kanehisa, Goto et al. 2004)",
,,,,,,,ec:2.2.1.6,"ro01259, ro03980, ro04554, ro04562, ro05712, ro06486, ro06487",,,
ATP:pyruvate 2-O-phosphotransferase,R00200,"ATP + Pyruvate <=> ADP + Phosphoenolpyruvate
",C00002 + C00022 <=> C00008 + C00074,-1,0,Inf,ec:2.7.1.40,"ro01007, ro02565, ro03221, ro04800",,"(Kanehisa, Goto et al. 2004)",
Acetate:CoA ligase (AMP-forming),R00235,"ATP + Acetate + CoA <=> AMP + Diphosphate + Acetyl-CoA
",C00002 + C00033 + C00010 <=> C00020 + C00013 + C00024,1,0,Inf,ec:6.2.1.1,"ro01619, ro02673, ro04332, ro06598, ro08189, ro08877, ro10183, ro11190",,"(Kanehisa, Goto et al. 2004)",
GTP:oxaloacetate carboxy-lyase (adding GTP;phosphoenolpyruvate-forming); GTP:oxaloacetate carboxy-lyase (transphosphorylating),R00431,"GTP + Oxaloacetate <=> GDP + Phosphoenolpyruvate + CO2
",C00044 + C00036 <=> C00035 + C00074 + C00011,1,0,Inf,ec:4.1.1.32,ro05180,,"(Kanehisa, Goto et al. 2004)",
2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming),R00658,"2-Phospho-D-glycerate <=> Phosphoenolpyruvate + H2O
",C00631 <=> C00074 + C00001,1,-Inf,Inf,ec:4.2.1.11,ro05777,,"(Kanehisa, Goto et al. 2004)",
Acetaldehyde:NAD+ oxidoreductase,R00710,"Acetaldehyde + NAD+ + H2O <=> Acetate + NADH + H+
",C00084 + C00003 + C00001 <=> C00033 + C00004 + C00080,1,0,Inf,ec:1.2.1.3,"ro00340, ro00395, ro00646, ro02498, ro03066, ro03790, ro03974, ro04375, ro04663, ro05244, ro06081, ro06111, ro06275, ro06678, ro07077, ro08090, ro08151, ro08917, ro10302, ro11056",,"(Kanehisa, Goto et al. 2004)",
,,,,,,,ec:1.2.1.5,ro01724,,,
ITP:oxaloacetate carboxy-lyase (adding ITP; phosphoenolpyruvate-forming); ITP:oxaloacetate carboxy-lyase (transphosphorylating),R00726,"ITP + Oxaloacetate <=> IDP + Phosphoenolpyruvate + CO2
",C00081 + C00036 <=> C00104 + C00074 + C00011,1,0,Inf,ec:4.1.1.32,ro05180,,"(Kanehisa, Goto et al. 2004)",
ethanol:NAD+ oxidoreductase,R00754,"Ethanol + NAD+ <=> Acetaldehyde + NADH + H+
",C00469 + C00003 <=> C00084 + C00004 + C00080,-1,-Inf,Inf,ec:1.1.1.1,"ro00325, ro00447, ro00525, ro01205, ro02150, ro02497, ro02832, ro04547, ro04757, ro05321, ro06735, ro08443, ro08635, ro08965, ro11170",,"(Kanehisa, Goto et al. 2004)",
"alpha-D-Glucose 1-phosphate 1,6-phosphomutase",R00959,"D-Glucose 1-phosphate <=> alpha-D-Glucose 6-phosphate
",C00103 <=> C00668,-1,-Inf,Inf,ec:5.4.2.2,ro06413,,"(Kanehisa, Goto et al. 2004)",
D-glyceraldehyde-3-phosphate aldose-ketose-isomerase,R01015,"D-Glyceraldehyde 3-phosphate <=> Glycerone phosphate
",C00118 <=> C00111,-1,-Inf,Inf,ec:5.3.1.1,ro07179,,"(Kanehisa, Goto et al. 2004)",
