orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed,database_sources
10fthf[c],10fthf,MNXM237,MNXM237[c_c],c_c,TRUE,MetanetX conversion,FALSE,"metanetx, seed, kegg, chebi"
12dag3p_BS[c],12dag3p_BS,MNXM163072,MNXM163072[c_c],c_c,TRUE,MetanetX conversion,FALSE,metanetx
12dgr140[c],12dgr140,MNXM2902,MNXM2902[c_c],c_c,TRUE,MetanetX conversion,FALSE,metanetx
12dgr140[p],12dgr140,MNXM2902,MNXM2902[c_p],c_p,TRUE,MetanetX conversion,FALSE,metanetx
12dgr160[c],12dgr160,MNXM3132,MNXM3132[c_c],c_c,TRUE,MetanetX conversion,FALSE,metanetx
12dgr160[e],12dgr160,MNXM3132,MNXM3132[c_e],c_e,TRUE,MetanetX conversion,FALSE,metanetx
12dgr180[e],12dgr180,MNXM4217,MNXM4217[c_e],c_e,TRUE,MetanetX conversion,FALSE,metanetx
12dgr_BS[c],12dgr_BS,MNXM162881,MNXM162881[c_c],c_c,TRUE,MetanetX conversion,FALSE,metanetx
12ppd__R[c],12ppd__R,MNXM90191,MNXM90191[c_c],c_c,TRUE,MetanetX conversion,FALSE,"metanetx, seed, kegg, chebi"
12ppd__S[c],12ppd__S,MNXM1255,MNXM1255[c_c],c_c,TRUE,MetanetX conversion,FALSE,"metanetx, seed, kegg, chebi"
13dampp[c],13dampp,MNXM350,MNXM350[c_c],c_c,TRUE,MetanetX conversion,FALSE,metanetx
13dpg[c],13dpg,MNXM733153,MNXM733153[c_c],c_c,TRUE,MetanetX conversion,FALSE,"metanetx, seed, kegg, chebi"
13ppd[c],13ppd,MNXM2861,MNXM2861[c_c],c_c,TRUE,MetanetX conversion,FALSE,"metanetx, seed, kegg, chebi"
14dh2napcoa[c],14dh2napcoa,14dh2napcoa,14dh2napcoa[c_c],c_c,FALSE,Unchanged,FALSE,None
14dhncoa[c],14dhncoa,MNXM147663,MNXM147663[c_c],c_c,TRUE,MetanetX conversion,FALSE,metanetx
15dap[c],15dap,MNXM943,MNXM943[c_c],c_c,TRUE,MetanetX conversion,FALSE,"metanetx, seed, kegg, chebi"
1ag160[e],1ag160,1ag160,1ag160[c_e],c_e,FALSE,Unchanged,FALSE,None
1ag180[e],1ag180,1ag180,1ag180[c_e],c_e,FALSE,Unchanged,FALSE,None
1ag181d9[e],1ag181d9,1ag181d9,1ag181d9[c_e],c_e,FALSE,Unchanged,FALSE,None
1ag182d9d12[e],1ag182d9d12,1ag182d9d12,1ag182d9d12[c_e],c_e,FALSE,Unchanged,FALSE,None
1ag3p_BS[c],1ag3p_BS,MNXM6656,MNXM6656[c_c],c_c,TRUE,MetanetX conversion,FALSE,"metanetx, seed"
1agpg160[p],1agpg160,MNXM6605,MNXM6605[c_p],c_p,TRUE,MetanetX conversion,FALSE,"metanetx, seed, chebi"
1btol[c],1btol,MNXM3230,1btol[c_c],c_c,TRUE,MetanetX conversion,FALSE,"metanetx, seed, kegg, chebi"
1ddecg3p[c],1ddecg3p,MNXM4232,MNXM4232[c_c],c_c,TRUE,MetanetX conversion,FALSE,"metanetx, seed, chebi"
1hdec9eg3p[c],1hdec9eg3p,MNXM91047,MNXM91047[c_c],c_c,TRUE,MetanetX conversion,FALSE,"metanetx, seed"
1hdecg3p[c],1hdecg3p,MNXM90586,MNXM90586[c_c],c_c,TRUE,MetanetX conversion,FALSE,"metanetx, seed"
1odec11eg3p[c],1odec11eg3p,MNXM91049,MNXM91049[c_c],c_c,TRUE,MetanetX conversion,FALSE,"metanetx, seed"
1odecg3p[c],1odecg3p,MNXM734212,MNXM734212[c_c],c_c,TRUE,MetanetX conversion,FALSE,"metanetx, seed, chebi"
1odecg3p[p],1odecg3p,MNXM734212,MNXM734212[c_p],c_p,TRUE,MetanetX conversion,FALSE,"metanetx, seed, chebi"
1p2cbxl[c],1p2cbxl,MNXM957,MNXM957[c_c],c_c,TRUE,MetanetX conversion,FALSE,metanetx
1p3h5c[c],1p3h5c,MNXM114091,MNXM114091[c_c],c_c,TRUE,MetanetX conversion,FALSE,"metanetx, seed, kegg, chebi"
