orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed,database_sources
13BDglucan[en],13BDglucan,MNXM90673,MNXM90673[en],en,TRUE,MetanetX conversion,FALSE,"seed, kegg, chebi"
13BDglucan[c],13BDglucan,MNXM90673,MNXM90673[c],c,TRUE,MetanetX conversion,FALSE,"seed, kegg, chebi"
13BDglucan[e],13BDglucan,MNXM90673,MNXM90673[e],e,TRUE,MetanetX conversion,FALSE,"seed, kegg, chebi"
16BDglucan[en],16BDglucan,MNXM728246,MNXM728246[en],en,TRUE,MetanetX conversion,FALSE,"seed, kegg, chebi"
2ahhmd[m],2ahhmd,MNXM727068,MNXM727068[m],m,TRUE,MetanetX conversion,FALSE,"seed, kegg, chebi"
aconm[c],aconm,MNXM735059,MNXM735059[c],c,TRUE,MetanetX conversion,FALSE,"seed, kegg, chebi"
23dhmp[m],23dhmp,MNXM1202,MNXM1202[m],m,TRUE,MetanetX conversion,FALSE,"seed, kegg, chebi"
3c2hmp[c],3c2hmp,MNXM741109,MNXM741109[c],c,TRUE,MetanetX conversion,FALSE,"seed, kegg, chebi"
3c4mop[c],3c4mop,MNXM1602,MNXM1602[c],c,TRUE,MetanetX conversion,FALSE,"seed, kegg, chebi"
3c4mop[m],3c4mop,MNXM1602,MNXM1602[m],m,TRUE,MetanetX conversion,FALSE,"seed, kegg, chebi"
micit[m],micit,MNXM1104204,MNXM1104204[m],m,TRUE,MetanetX conversion,FALSE,"seed, kegg, chebi"
56hicte[c],56hicte,MNXM31306,MNXM31306[c],c,TRUE,MetanetX conversion,FALSE,chebi
56hicte[n],56hicte,MNXM31306,MNXM31306[n],n,TRUE,MetanetX conversion,FALSE,chebi
argsuc[c],argsuc,MNXM722743,MNXM722743[c],c,TRUE,MetanetX conversion,FALSE,"seed, kegg, chebi"
23dhmb[m],23dhmb,MNXM734,MNXM734[m],m,TRUE,MetanetX conversion,FALSE,"seed, kegg, chebi"
4ppan[c],4ppan,MNXM735771,MNXM735771[c],c,TRUE,MetanetX conversion,FALSE,"seed, kegg, chebi"
5dpmev[c],5dpmev,MNXM733934,MNXM733934[c],c,TRUE,MetanetX conversion,FALSE,"seed, kegg, chebi"
5pmev[c],5pmev,MNXM738283,MNXM738283[c],c,TRUE,MetanetX conversion,FALSE,"seed, kegg, chebi"
