orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed,database_sources
2dr5p[c],2dr5p,MNXM732593,MNXM732593[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2hb[c],2hb,MNXM1103786,MNXM1103786[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2hb[e],2hb,MNXM1103786,MNXM1103786[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2hhxdal[c],2hhxdal,MNXM35167,MNXM35167[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, chebi"
2hp6mbq[m],2hp6mbq,MNXM147698,MNXM147698[m],m,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
2hp6mp[m],2hp6mp,MNXM1370408,MNXM1370408[m],m,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2hpmhmbq[m],2hpmhmbq,MNXM147696,MNXM147696[m],m,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
2hpmmbq[m],2hpmmbq,MNXM147697,MNXM147697[m],m,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
2ippm[c],2ippm,MNXM1369559,MNXM1369559[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2kmb[c],2kmb,MNXM276,MNXM276[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2mahmp[c],2mahmp,MNXM1135,MNXM1135[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2mbac[c],2mbac,MNXM35277,MNXM35277[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, chebi"
2mbac[e],2mbac,MNXM35277,MNXM35277[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, chebi"
2mbald[c],2mbald,MNXM2604,MNXM2604[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2mbald[e],2mbald,MNXM2604,MNXM2604[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2mbald[m],2mbald,MNXM2604,MNXM2604[m],m,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2mbtoh[c],2mbtoh,MNXM5476,MNXM5476[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, chebi"
2mbtoh[e],2mbtoh,MNXM5476,MNXM5476[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, chebi"
2mbtoh[m],2mbtoh,MNXM5476,MNXM5476[m],m,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, chebi"
2mcit[m],2mcit,MNXM741276,MNXM741276[m],m,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2mppal[c],2mppal,MNXM5189,MNXM5189[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, chebi"
2mppal[e],2mppal,MNXM5189,MNXM5189[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, chebi"
2mppal[m],2mppal,MNXM5189,MNXM5189[m],m,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, chebi"
2obut[c],2obut,MNXM159,MNXM159[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2obut[m],2obut,MNXM159,MNXM159[m],m,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2oxoadp[c],2oxoadp,MNXM263,MNXM263[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2oxoadp[m],2oxoadp,MNXM263,MNXM263[m],m,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2pg[c],2pg,MNXM275,MNXM275[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2phetoh[c],2phetoh,MNXM2476,MNXM2476[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2phetoh[e],2phetoh,MNXM2476,MNXM2476[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
2phetoh[m],2phetoh,MNXM2476,MNXM2476[m],m,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
10fthf[c],10fthf,MNXM237,MNXM237[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
34hpl[m],34hpl,MNXM988,MNXM988[m],m,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
34hpp[c],34hpp,MNXM153,MNXM153[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
34hpp[m],34hpp,MNXM153,MNXM153[m],m,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
10fthf[m],10fthf,MNXM237,MNXM237[m],m,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
4fumacac[c],4fumacac,MNXM708,MNXM708[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
34hpp[x],34hpp,MNXM153,MNXM153[x],x,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
35ccmp[c],35ccmp,MNXM148637,MNXM148637[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
4gudbd[c],4gudbd,MNXM2617,MNXM2617[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
12dgr_SC[c],12dgr_SC,MNXM1012,MNXM1012[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
35cdamp[c],35cdamp,MNXM9931,MNXM9931[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
13BDglcn[c],13BDglcn,MNXM91349,MNXM91349[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
4gudbutn[c],4gudbutn,MNXM1312,MNXM1312[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
35cgmp[c],35cgmp,MNXM665,MNXM665[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
4h2oglt[c],4h2oglt,MNXM894,MNXM894[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
13BDglcn[e],13BDglcn,MNXM91349,MNXM91349[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
35cimp[c],35cimp,MNXM91928,MNXM91928[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
13dampp[c],13dampp,MNXM350,MNXM350[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
13dpg[c],13dpg,MNXM733153,MNXM733153[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
4h2oglt[m],4h2oglt,MNXM894,MNXM894[m],m,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
4h2oglt[x],4h2oglt,MNXM894,MNXM894[x],x,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
3c2hmp[c],3c2hmp,MNXM741108,MNXM741108[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
14glun[c],14glun,MNXM91761,MNXM91761[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
3c3hmp[c],3c3hmp,MNXM985,MNXM985[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
16BDglcn[c],16BDglcn,MNXM165456,MNXM165456[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed"
3c3hmp[e],3c3hmp,MNXM985,MNXM985[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
1Dgali[c],1Dgali,MNXM878,MNXM878[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
4hbz[c],4hbz,MNXM164,MNXM164[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
3c3hmp[m],3c3hmp,MNXM985,MNXM985[m],m,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
4hbz[m],4hbz,MNXM164,MNXM164[m],m,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
1ag3p_SC[c],1ag3p_SC,MNXM728506,MNXM728506[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
4hbzcoa[m],4hbzcoa,MNXM739932,MNXM739932[m],m,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
3c4mop[c],3c4mop,MNXM1602,MNXM1602[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
4hglusa[m],4hglusa,MNXM2687,MNXM2687[m],m,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
1agly3p_SC[c],1agly3p_SC,MNXM91819,MNXM91819[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
1agpc_SC[c],1agpc_SC,MNXM147657,MNXM147657[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
3c4mop[m],3c4mop,MNXM1602,MNXM1602[m],m,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
1mncam[c],1mncam,MNXM2172,MNXM2172[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
4hpro_LT[c],4hpro_LT,MNXM87584,MNXM87584[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
3dh5hpb[c],3dh5hpb,MNXM2783,MNXM2783[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
4hpro_LT[m],4hpro_LT,MNXM87584,MNXM87584[m],m,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
1p3h5c[c],1p3h5c,MNXM114091,MNXM114091[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
3dh5hpb[m],3dh5hpb,MNXM2783,MNXM2783[m],m,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
1p3h5c[m],1p3h5c,MNXM114091,MNXM114091[m],m,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
4hthr[c],4hthr,MNXM1802,MNXM1802[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
3dhq[c],3dhq,MNXM736874,MNXM736874[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
4mhetz[c],4mhetz,MNXM962,MNXM962[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
4mlacac[c],4mlacac,MNXM739481,MNXM739481[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
1pyr5c[c],1pyr5c,MNXM1617,MNXM1617[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
3dhsk[c],3dhsk,MNXM611,MNXM611[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
1pyr5c[m],1pyr5c,MNXM1617,MNXM1617[m],m,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
4mop[c],4mop,MNXM404,MNXM404[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
3dsphgn[c],3dsphgn,MNXM559,MNXM559[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
4mop[m],4mop,MNXM404,MNXM404[m],m,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, seed, kegg, chebi"
