orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed,database_sources
10fthf[c],10fthf,MNXM237,MNXM237[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
12da3oaglcpyr[c],12da3oaglcpyr,MNXM738736,MNXM738736[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
12dgr120[c],12dgr120,MNXM4939,MNXM4939[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
12dgr140[c],12dgr140,MNXM738562,12dgr140[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
12dgr141[c],12dgr141,MNXM738562,12dgr141[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
12dgr150[c],12dgr150,MNXM738562,12dgr150[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
12dgr160[c],12dgr160,MNXM738562,12dgr160[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
12dgr161[c],12dgr161,MNXM3774,MNXM3774[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
12dgr170[c],12dgr170,MNXM738562,12dgr170[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
12dgr180[c],12dgr180,MNXM4217,MNXM4217[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
12dgr181[c],12dgr181,MNXM738562,12dgr181[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
12dgrai150[c],12dgrai150,MNXM738562,12dgrai150[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
12dgrai170[c],12dgrai170,MNXM738562,12dgrai170[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
12dgri140[c],12dgri140,MNXM738562,12dgri140[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
12dgri150[c],12dgri150,MNXM738562,12dgri150[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
12dgri160[c],12dgri160,MNXM738562,12dgri160[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
12dgri170[c],12dgri170,MNXM738562,12dgri170[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
12dgri180[c],12dgri180,MNXM738562,12dgri180[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
13dpg[c],13dpg,MNXM733153,MNXM733153[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
14glucan[c],14glucan,MNXM733514,MNXM733514[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
14glucan[e],14glucan,MNXM733514,MNXM733514[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
14hdphet[c],14hdphet,MNXM5535,MNXM5535[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg"
15cphyt[c],15cphyt,MNXM1371261,MNXM1371261[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
15dap[c],15dap,MNXM943,MNXM943[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
15dap[e],15dap,MNXM943,MNXM943[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
1Dgali[c],1Dgali,MNXM878,MNXM878[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
1Dgali[e],1Dgali,MNXM878,MNXM878[e],e,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
1acpc[c],1acpc,MNXM1128,MNXM1128[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
1aiC15g3p[c],1aiC15g3p,MNXM728506,1aiC15g3p[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
1aiC17g3p[c],1aiC17g3p,MNXM728506,1aiC17g3p[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
1ddecg3p[c],1ddecg3p,MNXM728506,1ddecg3p[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
1hdec9eg3p[c],1hdec9eg3p,MNXM728506,1hdec9eg3p[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
1hdecg3p[c],1hdecg3p,MNXM728506,1hdecg3p[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
1hepdecg3p[c],1hepdecg3p,MNXM728506,1hepdecg3p[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
1iC14g3p[c],1iC14g3p,MNXM728506,1iC14g3p[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
1iC15g3p[c],1iC15g3p,MNXM728506,1iC15g3p[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
1iC16g3p[c],1iC16g3p,MNXM728506,1iC16g3p[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
1iC17g3p[c],1iC17g3p,MNXM728506,1iC17g3p[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
1iC18g3p[c],1iC18g3p,MNXM728506,1iC18g3p[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
1odec11eg3p[c],1odec11eg3p,MNXM728506,1odec11eg3p[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
1odecg3p[c],1odecg3p,MNXM728506,1odecg3p[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
1p3h5c[c],1p3h5c,MNXM114091,MNXM114091[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
1p4h2cbxl[c],1p4h2cbxl,MNXM1992,MNXM1992[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
1ptdecg3p[c],1ptdecg3p,MNXM728506,1ptdecg3p[c],c,TRUE,MetanetX conversion,FALSE,"metanetx, bigg, kegg, chebi"
