orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed
C00394,C00394,MNXM731345,MNXM731345[c],c,TRUE,MetanetX conversion,FALSE
C04509,C04509,MNXM1372456,MNXM1372456[c],c,TRUE,MetanetX conversion,FALSE
C04506,C04506,MNXM726293,MNXM726293[c],c,TRUE,MetanetX conversion,FALSE
C01755,C01755,MNXM1363724,MNXM1363724[c],c,TRUE,MetanetX conversion,FALSE
C04504,C04504,MNXM1373144,MNXM1373144[c],c,TRUE,MetanetX conversion,FALSE
C01751,C01751,MNXM4101,MNXM4101[c],c,TRUE,MetanetX conversion,FALSE
C04500,C04500,MNXM727420,MNXM727420[c],c,TRUE,MetanetX conversion,FALSE
C04501,C04501,MNXM1105798,MNXM1105798[c],c,TRUE,MetanetX conversion,FALSE
C04874,C04874,MNXM1372340,MNXM1372340[c],c,TRUE,MetanetX conversion,FALSE
C16680,C16680,MNXM726414,MNXM726414[c],c,TRUE,MetanetX conversion,FALSE
C16681,C16681,MNXM1364314,MNXM1364314[c],c,TRUE,MetanetX conversion,FALSE
C16389,C16389,MNXM739237,MNXM739237[c],c,TRUE,MetanetX conversion,FALSE
C16688,C16688,MNXM725920,MNXM725920[c],c,TRUE,MetanetX conversion,FALSE
C16388,C16388,MNXM730603,MNXM730603[c],c,TRUE,MetanetX conversion,FALSE
C00555,C00555,MNXM422,MNXM422[c],c,TRUE,MetanetX conversion,FALSE
C00886,C00886,MNXM741304,MNXM741304[c],c,TRUE,MetanetX conversion,FALSE
C16641,C16641,MNXM4621,MNXM4621[c],c,TRUE,MetanetX conversion,FALSE
C00550,C00550,MNXM1107929,MNXM1107929[c],c,TRUE,MetanetX conversion,FALSE
C09820,C09820,MNXM1371285,MNXM1371285[c],c,TRUE,MetanetX conversion,FALSE
C14463,C14463,MNXM1091755,MNXM1091755[c],c,TRUE,MetanetX conversion,FALSE
C01334,C01334,MNXM1372099,MNXM1372099[c],c,TRUE,MetanetX conversion,FALSE
C01335,C01335,MNXM162349,MNXM162349[c],c,TRUE,MetanetX conversion,FALSE
C05839,C05839,MNXM1103327,MNXM1103327[c],c,TRUE,MetanetX conversion,FALSE
C01801,C01801,MNXM1372394,MNXM1372394[c],c,TRUE,MetanetX conversion,FALSE
C01802,C01802,MNXM730572,MNXM730572[c],c,TRUE,MetanetX conversion,FALSE
C05813,C05813,MNXM1903,MNXM1903[c],c,TRUE,MetanetX conversion,FALSE
C03798,C03798,MNXM729009,MNXM729009[c],c,TRUE,MetanetX conversion,FALSE
C01246,C01246,MNXM728542,MNXM728542[c],c,TRUE,MetanetX conversion,FALSE
C01935,C01935,MNXM727734,MNXM727734[c],c,TRUE,MetanetX conversion,FALSE
